district,month,cases_registered,vehicles_seized,persons_arrested,notices_served
Ganjam,2015-10,30,42,30,61
Koraput,2015-10,3,8,4,4
Sambalpur,2015-10,19,26,22,31
Puri,2015-10,8,11,9,20
Balasore,2015-10,22,43,28,44
Rourkela,2015-10,33,47,33,71
Mayurbhanj,2015-10,3,6,5,7
Cuttack,2015-10,7,6,7,12
Kalahandi,2015-10,4,4,4,7
Bhubaneswar,2015-11,3,5,5,4
Ganjam,2015-11,29,48,33,52
Koraput,2015-11,1,0,1,4
Sambalpur,2015-11,25,41,37,57
Puri,2015-11,3,5,3,2
Balasore,2015-11,20,33,20,26
Rourkela,2015-11,26,41,32,45
Mayurbhanj,2015-11,4,6,5,10
Cuttack,2015-11,5,5,5,11
Kalahandi,2015-11,3,4,3,10
Bhubaneswar,2015-12,1,1,1,2
Ganjam,2015-12,24,40,33,42
Koraput,2015-12,5,9,8,5
Sambalpur,2015-12,22,39,22,45
Puri,2015-12,7,15,10,17
Balasore,2015-12,17,33,20,34
Rourkela,2015-12,27,42,30,52
Mayurbhanj,2015-12,3,4,3,7
Cuttack,2015-12,4,9,7,11
Kalahandi,2015-12,3,6,3,8
Bhubaneswar,2016-01,4,6,4,7
Ganjam,2016-01,25,31,33,56
Koraput,2016-01,7,8,10,11
Sambalpur,2016-01,23,39,23,42
Puri,2016-01,5,9,9,14
Balasore,2016-01,16,20,22,33
Rourkela,2016-01,43,58,45,91
Mayurbhanj,2016-01,4,7,5,9
Cuttack,2016-01,5,5,5,7
Kalahandi,2016-01,2,2,3,6
Bhubaneswar,2016-02,8,7,8,7
Ganjam,2016-02,25,41,25,34
Koraput,2016-02,2,2,2,4
Sambalpur,2016-02,24,35,24,63
Puri,2016-02,3,4,5,8
Balasore,2016-02,15,31,19,20
Rourkela,2016-02,46,68,46,110
Mayurbhanj,2016-02,4,3,5,13
Cuttack,2016-02,5,7,6,9
Kalahandi,2016-02,2,4,2,6
Bhubaneswar,2016-03,4,6,4,5
Ganjam,2016-03,36,59,40,78
Koraput,2016-03,5,8,5,13
Sambalpur,2016-03,16,18,20,33
Puri,2016-03,2,4,2,7
Balasore,2016-03,20,28,20,51
Rourkela,2016-03,19,27,21,28
Mayurbhanj,2016-03,2,4,3,4
Cuttack,2016-03,7,18,7,19
Kalahandi,2016-03,2,1,2,8
Bhubaneswar,2016-04,7,11,7,12
Ganjam,2016-04,29,33,33,56
Koraput,2016-04,4,5,5,7
Sambalpur,2016-04,33,41,36,58
Puri,2016-04,7,13,9,12
Balasore,2016-04,17,29,21,28
Rourkela,2016-04,31,53,34,61
Mayurbhanj,2016-04,4,6,5,9
Cuttack,2016-04,1,2,4,0
Kalahandi,2016-04,4,7,8,11
Bhubaneswar,2016-05,3,2,7,7
Ganjam,2016-05,32,53,38,62
Koraput,2016-05,4,4,4,4
Sambalpur,2016-05,20,23,20,41
Puri,2016-05,5,12,7,7
Balasore,2016-05,23,27,23,46
Rourkela,2016-05,34,40,34,77
Mayurbhanj,2016-05,4,5,4,8
Cuttack,2016-05,7,8,11,27
Kalahandi,2016-05,5,4,5,10
Bhubaneswar,2016-06,4,2,4,4
Ganjam,2016-06,35,47,41,63
Koraput,2016-06,4,11,4,6
Sambalpur,2016-06,24,30,24,56
Puri,2016-06,9,13,9,17
Balasore,2016-06,16,25,16,25
Rourkela,2016-06,35,48,35,66
Mayurbhanj,2016-06,5,12,6,11
Cuttack,2016-06,4,3,5,7
Kalahandi,2016-06,4,6,4,4
Bhubaneswar,2016-07,5,6,8,11
Ganjam,2016-07,28,48,35,61
Koraput,2016-07,4,4,6,9
Sambalpur,2016-07,26,29,27,46
Puri,2016-07,8,14,9,16
Balasore,2016-07,24,37,27,36
Rourkela,2016-07,34,62,34,73
Mayurbhanj,2016-07,5,4,11,8
Cuttack,2016-07,6,8,6,9
Kalahandi,2016-07,4,6,4,7
Bhubaneswar,2016-08,5,13,5,9
Ganjam,2016-08,26,29,27,54
Koraput,2016-08,11,18,11,21
Sambalpur,2016-08,22,31,22,48
Puri,2016-08,7,7,10,13
Balasore,2016-08,30,54,33,65
Rourkela,2016-08,34,57,41,75
Mayurbhanj,2016-08,3,3,3,4
Cuttack,2016-08,14,19,14,31
Kalahandi,2016-08,1,2,1,3
Bhubaneswar,2016-09,8,11,14,15
Ganjam,2016-09,21,28,22,41
Koraput,2016-09,5,4,7,8
Sambalpur,2016-09,21,38,24,45
Puri,2016-09,5,5,7,8
Balasore,2016-09,25,44,25,44
Rourkela,2016-09,36,58,42,74
Mayurbhanj,2016-09,4,5,4,10
Cuttack,2016-09,7,11,9,15
Kalahandi,2016-09,2,2,7,3
Bhubaneswar,2016-10,6,8,7,6
Ganjam,2016-10,29,40,31,57
Koraput,2016-10,3,5,5,7
Sambalpur,2016-10,26,52,26,45
Puri,2016-10,7,5,7,9
Balasore,2016-10,19,28,19,41
Rourkela,2016-10,35,61,35,69
Mayurbhanj,2016-10,6,10,7,15
Cuttack,2016-10,8,9,8,16
Kalahandi,2016-10,1,2,1,6
Bhubaneswar,2016-11,7,10,7,14
Ganjam,2016-11,25,39,25,43
Koraput,2016-11,3,6,4,8
Sambalpur,2016-11,14,15,16,28
Puri,2016-11,5,9,5,8
Balasore,2016-11,25,30,25,56
Rourkela,2016-11,37,55,37,77
Mayurbhanj,2016-11,4,6,6,9
Cuttack,2016-11,4,7,4,7
Kalahandi,2016-11,1,1,1,0
Bhubaneswar,2016-12,3,6,3,6
Ganjam,2016-12,26,39,26,50
Koraput,2016-12,6,11,6,17
Sambalpur,2016-12,26,37,26,58
Puri,2016-12,3,4,4,3
Balasore,2016-12,22,36,22,46
Rourkela,2016-12,35,51,45,70
Mayurbhanj,2016-12,3,3,8,8
Cuttack,2016-12,4,9,4,7
Kalahandi,2016-12,2,4,3,6
Bhubaneswar,2017-01,10,19,10,26
Ganjam,2017-01,29,44,31,58
Koraput,2017-01,5,13,5,15
Sambalpur,2017-01,19,29,21,45
Puri,2017-01,2,2,2,5
Balasore,2017-01,15,27,15,31
Rourkela,2017-01,37,52,37,73
Mayurbhanj,2017-01,6,6,6,11
Cuttack,2017-01,4,9,9,2
Kalahandi,2017-01,4,6,4,7
Bhubaneswar,2017-02,6,11,9,7
Ganjam,2017-02,26,45,27,64
Koraput,2017-02,5,4,9,11
Sambalpur,2017-02,31,42,31,71
Puri,2017-02,4,3,4,8
Balasore,2017-02,29,55,29,60
Rourkela,2017-02,32,49,35,60
Mayurbhanj,2017-02,5,4,5,8
Cuttack,2017-02,5,15,9,9
Kalahandi,2017-02,1,1,1,3
Bhubaneswar,2017-03,2,2,4,9
Ganjam,2017-03,29,37,38,62
Koraput,2017-03,2,6,4,1
Sambalpur,2017-03,28,51,32,70
Puri,2017-03,6,15,9,17
Balasore,2017-03,27,43,27,55
Rourkela,2017-03,27,53,28,43
Mayurbhanj,2017-03,5,9,5,8
Cuttack,2017-03,3,2,4,4
Kalahandi,2017-03,3,2,8,6
Bhubaneswar,2017-04,3,3,4,2
Ganjam,2017-04,22,39,23,51
Koraput,2017-04,7,14,7,17
Sambalpur,2017-04,25,47,34,47
Puri,2017-04,4,5,5,9
Balasore,2017-04,32,50,37,64
Rourkela,2017-04,36,64,37,77
Mayurbhanj,2017-04,2,4,2,6
Cuttack,2017-04,6,10,6,9
Kalahandi,2017-04,2,4,2,1
Bhubaneswar,2017-05,2,4,2,5
Ganjam,2017-05,22,29,29,53
Koraput,2017-05,3,5,6,3
Sambalpur,2017-05,21,33,21,48
Puri,2017-05,6,11,6,15
Balasore,2017-05,25,25,30,49
Rourkela,2017-05,29,34,29,67
Mayurbhanj,2017-05,3,6,3,5
Cuttack,2017-05,3,3,4,4
Kalahandi,2017-05,5,8,7,7
Bhubaneswar,2017-06,5,3,7,9
Ganjam,2017-06,25,39,25,47
Koraput,2017-06,3,5,6,7
Sambalpur,2017-06,17,26,17,20
Puri,2017-06,6,8,7,11
Balasore,2017-06,22,23,29,39
Rourkela,2017-06,41,60,41,90
Mayurbhanj,2017-06,4,3,7,6
Cuttack,2017-06,4,10,5,3
Kalahandi,2017-06,1,2,1,5
Bhubaneswar,2017-07,6,6,7,18
Ganjam,2017-07,23,38,32,46
Koraput,2017-07,3,7,3,4
Sambalpur,2017-07,16,19,16,37
Puri,2017-07,5,9,7,12
Balasore,2017-07,19,31,21,32
Rourkela,2017-07,34,46,34,69
Mayurbhanj,2017-07,1,3,1,1
Cuttack,2017-07,7,14,10,13
Kalahandi,2017-07,3,6,3,10
Bhubaneswar,2017-08,3,5,3,8
Ganjam,2017-08,35,40,35,71
Koraput,2017-08,0,1,2,1
Sambalpur,2017-08,26,54,26,52
Puri,2017-08,6,5,6,15
Balasore,2017-08,24,34,27,46
Rourkela,2017-08,37,62,49,77
Mayurbhanj,2017-08,4,4,10,6
Cuttack,2017-08,4,3,4,6
Kalahandi,2017-08,1,0,1,1
Bhubaneswar,2017-09,2,1,3,2
Ganjam,2017-09,28,48,31,51
Koraput,2017-09,6,11,6,13
Sambalpur,2017-09,23,41,28,53
Puri,2017-09,4,9,4,10
Balasore,2017-09,22,29,23,44
Rourkela,2017-09,28,44,28,60
Mayurbhanj,2017-09,2,5,3,6
Cuttack,2017-09,6,9,6,7
Kalahandi,2017-09,1,2,1,5
Bhubaneswar,2017-10,3,2,3,7
Ganjam,2017-10,33,46,33,66
Koraput,2017-10,7,10,7,9
Sambalpur,2017-10,23,36,23,43
Puri,2017-10,5,12,5,15
Balasore,2017-10,29,48,36,47
Rourkela,2017-10,42,58,42,70
Mayurbhanj,2017-10,4,2,4,4
Cuttack,2017-10,8,13,8,10
Kalahandi,2017-10,3,3,7,8
Bhubaneswar,2017-11,4,5,4,8
Ganjam,2017-11,25,41,38,65
Koraput,2017-11,10,15,10,19
Sambalpur,2017-11,20,38,22,33
Puri,2017-11,2,1,2,4
Balasore,2017-11,24,41,24,38
Rourkela,2017-11,31,60,35,69
Mayurbhanj,2017-11,4,6,8,5
Cuttack,2017-11,8,15,21,17
Kalahandi,2017-11,4,9,8,12
Bhubaneswar,2017-12,5,5,5,11
Ganjam,2017-12,28,37,28,44
Koraput,2017-12,4,5,5,8
Sambalpur,2017-12,17,20,23,37
Puri,2017-12,8,12,8,17
Balasore,2017-12,25,39,30,59
Rourkela,2017-12,25,34,25,54
Mayurbhanj,2017-12,6,8,9,13
Cuttack,2017-12,9,16,9,15
Kalahandi,2017-12,3,6,3,10
Bhubaneswar,2018-01,10,16,12,25
Ganjam,2018-01,26,41,28,51
Koraput,2018-01,4,8,4,7
Sambalpur,2018-01,30,47,30,55
Puri,2018-01,5,8,6,11
Balasore,2018-01,23,29,23,29
Rourkela,2018-01,33,51,40,74
Mayurbhanj,2018-01,2,1,2,3
Cuttack,2018-01,3,8,3,7
Kalahandi,2018-01,2,1,2,9
Bhubaneswar,2018-02,10,13,10,20
Ganjam,2018-02,22,31,22,48
Koraput,2018-02,5,11,6,11
Sambalpur,2018-02,27,40,32,50
Puri,2018-02,9,11,9,7
Balasore,2018-02,20,34,23,42
Rourkela,2018-02,27,45,27,53
Mayurbhanj,2018-02,4,3,6,11
Cuttack,2018-02,6,6,6,14
Kalahandi,2018-02,0,0,2,4
Bhubaneswar,2018-03,4,5,5,11
Ganjam,2018-03,35,55,46,73
Koraput,2018-03,9,14,9,26
Sambalpur,2018-03,25,45,25,48
Puri,2018-03,6,6,6,6
Balasore,2018-03,22,28,22,46
Rourkela,2018-03,35,52,35,72
Mayurbhanj,2018-03,5,10,5,11
Cuttack,2018-03,3,10,4,3
Kalahandi,2018-03,2,1,4,6
Bhubaneswar,2018-04,3,7,3,4
Ganjam,2018-04,27,47,30,68
Koraput,2018-04,3,3,3,13
Sambalpur,2018-04,16,18,17,41
Puri,2018-04,6,6,7,11
Balasore,2018-04,18,27,18,38
Rourkela,2018-04,35,56,43,66
Mayurbhanj,2018-04,3,4,3,9
Cuttack,2018-04,4,4,4,12
Kalahandi,2018-04,7,8,7,16
Bhubaneswar,2018-05,7,11,12,15
Ganjam,2018-05,27,41,27,52
Koraput,2018-05,4,5,5,10
Sambalpur,2018-05,21,32,35,32
Puri,2018-05,3,4,3,11
Balasore,2018-05,20,45,27,37
Rourkela,2018-05,27,36,27,59
Mayurbhanj,2018-05,2,1,3,3
Cuttack,2018-05,8,14,8,15
Kalahandi,2018-05,5,10,9,15
Bhubaneswar,2018-06,7,12,8,10
Ganjam,2018-06,29,41,29,58
Koraput,2018-06,4,2,5,6
Sambalpur,2018-06,14,19,17,22
Puri,2018-06,8,11,11,22
Balasore,2018-06,7,11,10,13
Rourkela,2018-06,28,44,28,69
Mayurbhanj,2018-06,7,7,7,11
Cuttack,2018-06,4,6,6,5
Kalahandi,2018-06,6,5,6,14
Bhubaneswar,2018-07,8,15,8,16
Ganjam,2018-07,27,38,36,60
Koraput,2018-07,2,2,5,3
Sambalpur,2018-07,26,42,31,50
Puri,2018-07,6,8,9,15
Balasore,2018-07,24,30,26,36
Rourkela,2018-07,38,72,47,62
Mayurbhanj,2018-07,5,9,6,13
Cuttack,2018-07,6,3,6,18
Kalahandi,2018-07,5,5,6,12
Bhubaneswar,2018-08,2,1,4,6
Ganjam,2018-08,25,46,25,41
Koraput,2018-08,5,2,5,12
Sambalpur,2018-08,17,35,22,36
Puri,2018-08,10,15,10,21
Balasore,2018-08,21,31,30,30
Rourkela,2018-08,33,45,38,72
Mayurbhanj,2018-08,7,11,11,10
Cuttack,2018-08,10,10,17,24
Kalahandi,2018-08,3,6,3,8
Bhubaneswar,2018-09,8,13,12,16
Ganjam,2018-09,24,30,31,41
Koraput,2018-09,3,1,3,8
Sambalpur,2018-09,30,35,49,59
Puri,2018-09,1,1,1,2
Balasore,2018-09,24,36,33,38
Rourkela,2018-09,36,44,36,74
Mayurbhanj,2018-09,6,10,10,16
Cuttack,2018-09,8,13,8,15
Kalahandi,2018-09,4,8,6,6
Bhubaneswar,2018-10,8,10,9,23
Ganjam,2018-10,25,26,29,55
Koraput,2018-10,7,12,7,9
Sambalpur,2018-10,24,35,33,54
Puri,2018-10,8,12,11,15
Balasore,2018-10,17,22,17,36
Rourkela,2018-10,32,42,33,62
Mayurbhanj,2018-10,6,8,7,13
Cuttack,2018-10,4,8,4,13
Kalahandi,2018-10,3,1,4,4
Bhubaneswar,2018-11,5,9,6,9
Ganjam,2018-11,21,32,25,37
Koraput,2018-11,6,11,6,9
Sambalpur,2018-11,19,29,19,34
Puri,2018-11,2,3,2,3
Balasore,2018-11,20,22,20,47
Rourkela,2018-11,31,39,37,63
Mayurbhanj,2018-11,3,9,3,10
Cuttack,2018-11,3,5,3,4
Kalahandi,2018-11,4,8,4,6
Bhubaneswar,2018-12,7,7,15,9
Ganjam,2018-12,24,35,27,43
Koraput,2018-12,8,15,8,13
Sambalpur,2018-12,18,31,19,41
Puri,2018-12,9,20,9,22
Balasore,2018-12,23,38,23,39
Rourkela,2018-12,31,44,37,65
Mayurbhanj,2018-12,4,6,5,9
Cuttack,2018-12,7,10,7,17
Kalahandi,2018-12,2,2,2,3
Bhubaneswar,2019-01,7,18,8,13
Ganjam,2019-01,34,49,34,88
Koraput,2019-01,5,13,6,12
Sambalpur,2019-01,26,40,27,55
Puri,2019-01,5,10,5,11
Balasore,2019-01,23,30,34,50
Rourkela,2019-01,28,38,28,50
Mayurbhanj,2019-01,3,2,4,5
Cuttack,2019-01,2,6,2,4
Kalahandi,2019-01,5,8,5,15
Bhubaneswar,2019-02,3,6,5,7
Ganjam,2019-02,34,52,38,59
Koraput,2019-02,5,7,6,7
Sambalpur,2019-02,13,15,13,27
Puri,2019-02,6,6,7,14
Balasore,2019-02,18,29,18,35
Rourkela,2019-02,29,42,33,62
Mayurbhanj,2019-02,2,8,2,6
Cuttack,2019-02,5,5,6,11
Kalahandi,2019-02,2,3,2,2
Bhubaneswar,2019-03,4,5,4,9
Ganjam,2019-03,31,45,31,59
Koraput,2019-03,3,1,4,4
Sambalpur,2019-03,25,38,30,48
Puri,2019-03,3,9,4,5
Balasore,2019-03,17,29,19,30
Rourkela,2019-03,28,38,28,55
Mayurbhanj,2019-03,3,5,8,4
Cuttack,2019-03,5,7,5,14
Kalahandi,2019-03,4,4,4,3
Bhubaneswar,2019-04,8,19,10,16
Ganjam,2019-04,29,52,30,60
Koraput,2019-04,3,8,3,12
Sambalpur,2019-04,20,30,22,54
Puri,2019-04,4,6,4,7
Balasore,2019-04,24,41,35,42
Rourkela,2019-04,36,58,55,71
Mayurbhanj,2019-04,1,1,1,2
Cuttack,2019-04,9,7,10,20
Kalahandi,2019-04,2,3,2,4
Bhubaneswar,2019-05,6,8,6,16
Ganjam,2019-05,19,26,27,50
Koraput,2019-05,5,7,5,9
Sambalpur,2019-05,23,35,29,42
Puri,2019-05,7,6,7,9
Balasore,2019-05,22,31,33,39
Rourkela,2019-05,32,47,40,63
Mayurbhanj,2019-05,3,6,3,4
Cuttack,2019-05,6,4,9,11
Kalahandi,2019-05,6,11,6,10
Bhubaneswar,2019-06,5,8,6,8
Ganjam,2019-06,41,59,41,68
Koraput,2019-06,5,6,5,11
Sambalpur,2019-06,17,23,23,39
Puri,2019-06,6,10,7,19
Balasore,2019-06,15,23,19,41
Rourkela,2019-06,28,43,28,59
Mayurbhanj,2019-06,4,6,9,5
Cuttack,2019-06,6,10,8,7
Kalahandi,2019-06,5,13,5,5
Bhubaneswar,2019-07,6,5,11,5
Ganjam,2019-07,35,52,40,76
Koraput,2019-07,9,10,9,21
Sambalpur,2019-07,20,37,21,39
Puri,2019-07,8,5,8,16
Balasore,2019-07,21,34,29,58
Rourkela,2019-07,40,56,54,71
Mayurbhanj,2019-07,2,4,3,3
Cuttack,2019-07,10,16,15,21
Kalahandi,2019-07,3,6,3,1
Bhubaneswar,2019-08,4,8,8,5
Ganjam,2019-08,25,41,27,47
Koraput,2019-08,3,3,3,5
Sambalpur,2019-08,27,42,32,62
Puri,2019-08,6,11,11,7
Balasore,2019-08,24,33,26,37
Rourkela,2019-08,31,43,34,55
Mayurbhanj,2019-08,7,12,8,11
Cuttack,2019-08,3,1,3,6
Kalahandi,2019-08,6,6,7,13
Bhubaneswar,2019-09,2,3,3,5
Ganjam,2019-09,13,16,13,24
Koraput,2019-09,3,5,4,9
Sambalpur,2019-09,18,27,18,35
Puri,2019-09,4,2,7,9
Balasore,2019-09,21,36,35,51
Rourkela,2019-09,41,64,56,80
Mayurbhanj,2019-09,2,3,2,5
Cuttack,2019-09,6,7,6,15
Kalahandi,2019-09,2,3,2,2
Bhubaneswar,2019-10,5,11,5,9
Ganjam,2019-10,25,45,25,60
Koraput,2019-10,2,2,3,3
Sambalpur,2019-10,28,33,35,67
Puri,2019-10,5,5,6,11
Balasore,2019-10,21,45,23,47
Rourkela,2019-10,37,60,49,80
Mayurbhanj,2019-10,3,6,3,7
Cuttack,2019-10,5,10,5,7
Kalahandi,2019-10,1,2,1,0
Bhubaneswar,2019-11,3,2,3,9
Ganjam,2019-11,37,59,37,69
Koraput,2019-11,1,0,1,2
Sambalpur,2019-11,21,35,28,46
Puri,2019-11,6,7,6,13
Balasore,2019-11,24,35,24,60
Rourkela,2019-11,36,52,38,79
Mayurbhanj,2019-11,4,9,4,5
Cuttack,2019-11,3,4,3,5
Kalahandi,2019-11,5,6,5,16
Bhubaneswar,2019-12,6,9,6,12
Ganjam,2019-12,36,52,38,70
Koraput,2019-12,3,6,3,7
Sambalpur,2019-12,18,28,20,41
Puri,2019-12,6,11,6,10
Balasore,2019-12,16,21,16,34
Rourkela,2019-12,35,55,38,69
Mayurbhanj,2019-12,5,6,5,13
Cuttack,2019-12,4,6,4,8
Kalahandi,2019-12,1,2,1,3
Bhubaneswar,2020-01,7,11,11,15
Ganjam,2020-01,31,39,32,54
Koraput,2020-01,5,6,9,9
Sambalpur,2020-01,22,35,28,46
Puri,2020-01,7,12,7,16
Balasore,2020-01,20,25,21,42
Rourkela,2020-01,28,37,28,62
Mayurbhanj,2020-01,3,5,3,4
Cuttack,2020-01,6,6,6,11
Kalahandi,2020-01,2,2,4,1
Bhubaneswar,2020-02,1,0,1,1
Ganjam,2020-02,23,40,25,53
Koraput,2020-02,3,4,3,8
Sambalpur,2020-02,21,34,31,38
Puri,2020-02,4,5,4,9
Balasore,2020-02,22,31,22,37
Rourkela,2020-02,37,61,39,78
Mayurbhanj,2020-02,2,0,2,6
Cuttack,2020-02,6,8,8,14
Kalahandi,2020-02,6,12,8,11
Bhubaneswar,2020-03,7,5,7,11
Ganjam,2020-03,29,50,29,61
Koraput,2020-03,5,3,8,14
Sambalpur,2020-03,24,20,24,55
Puri,2020-03,6,13,6,8
Balasore,2020-03,21,29,21,44
Rourkela,2020-03,28,44,36,62
Mayurbhanj,2020-03,8,18,8,17
Cuttack,2020-03,9,10,12,31
Kalahandi,2020-03,2,2,3,4
Bhubaneswar,2020-04,4,1,6,14
Ganjam,2020-04,36,61,48,77
Koraput,2020-04,5,6,6,14
Sambalpur,2020-04,15,26,15,35
Puri,2020-04,7,10,9,10
Balasore,2020-04,23,45,26,41
Rourkela,2020-04,36,55,51,70
Mayurbhanj,2020-04,4,6,8,9
Cuttack,2020-04,6,12,6,11
Kalahandi,2020-04,3,6,5,9
Bhubaneswar,2020-05,7,17,7,11
Ganjam,2020-05,29,60,43,68
Koraput,2020-05,5,10,5,10
Sambalpur,2020-05,30,59,40,60
Puri,2020-05,4,5,4,8
Balasore,2020-05,16,21,20,40
Rourkela,2020-05,33,51,41,92
Mayurbhanj,2020-05,2,3,2,3
Cuttack,2020-05,5,8,7,10
Kalahandi,2020-05,2,4,2,1
Bhubaneswar,2020-06,4,5,5,2
Ganjam,2020-06,18,22,20,36
Koraput,2020-06,5,10,5,8
Sambalpur,2020-06,24,32,25,51
Puri,2020-06,13,15,15,23
Balasore,2020-06,24,42,24,54
Rourkela,2020-06,30,45,30,49
Mayurbhanj,2020-06,3,4,10,3
Cuttack,2020-06,7,11,8,13
Kalahandi,2020-06,4,1,4,4
Bhubaneswar,2020-07,8,13,8,14
Ganjam,2020-07,25,43,29,45
Koraput,2020-07,4,7,4,4
Sambalpur,2020-07,21,30,21,52
Puri,2020-07,8,15,10,12
Balasore,2020-07,16,20,19,33
Rourkela,2020-07,34,51,34,63
Mayurbhanj,2020-07,7,10,7,17
Cuttack,2020-07,6,8,6,13
Kalahandi,2020-07,3,6,5,7
Bhubaneswar,2020-08,4,7,4,5
Ganjam,2020-08,30,42,40,52
Koraput,2020-08,8,8,8,19
Sambalpur,2020-08,23,21,34,49
Puri,2020-08,7,12,8,15
Balasore,2020-08,26,30,31,57
Rourkela,2020-08,39,61,39,72
Mayurbhanj,2020-08,4,8,5,9
Cuttack,2020-08,6,12,7,12
Kalahandi,2020-08,3,1,8,7
Bhubaneswar,2020-09,7,11,11,10
Ganjam,2020-09,29,39,38,60
Koraput,2020-09,3,0,3,4
Sambalpur,2020-09,20,32,20,41
Puri,2020-09,4,6,4,8
Balasore,2020-09,27,29,34,47
Rourkela,2020-09,32,44,39,66
Mayurbhanj,2020-09,3,1,7,8
Cuttack,2020-09,2,3,2,5
Kalahandi,2020-09,3,6,3,6
Bhubaneswar,2020-10,10,12,15,25
Ganjam,2020-10,37,54,37,69
Koraput,2020-10,2,3,3,0
Sambalpur,2020-10,20,20,26,40
Puri,2020-10,3,8,4,7
Balasore,2020-10,27,44,38,55
Rourkela,2020-10,31,40,32,71
Mayurbhanj,2020-10,3,0,3,5
Cuttack,2020-10,7,13,7,18
Kalahandi,2020-10,3,5,3,9
Bhubaneswar,2020-11,3,5,6,6
Ganjam,2020-11,22,26,24,33
Koraput,2020-11,5,12,5,13
Sambalpur,2020-11,20,26,20,46
Puri,2020-11,11,17,12,19
Balasore,2020-11,24,22,28,57
Rourkela,2020-11,35,45,40,68
Mayurbhanj,2020-11,5,8,5,13
Cuttack,2020-11,6,11,9,6
Kalahandi,2020-11,2,2,2,2
Bhubaneswar,2020-12,3,6,5,2
Ganjam,2020-12,19,24,19,30
Koraput,2020-12,6,6,6,7
Sambalpur,2020-12,22,32,22,33
Puri,2020-12,2,1,4,2
Balasore,2020-12,14,24,18,32
Rourkela,2020-12,37,53,37,69
Mayurbhanj,2020-12,7,13,9,11
