district,month,ipc_trials,ipc_convictions,ipc_acquitted,sll_trials,sll_convictions,sll_acquitted,nonmv_trials,nonmv_convictions,nonmv_acquitted,mv_trials,mv_convictions,mv_acquitted,speedy_trial_cases,judgement_date,punishment
Sambalpur,2015-10,29,3,14,39,14,12,0,0,0,161,108,20,3,2015-10-28,"5 years RI + Rs. 10,000 fine"
Puri,2015-10,26,3,12,35,15,12,0,0,0,139,106,22,5,2015-10-21,3 years Rigorous Imprisonment
Balasore,2015-10,27,7,11,35,13,20,0,0,0,148,113,13,2,2015-10-24,3 years Rigorous Imprisonment
Rourkela,2015-10,45,8,32,69,47,22,0,0,0,218,163,27,3,2015-10-23,Fine of Rs. 5000
Mayurbhanj,2015-10,13,2,4,16,3,5,0,0,0,71,50,3,1,2015-10-03,Fine of Rs. 5000
Cuttack,2015-10,60,12,33,93,36,36,0,0,0,292,261,13,7,2015-10-10,1 year Probation
Kalahandi,2015-10,13,5,6,10,1,3,0,0,0,64,40,7,0,2015-10-13,Acquitted
Bhubaneswar,2015-11,50,11,38,78,25,35,0,0,0,294,239,42,4,2015-11-12,6 months RI
Ganjam,2015-11,43,8,26,72,30,31,0,0,0,178,138,12,3,2015-11-20,"5 years RI + Rs. 10,000 fine"
Koraput,2015-11,15,4,6,28,8,4,0,0,0,68,43,11,3,2015-11-14,6 months RI
Sambalpur,2015-11,21,4,9,40,13,13,0,0,0,134,102,10,3,2015-11-16,"5 years RI + Rs. 10,000 fine"
Puri,2015-11,25,7,13,21,10,7,0,0,0,112,77,17,1,2015-11-27,Acquitted
Balasore,2015-11,22,9,13,41,21,18,0,0,0,137,108,16,2,2015-11-11,Fine of Rs. 5000
Rourkela,2015-11,45,8,30,60,39,18,0,0,0,204,169,17,3,2015-11-27,"5 years RI + Rs. 10,000 fine"
Mayurbhanj,2015-11,10,3,6,28,8,11,0,0,0,59,47,12,2,2015-11-05,6 months RI
Cuttack,2015-11,43,10,25,68,22,21,0,0,0,293,255,7,4,2015-11-23,6 months RI
Kalahandi,2015-11,10,3,4,19,8,11,0,0,0,45,34,6,4,2015-11-06,"5 years RI + Rs. 10,000 fine"
Bhubaneswar,2015-12,61,25,28,92,42,41,0,0,0,314,278,19,4,2015-12-27,1 year Probation
Ganjam,2015-12,36,5,10,55,17,17,0,0,0,178,120,30,5,2015-12-13,1 year Probation
Koraput,2015-12,17,2,11,29,8,10,0,0,0,67,58,9,1,2015-12-01,"5 years RI + Rs. 10,000 fine"
Sambalpur,2015-12,25,6,16,52,17,22,0,0,0,156,145,4,5,2015-12-19,3 years Rigorous Imprisonment
Puri,2015-12,20,3,9,42,17,18,0,0,0,147,118,20,0,2015-12-18,3 years Rigorous Imprisonment
Balasore,2015-12,39,19,20,55,28,20,0,0,0,152,125,9,2,2015-12-18,6 months RI
Rourkela,2015-12,37,11,16,79,25,24,0,0,0,225,161,35,5,2015-12-26,1 year Probation
Mayurbhanj,2015-12,13,6,7,14,7,6,0,0,0,80,71,5,1,2015-12-04,6 months RI
Cuttack,2015-12,55,21,34,74,31,30,0,0,0,274,199,12,5,2015-12-23,"5 years RI + Rs. 10,000 fine"
Kalahandi,2015-12,15,7,8,14,3,5,0,0,0,65,52,2,2,2015-12-15,2 years RI + Rs. 5000 fine
Bhubaneswar,2016-01,56,14,34,87,33,38,0,0,0,274,216,29,7,2016-01-25,2 years RI + Rs. 5000 fine
Ganjam,2016-01,36,14,17,52,17,22,0,0,0,176,129,19,4,2016-01-28,3 years Rigorous Imprisonment
Koraput,2016-01,15,3,9,29,13,10,0,0,0,87,69,8,2,2016-01-15,3 years Rigorous Imprisonment
Sambalpur,2016-01,31,12,18,50,25,12,0,0,0,132,113,10,3,2016-01-08,6 months RI
Puri,2016-01,19,7,11,40,18,9,0,0,0,107,81,12,3,2016-01-23,1 year Probation
Balasore,2016-01,31,11,14,43,14,19,0,0,0,142,112,16,3,2016-01-17,1 year Probation
Rourkela,2016-01,47,9,34,79,26,17,0,0,0,222,182,24,8,2016-01-08,6 months RI
Mayurbhanj,2016-01,20,8,9,22,5,8,0,0,0,73,61,12,2,2016-01-16,1 year Probation
Cuttack,2016-01,50,15,24,93,19,27,0,0,0,295,221,32,8,2016-01-27,1 year Probation
Kalahandi,2016-01,6,2,4,16,4,5,0,0,0,59,44,11,2,2016-01-14,Acquitted
Bhubaneswar,2016-02,50,14,18,80,35,22,0,0,0,335,286,19,11,2016-02-05,Fine of Rs. 5000
Ganjam,2016-02,31,7,11,37,21,16,0,0,0,156,131,7,1,2016-02-17,"5 years RI + Rs. 10,000 fine"
Koraput,2016-02,17,4,13,27,18,8,0,0,0,98,82,9,3,2016-02-12,Fine of Rs. 5000
Sambalpur,2016-02,15,3,8,45,14,18,0,0,0,152,107,17,3,2016-02-27,3 years Rigorous Imprisonment
Puri,2016-02,28,5,14,24,7,9,0,0,0,102,72,10,4,2016-02-22,2 years RI + Rs. 5000 fine
Balasore,2016-02,27,5,10,39,14,20,0,0,0,136,88,13,5,2016-02-10,1 year Probation
Rourkela,2016-02,43,13,16,71,24,23,0,0,0,210,159,21,5,2016-02-25,3 years Rigorous Imprisonment
Mayurbhanj,2016-02,17,5,11,23,10,7,0,0,0,71,66,5,0,2016-02-10,Fine of Rs. 5000
Cuttack,2016-02,59,14,27,86,42,23,0,0,0,307,264,43,7,2016-02-21,3 years Rigorous Imprisonment
Kalahandi,2016-02,14,6,8,15,6,6,0,0,0,58,44,4,1,2016-02-06,2 years RI + Rs. 5000 fine
Bhubaneswar,2016-03,71,9,36,97,50,23,0,0,0,312,235,54,5,2016-03-25,"5 years RI + Rs. 10,000 fine"
Ganjam,2016-03,36,8,17,56,24,21,0,0,0,197,157,7,5,2016-03-05,2 years RI + Rs. 5000 fine
Koraput,2016-03,23,8,15,25,5,6,0,0,0,86,60,15,3,2016-03-19,2 years RI + Rs. 5000 fine
Sambalpur,2016-03,37,12,23,44,22,22,0,0,0,152,128,7,2,2016-03-18,1 year Probation
Puri,2016-03,22,7,15,41,21,10,0,0,0,125,103,7,5,2016-03-23,Fine of Rs. 5000
Balasore,2016-03,28,11,17,37,20,10,0,0,0,160,123,15,3,2016-03-07,3 years Rigorous Imprisonment
Rourkela,2016-03,47,12,26,71,19,26,0,0,0,204,168,14,4,2016-03-15,2 years RI + Rs. 5000 fine
Mayurbhanj,2016-03,13,3,4,18,8,10,0,0,0,77,69,3,0,2016-03-04,2 years RI + Rs. 5000 fine
Cuttack,2016-03,49,11,20,98,46,34,0,0,0,299,211,33,9,2016-03-27,2 years RI + Rs. 5000 fine
Kalahandi,2016-03,11,3,5,26,9,15,0,0,0,60,54,5,0,2016-03-15,3 years Rigorous Imprisonment
Bhubaneswar,2016-04,68,18,43,86,34,34,0,0,0,279,238,19,3,2016-04-22,1 year Probation
Ganjam,2016-04,24,7,15,49,16,20,0,0,0,196,154,13,2,2016-04-21,6 months RI
Koraput,2016-04,16,3,13,20,7,10,0,0,0,87,72,5,1,2016-04-10,3 years Rigorous Imprisonment
Sambalpur,2016-04,23,5,14,47,25,22,0,0,0,129,112,17,7,2016-04-20,Fine of Rs. 5000
Puri,2016-04,24,6,10,30,14,12,0,0,0,119,101,18,4,2016-04-07,Acquitted
Balasore,2016-04,24,8,10,48,20,19,0,0,0,136,107,8,5,2016-04-11,3 years Rigorous Imprisonment
Rourkela,2016-04,38,8,18,67,34,26,0,0,0,196,154,9,5,2016-04-04,6 months RI
Mayurbhanj,2016-04,12,2,7,27,13,11,0,0,0,55,45,5,0,2016-04-15,Fine of Rs. 5000
Cuttack,2016-04,52,8,30,78,37,21,0,0,0,271,248,23,5,2016-04-19,2 years RI + Rs. 5000 fine
Kalahandi,2016-04,13,2,8,15,5,8,0,0,0,62,57,5,0,2016-04-17,Fine of Rs. 5000
Bhubaneswar,2016-05,57,22,25,94,46,40,0,0,0,306,273,25,6,2016-05-14,Acquitted
Ganjam,2016-05,47,8,34,61,34,23,0,0,0,180,166,6,1,2016-05-09,"5 years RI + Rs. 10,000 fine"
Koraput,2016-05,18,4,8,21,4,4,0,0,0,73,64,7,1,2016-05-20,2 years RI + Rs. 5000 fine
Sambalpur,2016-05,33,13,20,54,30,22,0,0,0,161,113,21,3,2016-05-15,Acquitted
Puri,2016-05,27,11,16,38,18,20,0,0,0,122,100,9,2,2016-05-16,2 years RI + Rs. 5000 fine
Balasore,2016-05,30,6,23,36,12,10,0,0,0,150,126,5,1,2016-05-11,Acquitted
Rourkela,2016-05,48,12,25,70,20,27,0,0,0,240,196,14,6,2016-05-16,Acquitted
Mayurbhanj,2016-05,17,6,8,22,12,10,0,0,0,72,50,8,2,2016-05-08,Acquitted
Cuttack,2016-05,71,23,39,86,45,26,0,0,0,269,208,33,9,2016-05-08,1 year Probation
Kalahandi,2016-05,11,4,7,24,12,8,0,0,0,52,39,6,1,2016-05-28,3 years Rigorous Imprisonment
Bhubaneswar,2016-06,56,19,26,89,45,32,0,0,0,328,250,36,2,2016-06-13,3 years Rigorous Imprisonment
Ganjam,2016-06,32,14,18,49,22,13,0,0,0,189,144,12,2,2016-06-04,Acquitted
Koraput,2016-06,8,2,4,17,6,6,0,0,0,81,73,3,1,2016-06-26,1 year Probation
Sambalpur,2016-06,42,9,24,51,22,14,0,0,0,139,106,23,4,2016-06-21,2 years RI + Rs. 5000 fine
Puri,2016-06,10,1,2,43,25,15,0,0,0,108,92,16,1,2016-06-14,"5 years RI + Rs. 10,000 fine"
Balasore,2016-06,29,4,15,49,11,17,0,0,0,139,94,13,2,2016-06-03,Acquitted
Rourkela,2016-06,51,10,26,58,34,22,0,0,0,219,165,35,3,2016-06-09,3 years Rigorous Imprisonment
Mayurbhanj,2016-06,15,2,4,25,9,13,0,0,0,73,64,6,2,2016-06-25,Fine of Rs. 5000
Cuttack,2016-06,52,10,28,82,44,30,0,0,0,275,214,37,4,2016-06-15,Fine of Rs. 5000
Kalahandi,2016-06,14,5,9,19,7,12,0,0,0,64,54,4,2,2016-06-13,Acquitted
Bhubaneswar,2016-07,57,15,28,96,31,47,0,0,0,290,258,8,7,2016-07-19,1 year Probation
Ganjam,2016-07,25,5,12,51,26,15,0,0,0,170,155,15,3,2016-07-22,1 year Probation
Koraput,2016-07,23,4,13,23,11,7,0,0,0,102,77,6,4,2016-07-27,Acquitted
Sambalpur,2016-07,28,5,20,47,18,22,0,0,0,140,115,14,4,2016-07-09,3 years Rigorous Imprisonment
Puri,2016-07,24,6,12,41,25,15,0,0,0,118,87,22,3,2016-07-13,2 years RI + Rs. 5000 fine
Balasore,2016-07,30,8,16,41,14,14,0,0,0,120,78,13,2,2016-07-10,6 months RI
Rourkela,2016-07,35,6,23,69,23,21,0,0,0,241,202,30,5,2016-07-23,6 months RI
Mayurbhanj,2016-07,11,2,4,19,4,8,0,0,0,78,61,11,0,2016-07-20,Fine of Rs. 5000
Cuttack,2016-07,37,7,20,88,39,30,0,0,0,298,247,21,5,2016-07-10,"5 years RI + Rs. 10,000 fine"
Kalahandi,2016-07,10,2,4,22,12,6,0,0,0,62,45,8,0,2016-07-24,Acquitted
Bhubaneswar,2016-08,49,10,33,76,35,35,0,0,0,298,253,44,8,2016-08-02,3 years Rigorous Imprisonment
Ganjam,2016-08,34,7,26,53,18,17,0,0,0,197,165,10,3,2016-08-11,Fine of Rs. 5000
Koraput,2016-08,20,5,12,24,12,7,0,0,0,89,58,10,0,2016-08-10,Acquitted
Sambalpur,2016-08,28,6,13,43,17,14,0,0,0,154,124,19,4,2016-08-11,"5 years RI + Rs. 10,000 fine"
Puri,2016-08,26,5,17,44,29,15,0,0,0,131,104,13,4,2016-08-19,6 months RI
Balasore,2016-08,29,10,19,38,16,22,0,0,0,162,113,6,0,2016-08-13,3 years Rigorous Imprisonment
Rourkela,2016-08,48,9,24,58,20,23,0,0,0,230,176,34,4,2016-08-07,Acquitted
Mayurbhanj,2016-08,10,2,8,19,4,6,0,0,0,69,56,13,0,2016-08-14,"5 years RI + Rs. 10,000 fine"
Cuttack,2016-08,65,11,38,80,36,44,0,0,0,268,209,39,3,2016-08-22,Acquitted
Kalahandi,2016-08,12,4,6,24,9,10,0,0,0,58,35,7,0,2016-08-16,Acquitted
Bhubaneswar,2016-09,60,13,27,98,31,39,0,0,0,314,258,9,6,2016-09-11,"5 years RI + Rs. 10,000 fine"
Ganjam,2016-09,31,10,17,55,33,20,0,0,0,170,120,16,7,2016-09-13,2 years RI + Rs. 5000 fine
Koraput,2016-09,15,5,8,18,9,9,0,0,0,84,60,14,1,2016-09-27,2 years RI + Rs. 5000 fine
Sambalpur,2016-09,24,7,17,46,21,21,0,0,0,150,123,18,3,2016-09-20,Fine of Rs. 5000
Puri,2016-09,17,2,9,36,23,13,0,0,0,118,109,9,5,2016-09-06,Fine of Rs. 5000
Balasore,2016-09,34,6,15,41,23,18,0,0,0,151,110,18,4,2016-09-15,3 years Rigorous Imprisonment
Rourkela,2016-09,49,14,20,61,22,16,0,0,0,227,201,22,1,2016-09-24,2 years RI + Rs. 5000 fine
Mayurbhanj,2016-09,17,3,6,20,8,6,0,0,0,75,52,5,0,2016-09-04,"5 years RI + Rs. 10,000 fine"
Cuttack,2016-09,62,13,39,80,28,31,0,0,0,293,227,48,6,2016-09-11,"5 years RI + Rs. 10,000 fine"
Kalahandi,2016-09,11,3,8,19,8,5,0,0,0,63,51,5,1,2016-09-14,6 months RI
Bhubaneswar,2016-10,67,18,28,86,51,35,0,0,0,272,251,15,5,2016-10-08,Acquitted
Ganjam,2016-10,37,15,17,58,23,27,0,0,0,177,158,7,3,2016-10-01,2 years RI + Rs. 5000 fine
Koraput,2016-10,16,3,9,20,6,10,0,0,0,80,62,9,1,2016-10-11,1 year Probation
Sambalpur,2016-10,28,4,11,46,26,14,0,0,0,165,114,27,2,2016-10-25,2 years RI + Rs. 5000 fine
Puri,2016-10,31,7,14,45,17,17,0,0,0,109,76,17,3,2016-10-02,2 years RI + Rs. 5000 fine
Balasore,2016-10,23,5,9,30,10,14,0,0,0,132,118,5,4,2016-10-03,Acquitted
Rourkela,2016-10,41,7,24,64,28,18,0,0,0,235,152,34,3,2016-10-28,6 months RI
Mayurbhanj,2016-10,18,4,8,19,8,8,0,0,0,76,55,3,0,2016-10-09,"5 years RI + Rs. 10,000 fine"
Cuttack,2016-10,52,15,24,80,47,24,0,0,0,256,170,22,6,2016-10-04,Fine of Rs. 5000
Kalahandi,2016-10,16,3,8,14,3,5,0,0,0,54,37,9,1,2016-10-26,3 years Rigorous Imprisonment
Bhubaneswar,2016-11,62,16,29,109,30,42,0,0,0,308,253,10,6,2016-11-24,3 years Rigorous Imprisonment
Ganjam,2016-11,29,4,15,47,18,18,0,0,0,175,145,30,4,2016-11-08,Fine of Rs. 5000
Koraput,2016-11,13,2,5,34,11,9,0,0,0,69,56,9,3,2016-11-15,"5 years RI + Rs. 10,000 fine"
Sambalpur,2016-11,40,11,20,35,18,17,0,0,0,138,100,21,3,2016-11-15,1 year Probation
Puri,2016-11,37,10,23,44,17,15,0,0,0,101,94,7,3,2016-11-26,1 year Probation
Balasore,2016-11,24,4,15,42,19,18,0,0,0,133,94,14,2,2016-11-15,2 years RI + Rs. 5000 fine
Rourkela,2016-11,39,19,20,65,25,28,0,0,0,212,132,31,4,2016-11-04,6 months RI
Mayurbhanj,2016-11,11,3,8,23,7,7,0,0,0,75,51,6,0,2016-11-17,1 year Probation
Cuttack,2016-11,54,16,29,109,48,32,0,0,0,294,233,37,2,2016-11-18,1 year Probation
Kalahandi,2016-11,9,1,6,26,13,8,0,0,0,62,52,2,1,2016-11-04,3 years Rigorous Imprisonment
Bhubaneswar,2016-12,57,17,29,87,34,29,0,0,0,295,264,31,8,2016-12-03,Fine of Rs. 5000
Ganjam,2016-12,26,8,16,49,16,23,0,0,0,180,147,22,8,2016-12-20,6 months RI
Koraput,2016-12,14,3,9,15,6,9,0,0,0,86,80,2,1,2016-12-23,1 year Probation
Sambalpur,2016-12,26,5,13,42,18,15,0,0,0,163,118,17,7,2016-12-02,"5 years RI + Rs. 10,000 fine"
Puri,2016-12,26,12,14,32,13,9,0,0,0,129,120,4,2,2016-12-21,"5 years RI + Rs. 10,000 fine"
Balasore,2016-12,25,9,14,43,17,13,0,0,0,105,96,4,4,2016-12-24,Fine of Rs. 5000
Rourkela,2016-12,46,11,23,62,22,16,0,0,0,218,174,26,6,2016-12-10,3 years Rigorous Imprisonment
Mayurbhanj,2016-12,19,4,12,15,6,4,0,0,0,62,42,8,1,2016-12-10,Acquitted
Cuttack,2016-12,55,10,33,80,44,20,0,0,0,294,239,36,6,2016-12-24,"5 years RI + Rs. 10,000 fine"
Kalahandi,2016-12,15,3,4,13,8,5,0,0,0,66,60,6,2,2016-12-17,3 years Rigorous Imprisonment
Bhubaneswar,2017-01,61,20,27,89,47,28,0,0,0,302,261,14,3,2017-01-27,Fine of Rs. 5000
Ganjam,2017-01,41,14,22,54,19,24,0,0,0,159,128,22,0,2017-01-04,3 years Rigorous Imprisonment
Koraput,2017-01,16,4,6,21,9,11,0,0,0,89,70,4,4,2017-01-14,3 years Rigorous Imprisonment
Sambalpur,2017-01,30,8,14,45,13,13,0,0,0,151,115,22,4,2017-01-04,"5 years RI + Rs. 10,000 fine"
