district,month,missing_boys_start,missing_boys_during,traced_boys,missing_girls_start,missing_girls_during,traced_girls,missing_men_start,missing_men_during,traced_men,missing_women_start,missing_women_during,traced_women
Kalahandi,2015-06,42,3,2,57,8,9,91,10,11,97,12,9
Bhubaneswar,2015-07,117,31,15,158,58,30,164,49,26,248,59,40
Ganjam,2015-07,95,22,19,124,34,22,135,23,22,179,42,33
Koraput,2015-07,54,10,2,70,6,4,89,6,10,98,6,18
Sambalpur,2015-07,74,18,15,94,26,17,112,24,16,148,23,26
Puri,2015-07,59,12,8,106,12,15,102,17,13,145,26,22
Balasore,2015-07,69,9,4,115,22,16,114,17,17,146,27,20
Rourkela,2015-07,92,23,14,142,37,28,140,26,23,188,51,35
Mayurbhanj,2015-07,60,12,7,52,10,5,81,6,10,103,7,9
Cuttack,2015-07,115,26,18,157,44,30,166,37,28,245,57,54
Kalahandi,2015-07,43,10,7,56,6,9,90,7,7,100,8,15
Bhubaneswar,2015-08,133,37,17,186,39,24,187,31,25,267,42,38
Ganjam,2015-08,98,16,15,136,30,16,136,20,20,188,32,38
Koraput,2015-08,62,3,10,72,16,8,85,6,7,86,10,10
Sambalpur,2015-08,77,13,7,103,16,15,120,18,15,145,20,28
Puri,2015-08,63,15,11,103,15,11,106,15,12,149,29,24
Balasore,2015-08,74,13,16,121,19,20,114,11,16,153,26,20
Rourkela,2015-08,101,17,20,151,30,22,143,33,22,204,33,34
Mayurbhanj,2015-08,65,9,8,57,10,7,77,14,16,101,9,10
Cuttack,2015-08,123,21,15,171,35,27,175,32,35,248,62,46
Kalahandi,2015-08,46,7,4,53,10,10,90,4,7,93,8,19
Bhubaneswar,2015-09,153,29,21,201,35,25,193,27,18,271,60,51
Ganjam,2015-09,99,15,15,150,23,22,136,17,18,182,33,34
Koraput,2015-09,55,12,8,80,13,10,84,12,6,86,19,10
Sambalpur,2015-09,83,10,12,104,26,21,123,27,24,137,22,15
Puri,2015-09,67,12,11,107,11,17,109,18,14,154,24,16
Balasore,2015-09,71,18,7,120,18,12,109,23,13,159,23,24
Rourkela,2015-09,98,24,13,159,23,28,154,29,25,203,43,35
Mayurbhanj,2015-09,66,6,9,60,13,3,75,8,5,100,7,12
Cuttack,2015-09,129,25,26,179,40,29,172,39,22,264,53,48
Kalahandi,2015-09,49,5,3,53,10,7,87,17,13,82,16,19
Bhubaneswar,2015-10,161,29,33,211,32,22,202,37,33,280,47,35
Ganjam,2015-10,99,18,12,151,31,13,135,23,21,181,21,28
Koraput,2015-10,59,3,8,83,7,8,90,14,10,95,20,17
Sambalpur,2015-10,81,17,13,109,24,21,126,8,14,144,27,29
Puri,2015-10,68,17,13,101,16,11,113,12,11,162,15,22
Balasore,2015-10,82,18,12,126,28,20,119,24,14,158,26,15
Rourkela,2015-10,109,32,9,154,32,26,158,33,19,211,40,26
Mayurbhanj,2015-10,63,8,7,70,12,9,78,7,8,95,6,19
Cuttack,2015-10,128,28,21,190,43,33,189,22,29,269,56,31
Kalahandi,2015-10,51,8,8,56,9,9,91,11,7,79,9,11
Bhubaneswar,2015-11,157,32,22,221,55,32,206,39,44,292,48,30
Ganjam,2015-11,105,16,18,169,19,26,137,19,18,174,30,27
Koraput,2015-11,54,13,8,82,12,13,94,8,11,98,18,20
Sambalpur,2015-11,85,13,11,112,18,15,120,15,20,142,35,25
Puri,2015-11,72,12,10,106,25,12,114,14,20,155,21,23
Balasore,2015-11,88,11,17,134,28,16,129,20,8,169,27,32
Rourkela,2015-11,132,23,15,160,37,33,172,44,23,225,25,35
Mayurbhanj,2015-11,64,8,9,73,14,10,77,6,8,82,12,13
Cuttack,2015-11,135,27,20,200,48,34,182,34,33,294,49,47
Kalahandi,2015-11,51,6,2,56,8,7,95,4,12,77,9,8
Bhubaneswar,2015-12,167,35,21,244,33,41,201,42,32,310,65,41
Ganjam,2015-12,103,17,15,162,34,28,138,21,21,177,39,36
Koraput,2015-12,59,4,4,81,8,18,91,10,11,96,15,17
Sambalpur,2015-12,87,12,4,115,26,14,115,18,15,152,21,20
Puri,2015-12,74,6,10,119,15,16,108,16,15,153,26,23
Balasore,2015-12,82,12,7,146,28,24,141,28,25,164,27,20
Rourkela,2015-12,140,26,30,164,34,34,193,29,20,215,50,34
Mayurbhanj,2015-12,63,3,8,77,8,8,75,10,9,81,11,10
Cuttack,2015-12,142,26,26,214,47,33,183,29,27,296,43,44
Kalahandi,2015-12,55,3,7,57,10,9,87,6,7,78,17,16
Bhubaneswar,2016-01,181,33,28,236,45,25,211,34,30,334,49,30
Ganjam,2016-01,105,24,11,168,42,28,138,20,22,180,27,30
Koraput,2016-01,59,10,9,71,13,7,90,7,14,94,20,13
Sambalpur,2016-01,95,18,5,127,19,16,118,14,23,153,27,18
Puri,2016-01,70,13,8,118,18,23,109,14,8,156,22,21
Balasore,2016-01,87,11,13,150,20,19,144,13,17,171,26,32
Rourkela,2016-01,136,26,18,164,38,21,202,31,25,231,41,36
Mayurbhanj,2016-01,58,5,4,77,13,12,76,12,9,82,15,11
Cuttack,2016-01,142,21,20,228,36,29,185,31,25,295,53,46
Kalahandi,2016-01,51,6,8,58,13,8,86,6,6,79,7,14
Bhubaneswar,2016-02,186,28,23,256,53,42,215,30,36,353,64,52
Ganjam,2016-02,118,13,14,182,25,32,136,25,17,177,26,29
Koraput,2016-02,60,9,8,77,9,6,83,13,10,101,11,18
Sambalpur,2016-02,108,11,12,130,29,20,109,17,15,162,29,24
Puri,2016-02,75,15,13,113,15,11,115,9,11,157,29,19
Balasore,2016-02,85,18,13,151,17,23,140,18,21,165,17,16
Rourkela,2016-02,144,28,29,181,30,28,208,27,32,236,44,34
Mayurbhanj,2016-02,59,3,4,78,19,11,79,7,9,86,10,10
Cuttack,2016-02,143,35,23,235,60,33,191,32,27,302,56,47
Kalahandi,2016-02,49,7,8,63,14,10,86,9,16,72,11,9
Bhubaneswar,2016-03,191,29,21,267,38,31,209,29,28,365,55,50
Ganjam,2016-03,117,12,13,175,30,12,144,26,19,174,31,27
Koraput,2016-03,61,6,9,80,11,6,86,5,9,94,11,12
Sambalpur,2016-03,107,9,13,139,17,14,111,18,15,167,25,18
Puri,2016-03,77,6,10,117,20,17,113,13,23,167,28,30
Balasore,2016-03,90,19,10,145,9,19,137,15,18,166,27,26
Rourkela,2016-03,143,18,17,183,29,34,203,28,30,246,38,35
Mayurbhanj,2016-03,58,5,8,86,11,7,77,4,7,86,8,13
Cuttack,2016-03,155,33,28,262,47,33,196,30,32,311,46,44
Kalahandi,2016-03,48,7,8,67,9,4,79,7,10,74,5,6
Bhubaneswar,2016-04,199,33,32,274,39,35,210,42,44,370,61,51
Ganjam,2016-04,116,17,15,193,23,27,151,25,20,178,33,27
Koraput,2016-04,58,4,5,85,10,14,82,4,10,93,17,11
Sambalpur,2016-04,103,24,13,142,23,28,114,13,18,174,22,12
Puri,2016-04,73,14,12,120,16,18,103,12,14,165,20,20
Balasore,2016-04,99,10,11,135,18,16,134,19,25,167,32,26
Rourkela,2016-04,144,19,22,178,27,32,201,27,22,249,42,43
Mayurbhanj,2016-04,55,7,6,90,11,17,74,9,8,81,13,14
Cuttack,2016-04,160,31,33,276,37,33,194,41,34,313,46,50
Kalahandi,2016-04,47,5,6,72,10,9,76,7,6,73,6,4
Bhubaneswar,2016-05,200,41,34,278,39,36,208,32,30,380,57,63
Ganjam,2016-05,118,17,10,189,27,27,156,25,33,184,28,18
Koraput,2016-05,57,8,9,81,14,11,76,12,17,99,19,16
Sambalpur,2016-05,114,14,23,137,19,25,109,14,11,184,32,23
Puri,2016-05,75,10,11,118,18,17,101,13,13,165,23,16
Balasore,2016-05,98,17,16,137,20,28,128,13,20,173,29,20
Rourkela,2016-05,141,23,20,173,32,31,206,27,24,248,33,32
Mayurbhanj,2016-05,56,8,15,84,8,9,75,13,22,80,21,13
Cuttack,2016-05,158,22,25,280,39,39,201,41,24,309,60,57
Kalahandi,2016-05,46,7,4,73,7,10,77,6,6,75,6,8
Bhubaneswar,2016-06,207,35,29,281,36,35,210,41,35,374,61,56
Ganjam,2016-06,125,20,21,189,27,27,148,21,23,194,33,37
Koraput,2016-06,56,10,9,84,14,9,71,9,15,102,17,13
Sambalpur,2016-06,105,14,14,131,27,16,112,15,18,193,25,31
Puri,2016-06,74,13,15,119,17,14,101,12,13,172,26,23
Balasore,2016-06,99,8,6,129,25,22,121,17,14,182,22,18
Rourkela,2016-06,144,30,27,174,19,24,209,22,32,249,41,28
Mayurbhanj,2016-06,49,9,10,83,10,16,66,9,9,88,14,14
Cuttack,2016-06,155,31,25,280,38,38,218,38,29,312,52,51
Kalahandi,2016-06,49,7,6,70,11,5,77,10,10,73,4,7
Bhubaneswar,2016-07,213,30,44,282,46,46,216,34,27,379,54,48
Ganjam,2016-07,124,20,13,189,26,34,146,30,23,190,32,33
Koraput,2016-07,57,8,8,89,5,12,65,8,13,106,18,17
Sambalpur,2016-07,105,12,18,142,26,13,109,22,10,187,20,26
Puri,2016-07,72,14,12,122,22,26,100,10,17,175,20,21
Balasore,2016-07,101,13,15,132,25,17,124,14,23,186,32,29
Rourkela,2016-07,147,27,28,169,30,25,199,18,25,262,50,53
Mayurbhanj,2016-07,48,8,9,77,9,7,66,9,11,88,20,15
Cuttack,2016-07,161,21,17,280,34,36,227,30,26,313,50,41
Kalahandi,2016-07,50,11,5,76,8,8,77,8,6,70,7,7
Bhubaneswar,2016-08,199,25,25,282,44,46,223,30,35,385,65,50
Ganjam,2016-08,131,12,11,181,34,21,153,18,27,189,32,20
Koraput,2016-08,57,8,10,82,15,12,60,5,8,107,10,12
Sambalpur,2016-08,99,31,16,155,27,22,121,19,23,181,36,27
Puri,2016-08,74,11,9,118,14,10,93,13,12,174,29,18
Balasore,2016-08,99,11,9,140,26,17,115,12,23,189,26,34
Rourkela,2016-08,146,24,18,174,43,34,192,22,27,259,36,27
Mayurbhanj,2016-08,47,13,7,79,5,11,64,4,10,93,12,14
Cuttack,2016-08,165,30,29,278,38,41,231,32,31,322,44,41
Kalahandi,2016-08,56,8,10,76,8,9,79,4,9,70,12,14
Bhubaneswar,2016-09,199,25,26,280,45,42,218,29,20,400,45,57
Ganjam,2016-09,132,24,24,194,31,24,144,19,16,201,31,27
Koraput,2016-09,55,9,7,85,11,13,57,5,16,105,11,9
Sambalpur,2016-09,114,18,21,160,25,25,117,17,19,190,33,31
Puri,2016-09,76,12,11,122,15,16,94,6,13,185,15,24
Balasore,2016-09,101,14,17,149,22,21,104,19,11,181,26,20
Rourkela,2016-09,152,28,25,183,37,33,187,18,29,268,37,40
Mayurbhanj,2016-09,53,6,6,73,5,7,58,7,8,91,13,11
Cuttack,2016-09,166,25,28,275,49,35,232,29,35,325,49,38
Kalahandi,2016-09,54,6,5,75,13,14,74,6,10,68,7,10
Bhubaneswar,2016-10,198,39,32,283,43,44,227,49,30,388,59,56
Ganjam,2016-10,132,19,19,201,31,30,147,27,21,205,34,37
Koraput,2016-10,57,8,11,83,13,16,46,8,8,107,10,11
Sambalpur,2016-10,111,14,17,160,14,17,115,19,12,192,30,31
Puri,2016-10,77,18,11,121,16,14,87,13,11,176,23,21
Balasore,2016-10,98,13,17,150,18,24,112,22,23,187,26,20
Rourkela,2016-10,155,21,25,187,34,28,176,20,29,265,39,33
Mayurbhanj,2016-10,53,8,6,71,8,11,57,6,11,93,9,13
Cuttack,2016-10,163,28,30,289,35,43,226,31,27,336,57,43
Kalahandi,2016-10,55,8,6,74,5,9,70,9,7,65,9,9
Bhubaneswar,2016-11,205,33,34,282,51,50,246,34,43,391,58,60
Ganjam,2016-11,132,21,27,202,34,31,153,21,13,202,35,24
Koraput,2016-11,54,8,7,80,5,8,46,10,9,106,10,14
Sambalpur,2016-11,108,12,16,157,19,25,122,16,19,191,28,34
Puri,2016-11,84,14,11,123,13,18,89,11,15,178,16,24
Balasore,2016-11,94,20,13,144,25,24,111,15,14,193,24,35
Rourkela,2016-11,151,21,15,193,41,42,167,26,27,271,44,40
Mayurbhanj,2016-11,55,10,11,68,12,12,52,8,7,89,11,7
Cuttack,2016-11,161,32,21,281,51,40,230,34,35,350,60,57
Kalahandi,2016-11,57,5,10,70,15,6,72,9,1,65,14,8
Bhubaneswar,2016-12,204,23,27,283,44,45,237,38,30,389,60,73
Ganjam,2016-12,126,16,22,205,31,29,161,28,29,213,31,26
Koraput,2016-12,55,12,11,77,10,11,47,18,4,102,7,13
Sambalpur,2016-12,104,13,14,151,24,23,119,16,19,185,25,35
Puri,2016-12,87,8,12,118,17,15,85,21,19,170,30,27
Balasore,2016-12,101,18,20,145,26,15,112,14,10,182,23,23
Rourkela,2016-12,157,28,29,192,39,39,166,27,31,275,35,35
Mayurbhanj,2016-12,54,8,6,68,12,14,53,12,7,93,12,17
Cuttack,2016-12,172,24,30,292,38,37,229,26,33,353,45,51
Kalahandi,2016-12,52,7,7,79,7,10,80,6,10,71,5,9
Bhubaneswar,2017-01,200,26,35,282,57,48,245,34,33,376,46,56
Ganjam,2017-01,120,24,15,207,35,37,160,18,28,218,34,36
Koraput,2017-01,56,10,14,76,9,11,61,10,10,96,8,9
Sambalpur,2017-01,103,11,19,152,19,23,116,18,19,175,45,38
Puri,2017-01,83,11,11,120,14,16,87,15,4,173,21,25
Balasore,2017-01,99,19,27,156,18,26,116,17,10,182,24,24
Rourkela,2017-01,156,28,21,192,34,28,162,23,18,275,52,39
Mayurbhanj,2017-01,56,7,4,66,13,8,58,4,13,88,6,7
Cuttack,2017-01,166,26,20,293,37,37,222,31,30,347,40,51
Kalahandi,2017-01,52,8,10,76,9,9,76,11,10,67,12,14
Bhubaneswar,2017-02,191,29,21,291,46,32,246,34,25,366,48,51
Ganjam,2017-02,129,19,19,205,25,36,150,17,22,216,31,35
Koraput,2017-02,52,5,10,74,17,14,61,15,12,95,21,14
Sambalpur,2017-02,95,20,15,148,21,20,115,25,27,182,26,30
Puri,2017-02,83,15,15,118,20,20,98,12,14,169,20,22
Balasore,2017-02,91,14,16,148,19,25,123,20,15,182,19,22
Rourkela,2017-02,163,17,22,198,34,36,167,23,24,288,44,47
Mayurbhanj,2017-02,59,5,6,71,15,11,49,8,4,87,17,9
Cuttack,2017-02,172,13,25,293,37,44,223,31,39,336,49,44
Kalahandi,2017-02,50,7,5,76,5,8,77,9,12,65,9,15
Bhubaneswar,2017-03,199,25,38,305,43,36,255,31,33,363,55,56
Ganjam,2017-03,129,23,18,194,42,37,145,23,22,212,37,31
Koraput,2017-03,47,10,6,77,13,13,64,6,12,102,10,10
Sambalpur,2017-03,100,19,17,149,16,16,113,22,16,178,31,24
Puri,2017-03,83,19,11,118,7,8,96,10,11,167,16,21
Balasore,2017-03,89,17,14,142,18,22,128,11,14,179,26,27
Rourkela,2017-03,158,25,25,196,33,36,166,30,20,285,35,35
Mayurbhanj,2017-03,58,7,6,75,8,11,53,8,6,95,11,11
Cuttack,2017-03,160,27,28,286,45,54,215,33,37,341,40,44
Kalahandi,2017-03,52,3,3,73,13,15,74,5,10,59,8,5
Bhubaneswar,2017-04,186,31,32,312,36,36,253,35,43,362,63,63
Ganjam,2017-04,134,21,22,199,24,30,146,25,23,218,41,45
Koraput,2017-04,51,4,1,77,17,16,58,6,15,102,15,16
Sambalpur,2017-04,102,24,13,149,22,24,119,12,12,185,26,27
Puri,2017-04,91,14,20,117,19,13,95,14,12,162,21,33
Balasore,2017-04,92,10,15,138,21,23,125,24,15,178,27,27
Rourkela,2017-04,158,14,17,193,36,47,176,32,30,285,40,39
Mayurbhanj,2017-04,59,6,9,72,11,9,55,11,9,95,14,13
Cuttack,2017-04,159,29,24,277,42,49,211,42,27,337,49,47
Kalahandi,2017-04,52,6,8,71,8,11,69,8,8,62,15,13
Bhubaneswar,2017-05,185,31,26,312,42,36,245,32,45,362,57,46
Ganjam,2017-05,133,14,18,193,35,31,148,30,29,214,30,23
Koraput,2017-05,54,10,12,78,16,15,49,14,14,101,16,21
Sambalpur,2017-05,113,16,23,147,14,20,119,16,7,184,31,23
Puri,2017-05,85,10,13,123,17,20,97,11,9,150,15,22
Balasore,2017-05,87,15,8,136,14,19,134,24,20,178,20,18
Rourkela,2017-05,155,15,12,182,28,24,178,26,28,286,42,47
Mayurbhanj,2017-05,56,5,5,74,8,13,57,10,10,96,13,14
Cuttack,2017-05,164,33,25,270,40,41,226,32,33,339,62,44
Kalahandi,2017-05,50,4,6,68,6,3,69,3,7,64,12,9
Bhubaneswar,2017-06,190,25,26,318,44,43,232,36,34,373,50,44
Ganjam,2017-06,129,11,18,197,21,26,149,25,22,221,31,33
Koraput,2017-06,52,13,5,79,17,14,49,11,12,96,18,11
Sambalpur,2017-06,106,17,13,141,29,19,128,26,24,192,23,27
Puri,2017-06,82,7,6,120,15,13,99,17,16,143,21,20
Balasore,2017-06,94,12,10,131,15,15,138,19,27,180,21,27
Rourkela,2017-06,158,18,19,186,30,36,176,28,25,281,53,46
Mayurbhanj,2017-06,56,10,11,69,15,10,57,9,4,95,11,8
Cuttack,2017-06,172,29,26,269,52,29,225,32,26,357,61,52
Kalahandi,2017-06,48,5,6,71,5,7,65,6,8,67,12,11
Bhubaneswar,2017-07,189,34,24,319,32,41,234,35,23,379,53,57
Ganjam,2017-07,122,12,11,192,27,36,152,24,18,219,27,29
Koraput,2017-07,60,7,6,82,5,8,48,5,5,103,17,18
Sambalpur,2017-07,110,11,12,151,21,13,130,17,23,188,25,35
Puri,2017-07,83,15,19,122,17,18,100,9,10,144,21,26
Balasore,2017-07,96,19,12,131,24,23,130,18,17,174,25,19
Rourkela,2017-07,157,20,24,180,30,23,179,20,25,288,37,46
Mayurbhanj,2017-07,55,10,6,74,11,5,62,10,7,98,19,10
Cuttack,2017-07,175,38,23,292,48,40,231,38,35,366,53,56
Kalahandi,2017-07,47,5,8,69,11,11,63,4,6,68,10,8
Bhubaneswar,2017-08,199,23,29,310,39,38,246,38,32,375,63,34
Ganjam,2017-08,123,22,22,183,26,23,158,25,18,217,27,28
Koraput,2017-08,61,14,12,79,16,16,48,10,9,102,13,10
Sambalpur,2017-08,109,11,14,159,20,20,124,18,19,178,26,31
Puri,2017-08,79,9,14,121,17,12,99,12,12,139,23,12
Balasore,2017-08,103,14,18,132,22,18,131,17,16,180,28,25
Rourkela,2017-08,153,21,22,187,30,30,174,28,23,279,49,58
Mayurbhanj,2017-08,59,6,4,80,10,12,65,3,8,107,15,13
Cuttack,2017-08,190,32,34,300,48,46,234,29,44,363,52,51
Kalahandi,2017-08,44,6,1,69,9,6,61,6,9,70,5,9
Bhubaneswar,2017-09,193,29,28,311,40,34,252,40,35,404,43,55
Ganjam,2017-09,123,28,25,186,31,30,165,20,25,216,28,35
Koraput,2017-09,63,4,5,79,16,15,49,8,4,105,13,11
Sambalpur,2017-09,106,14,12,159,24,19,123,12,19,173,42,22
Puri,2017-09,74,13,11,126,21,15,99,19,14,150,18,24
Balasore,2017-09,99,13,10,136,21,18,132,18,14,183,28,28
Rourkela,2017-09,152,28,26,187,38,25,179,23,16,270,31,42
Mayurbhanj,2017-09,61,5,3,78,7,8,60,7,2,109,13,15
Cuttack,2017-09,188,20,21,302,50,52,219,26,32,364,45,55
Kalahandi,2017-09,49,3,4,72,11,17,58,8,11,66,10,7
Bhubaneswar,2017-10,194,37,30,317,49,54,257,41,35,392,46,42
Ganjam,2017-10,126,18,12,187,41,31,160,21,23,209,34,30
Koraput,2017-10,62,3,5,80,5,12,53,12,13,107,13,20
Sambalpur,2017-10,108,13,15,164,18,11,116,24,23,193,29,28
Puri,2017-10,76,15,13,132,24,20,104,14,12,144,21,23
Balasore,2017-10,102,17,15,139,15,20,136,19,20,183,19,29
Rourkela,2017-10,154,23,18,200,34,34,186,25,29,259,40,50
Mayurbhanj,2017-10,63,6,10,77,12,7,65,12,3,107,14,14
Cuttack,2017-10,187,26,20,300,40,36,213,32,35,354,55,50
Kalahandi,2017-10,48,6,5,66,14,21,55,4,6,69,13,12
Bhubaneswar,2017-11,201,35,28,312,48,50,263,40,42,396,52,55
Ganjam,2017-11,132,16,11,197,30,27,158,21,17,213,33,42
Koraput,2017-11,60,9,6,73,8,9,52,7,6,100,10,10
Sambalpur,2017-11,106,14,19,171,18,15,117,12,18,194,29,23
Puri,2017-11,78,18,17,136,11,16,106,15,13,142,15,18
Balasore,2017-11,104,18,14,134,20,18,135,17,23,173,32,28
Rourkela,2017-11,159,30,26,200,32,20,182,20,25,249,42,30
Mayurbhanj,2017-11,59,8,10,82,12,10,74,7,8,107,17,13
Cuttack,2017-11,193,27,31,304,53,54,210,28,36,359,42,41
Kalahandi,2017-11,49,10,6,59,7,6,53,7,9,70,12,16
Bhubaneswar,2017-12,208,30,21,310,47,53,261,29,36,393,64,47
Ganjam,2017-12,137,26,18,200,24,30,162,18,23,204,26,31
Koraput,2017-12,63,3,10,72,12,6,53,11,16,100,23,20
Sambalpur,2017-12,101,14,26,174,23,27,111,17,20,200,34,30
Puri,2017-12,79,6,4,131,17,18,108,18,15,139,27,22
Balasore,2017-12,108,15,10,136,23,21,129,15,12,177,22,26
Rourkela,2017-12,163,28,31,212,36,33,177,28,22,261,38,43
Mayurbhanj,2017-12,57,9,10,84,10,12,73,7,10,111,13,21
Cuttack,2017-12,189,27,26,303,35,44,202,24,24,360,50,54
Kalahandi,2017-12,53,8,10,60,8,5,51,10,5,66,8,9
Bhubaneswar,2018-01,217,39,30,304,38,43,254,35,31,410,53,55
Ganjam,2018-01,145,18,31,194,24,28,157,22,13,199,38,29
Koraput,2018-01,56,10,11,78,8,8,48,6,3,103,13,20
Sambalpur,2018-01,89,17,20,170,29,25,108,24,16,204,30,25
Puri,2018-01,81,9,10,130,22,22,111,21,17,144,18,28
Balasore,2018-01,113,8,14,138,12,21,132,12,23,173,30,24
Rourkela,2018-01,160,22,20,215,33,33,183,35,35,256,41,33
Mayurbhanj,2018-01,56,10,13,82,5,10,70,6,9,103,14,13
Cuttack,2018-01,190,24,26,294,46,46,202,23,31,356,40,35
Kalahandi,2018-01,51,1,10,63,7,5,56,11,12,65,13,10
Bhubaneswar,2018-02,226,38,33,299,43,37,258,44,37,408,47,53
Ganjam,2018-02,132,16,14,190,33,34,166,26,28,208,23,23
Koraput,2018-02,55,11,15,78,12,18,51,10,8,96,18,13
Sambalpur,2018-02,86,13,12,174,24,17,116,17,16,209,35,33
Puri,2018-02,80,16,16,130,17,15,115,9,20,134,20,17
Balasore,2018-02,107,10,10,129,15,26,121,17,12,179,23,23
Rourkela,2018-02,162,22,23,215,42,35,183,30,28,264,30,38
Mayurbhanj,2018-02,53,8,3,77,7,6,67,7,10,104,15,21
Cuttack,2018-02,188,26,24,294,41,51,194,33,38,361,38,59
Kalahandi,2018-02,42,7,6,65,9,5,55,6,4,68,13,12
Bhubaneswar,2018-03,231,30,42,305,44,51,265,38,40,402,63,72
Ganjam,2018-03,134,10,16,189,34,32,164,25,32,208,33,34
Koraput,2018-03,51,10,10,72,9,14,53,10,11,101,16,19
Sambalpur,2018-03,87,14,12,181,18,24,117,16,21,211,31,30
Puri,2018-03,80,11,14,132,16,22,104,21,21,137,22,20
Balasore,2018-03,107,21,15,118,22,20,126,15,13,179,31,20
Rourkela,2018-03,161,24,30,222,27,30,185,30,26,256,41,37
Mayurbhanj,2018-03,58,6,3,78,12,11,64,4,5,98,13,14
Cuttack,2018-03,190,33,27,284,39,39,189,42,24,340,49,35
Kalahandi,2018-03,43,3,0,69,9,7,57,6,12,69,10,7
