district,month,nbw_pending_start,nbw_received,nbw_executed_drive,nbw_disposed_other,nbw_total_disposed,nbw_pending_end,nbw_executed_st_gr,nbw_executed_before2023
Cuttack,2015-04,627,282,185,101,286,623,69,6
Kalahandi,2015-04,500,52,28,13,41,511,6,7
Bhubaneswar,2015-05,661,305,211,102,313,653,52,10
Ganjam,2015-05,601,178,111,49,160,619,42,10
Koraput,2015-05,568,58,53,22,75,551,12,7
Sambalpur,2015-05,637,148,107,47,154,631,40,5
Puri,2015-05,567,129,70,33,103,593,22,5
Balasore,2015-05,567,151,67,35,102,616,19,8
Rourkela,2015-05,633,210,145,67,212,631,43,7
Mayurbhanj,2015-05,585,77,37,21,58,604,8,4
Cuttack,2015-05,623,263,168,80,248,638,53,6
Kalahandi,2015-05,511,55,34,8,42,524,13,9
Bhubaneswar,2015-06,653,295,192,111,303,645,65,13
Ganjam,2015-06,619,154,134,52,186,587,28,1
Koraput,2015-06,551,75,54,18,72,554,13,6
Sambalpur,2015-06,631,162,95,42,137,656,35,5
Puri,2015-06,593,127,76,36,112,608,26,5
Balasore,2015-06,616,145,96,43,139,622,35,5
Rourkela,2015-06,631,203,124,76,200,634,33,10
Mayurbhanj,2015-06,604,74,41,34,75,603,11,7
Cuttack,2015-06,638,312,181,78,259,691,45,6
Kalahandi,2015-06,524,57,32,20,52,529,9,3
Bhubaneswar,2015-07,645,308,197,94,291,662,46,8
Ganjam,2015-07,587,177,108,43,151,613,32,9
Koraput,2015-07,554,86,50,21,71,569,13,3
Sambalpur,2015-07,656,144,109,51,160,640,41,11
Puri,2015-07,608,132,90,30,120,620,31,4
Balasore,2015-07,622,125,74,42,116,631,24,9
Rourkela,2015-07,634,232,143,83,226,640,36,10
Mayurbhanj,2015-07,603,65,40,27,67,601,14,4
Cuttack,2015-07,691,271,159,100,259,703,58,6
Kalahandi,2015-07,529,72,27,11,38,563,6,5
Bhubaneswar,2015-08,662,327,197,87,284,705,60,7
Ganjam,2015-08,613,177,110,59,169,621,34,5
Koraput,2015-08,569,97,45,19,64,602,10,3
Sambalpur,2015-08,640,154,85,52,137,657,33,11
Puri,2015-08,620,110,87,36,123,607,33,9
Balasore,2015-08,631,127,100,41,141,617,32,6
Rourkela,2015-08,640,241,151,79,230,651,35,1
Mayurbhanj,2015-08,601,67,57,26,83,585,14,5
Cuttack,2015-08,703,256,201,107,308,651,49,8
Kalahandi,2015-08,563,84,33,18,51,596,9,5
Bhubaneswar,2015-09,705,292,220,114,334,663,65,4
Ganjam,2015-09,621,183,114,60,174,630,37,4
Koraput,2015-09,602,85,50,16,66,621,10,6
Sambalpur,2015-09,657,160,102,43,145,672,30,12
Puri,2015-09,607,114,85,32,117,604,20,9
Balasore,2015-09,617,141,80,40,120,638,29,7
Rourkela,2015-09,651,237,148,61,209,679,40,5
Mayurbhanj,2015-09,585,61,34,16,50,596,12,5
Cuttack,2015-09,651,255,185,104,289,617,69,3
Kalahandi,2015-09,596,58,51,15,66,588,13,6
Bhubaneswar,2015-10,663,303,210,105,315,651,55,6
Ganjam,2015-10,630,177,96,44,140,667,23,7
Koraput,2015-10,621,88,52,22,74,635,18,7
Sambalpur,2015-10,672,139,107,44,151,660,29,2
Puri,2015-10,604,120,79,34,113,611,17,8
Balasore,2015-10,638,134,95,31,126,646,22,8
Rourkela,2015-10,679,229,156,77,233,675,31,6
Mayurbhanj,2015-10,596,73,51,29,80,589,19,4
Cuttack,2015-10,617,288,165,96,261,644,45,6
Kalahandi,2015-10,588,80,38,20,58,610,8,5
Bhubaneswar,2015-11,651,269,214,104,318,602,73,8
Ganjam,2015-11,667,180,111,51,162,685,23,6
Koraput,2015-11,635,92,46,24,70,657,16,4
Sambalpur,2015-11,660,154,107,49,156,658,40,6
Puri,2015-11,611,124,86,36,122,613,21,9
Balasore,2015-11,646,128,87,44,131,643,31,14
Rourkela,2015-11,675,234,158,72,230,679,37,2
Mayurbhanj,2015-11,589,72,50,17,67,594,13,3
Cuttack,2015-11,644,300,187,92,279,665,46,9
Kalahandi,2015-11,610,63,37,17,54,619,14,4
Bhubaneswar,2015-12,602,289,172,92,264,627,53,3
Ganjam,2015-12,685,171,98,47,145,711,35,9
Koraput,2015-12,657,95,60,24,84,668,12,6
Sambalpur,2015-12,658,129,94,44,138,649,24,7
Puri,2015-12,613,128,63,43,106,635,23,6
Balasore,2015-12,643,124,92,37,129,638,34,9
Rourkela,2015-12,679,206,149,82,231,654,40,9
Mayurbhanj,2015-12,594,67,48,28,76,585,15,12
Cuttack,2015-12,665,293,178,70,248,710,38,5
Kalahandi,2015-12,619,51,43,23,66,604,12,8
Bhubaneswar,2016-01,627,280,199,88,287,620,64,5
Ganjam,2016-01,711,190,141,66,207,694,39,12
Koraput,2016-01,668,87,59,33,92,663,18,7
Sambalpur,2016-01,649,152,95,47,142,659,23,9
Puri,2016-01,635,118,71,38,109,644,27,9
Balasore,2016-01,638,140,81,44,125,653,29,9
Rourkela,2016-01,654,199,145,79,224,629,55,5
Mayurbhanj,2016-01,585,59,50,14,64,580,10,7
Cuttack,2016-01,710,256,210,95,305,661,81,7
Kalahandi,2016-01,604,63,36,28,64,603,12,8
Bhubaneswar,2016-02,620,306,176,91,267,659,66,6
Ganjam,2016-02,694,164,121,57,178,680,33,10
Koraput,2016-02,663,78,35,27,62,679,11,8
Sambalpur,2016-02,659,129,78,56,134,654,20,12
Puri,2016-02,644,117,80,34,114,647,30,7
Balasore,2016-02,653,152,114,44,158,647,27,7
Rourkela,2016-02,629,228,137,77,214,643,30,9
Mayurbhanj,2016-02,580,72,42,30,72,580,12,3
Cuttack,2016-02,661,253,165,86,251,663,58,6
Kalahandi,2016-02,603,44,39,15,54,593,8,8
Bhubaneswar,2016-03,659,292,188,95,283,668,65,4
Ganjam,2016-03,680,202,118,65,183,699,46,5
Koraput,2016-03,679,82,52,32,84,677,12,7
Sambalpur,2016-03,654,165,88,36,124,695,27,5
Puri,2016-03,647,121,68,41,109,659,14,4
Balasore,2016-03,647,137,89,44,133,651,21,5
Rourkela,2016-03,643,217,138,71,209,651,39,3
Mayurbhanj,2016-03,580,71,41,21,62,589,9,4
Cuttack,2016-03,663,279,203,106,309,633,46,7
Kalahandi,2016-03,593,59,44,15,59,593,15,6
Bhubaneswar,2016-04,668,308,194,108,302,674,51,7
Ganjam,2016-04,699,193,120,69,189,703,24,4
Koraput,2016-04,677,91,58,38,96,672,16,9
Sambalpur,2016-04,695,161,84,54,138,718,19,3
Puri,2016-04,659,120,96,42,138,641,29,6
Balasore,2016-04,651,153,101,36,137,667,23,6
Rourkela,2016-04,651,212,143,80,223,640,39,7
Mayurbhanj,2016-04,589,72,35,19,54,607,8,4
Cuttack,2016-04,633,306,181,86,267,672,41,8
Kalahandi,2016-04,593,76,32,20,52,617,10,4
Bhubaneswar,2016-05,674,285,206,95,301,658,46,8
Ganjam,2016-05,703,184,122,69,191,696,40,10
Koraput,2016-05,672,88,49,29,78,682,18,11
Sambalpur,2016-05,718,139,103,48,151,706,34,9
Puri,2016-05,641,126,82,45,127,640,27,3
Balasore,2016-05,667,163,89,55,144,686,26,7
Rourkela,2016-05,640,228,142,64,206,662,50,4
Mayurbhanj,2016-05,607,60,39,21,60,607,11,5
Cuttack,2016-05,672,284,207,96,303,653,51,6
Kalahandi,2016-05,617,76,42,25,67,626,16,5
Bhubaneswar,2016-06,658,317,190,100,290,685,53,6
Ganjam,2016-06,696,186,121,77,198,684,41,6
Koraput,2016-06,682,77,46,22,68,691,16,8
Sambalpur,2016-06,706,140,125,55,180,666,37,4
Puri,2016-06,640,102,74,40,114,628,25,8
Balasore,2016-06,686,113,97,50,147,652,26,8
Rourkela,2016-06,662,223,130,76,206,679,44,6
Mayurbhanj,2016-06,607,60,41,17,58,609,10,9
Cuttack,2016-06,653,275,178,93,271,657,42,1
Kalahandi,2016-06,626,65,39,22,61,630,10,7
Bhubaneswar,2016-07,685,339,216,116,332,692,63,5
Ganjam,2016-07,684,176,110,74,184,676,38,2
Koraput,2016-07,691,85,73,25,98,678,26,3
Sambalpur,2016-07,666,136,90,44,134,668,24,8
Puri,2016-07,628,146,74,41,115,659,24,7
Balasore,2016-07,652,143,85,45,130,665,28,14
Rourkela,2016-07,679,249,163,74,237,691,51,8
Mayurbhanj,2016-07,609,72,44,22,66,615,13,3
Cuttack,2016-07,657,299,166,101,267,689,61,5
Kalahandi,2016-07,630,63,32,15,47,646,12,10
Bhubaneswar,2016-08,692,283,202,99,301,674,76,8
Ganjam,2016-08,676,156,116,72,188,644,27,2
Koraput,2016-08,678,81,41,28,69,690,15,5
Sambalpur,2016-08,668,142,91,56,147,663,27,5
Puri,2016-08,659,109,82,40,122,646,29,5
Balasore,2016-08,665,124,91,53,144,645,20,7
Rourkela,2016-08,691,215,136,79,215,691,53,7
Mayurbhanj,2016-08,615,67,46,26,72,610,14,7
Cuttack,2016-08,689,292,177,93,270,711,35,2
Kalahandi,2016-08,646,51,42,20,62,635,8,11
Bhubaneswar,2016-09,674,277,182,97,279,672,71,3
Ganjam,2016-09,644,190,121,62,183,651,26,9
Koraput,2016-09,690,81,52,25,77,694,18,8
Sambalpur,2016-09,663,140,101,55,156,647,24,7
Puri,2016-09,646,124,79,42,121,649,29,8
Balasore,2016-09,645,137,84,44,128,654,26,4
Rourkela,2016-09,691,195,153,72,225,661,48,4
Mayurbhanj,2016-09,610,67,38,18,56,621,8,5
Cuttack,2016-09,711,292,189,97,286,717,39,9
Kalahandi,2016-09,635,40,29,26,55,620,7,2
Bhubaneswar,2016-10,672,313,192,101,293,692,45,5
Ganjam,2016-10,651,168,99,70,169,650,22,3
Koraput,2016-10,694,95,45,30,75,714,13,7
Sambalpur,2016-10,647,147,88,43,131,663,35,4
Puri,2016-10,649,123,83,37,120,652,31,5
Balasore,2016-10,654,141,83,49,132,663,31,8
Rourkela,2016-10,661,243,157,61,218,686,43,4
Mayurbhanj,2016-10,621,73,48,31,79,615,16,7
Cuttack,2016-10,717,270,178,88,266,721,38,6
Kalahandi,2016-10,620,80,47,24,71,629,13,3
Bhubaneswar,2016-11,692,304,230,94,324,672,89,3
Ganjam,2016-11,650,180,115,63,178,652,38,7
Koraput,2016-11,714,74,61,22,83,705,14,7
Sambalpur,2016-11,663,160,117,61,178,645,30,5
Puri,2016-11,652,113,84,54,138,627,28,12
Balasore,2016-11,663,143,89,47,136,670,27,8
Rourkela,2016-11,686,221,150,58,208,699,49,6
Mayurbhanj,2016-11,615,91,45,22,67,639,9,9
Cuttack,2016-11,721,273,192,100,292,702,49,8
Kalahandi,2016-11,629,48,40,21,61,616,8,11
Bhubaneswar,2016-12,672,275,211,100,311,636,69,10
Ganjam,2016-12,652,205,122,63,185,672,29,1
Koraput,2016-12,705,77,66,28,94,688,18,5
Sambalpur,2016-12,645,108,119,42,161,592,37,8
Puri,2016-12,627,119,49,36,85,661,19,6
Balasore,2016-12,670,106,87,50,137,639,24,10
Rourkela,2016-12,699,209,139,72,211,697,38,10
Mayurbhanj,2016-12,639,72,51,27,78,633,15,11
Cuttack,2016-12,702,268,196,97,293,677,58,5
Kalahandi,2016-12,616,68,46,23,69,615,9,10
Bhubaneswar,2017-01,636,304,189,98,287,653,69,6
Ganjam,2017-01,672,188,129,47,176,684,37,7
Koraput,2017-01,688,83,64,37,101,670,24,9
Sambalpur,2017-01,592,145,84,35,119,618,27,8
Puri,2017-01,661,126,88,33,121,666,25,4
Balasore,2017-01,639,129,80,45,125,643,22,10
Rourkela,2017-01,697,214,153,80,233,678,34,5
Mayurbhanj,2017-01,633,71,36,22,58,646,10,9
Cuttack,2017-01,677,282,192,74,266,693,65,5
Kalahandi,2017-01,615,56,50,22,72,599,15,7
Bhubaneswar,2017-02,653,294,200,118,318,629,41,10
Ganjam,2017-02,684,170,149,82,231,623,34,5
Koraput,2017-02,670,88,51,26,77,681,13,6
Sambalpur,2017-02,618,141,91,55,146,613,20,3
Puri,2017-02,666,108,83,43,126,648,24,9
Balasore,2017-02,643,158,98,33,131,670,27,8
Rourkela,2017-02,678,220,156,73,229,669,34,14
Mayurbhanj,2017-02,646,59,44,25,69,636,10,10
Cuttack,2017-02,693,275,186,119,305,663,52,5
Kalahandi,2017-02,599,46,29,14,43,602,6,2
Bhubaneswar,2017-03,629,306,190,95,285,650,43,4
Ganjam,2017-03,623,184,117,57,174,633,35,4
Koraput,2017-03,681,71,45,32,77,675,15,8
Sambalpur,2017-03,613,160,97,45,142,631,28,3
Puri,2017-03,648,116,77,42,119,645,22,6
Balasore,2017-03,670,131,74,48,122,679,29,9
Rourkela,2017-03,669,228,151,70,221,676,47,7
Mayurbhanj,2017-03,636,65,56,19,75,626,12,5
Cuttack,2017-03,663,271,196,91,287,647,42,7
Kalahandi,2017-03,602,62,36,23,59,605,9,7
Bhubaneswar,2017-04,650,304,179,95,274,680,54,4
Ganjam,2017-04,633,180,123,60,183,630,24,10
Koraput,2017-04,675,72,42,31,73,674,15,8
Sambalpur,2017-04,631,146,100,40,140,637,22,8
Puri,2017-04,645,134,73,28,101,678,27,9
Balasore,2017-04,679,134,98,50,148,665,26,7
Rourkela,2017-04,676,234,153,81,234,676,35,7
Mayurbhanj,2017-04,626,67,50,21,71,622,19,5
Cuttack,2017-04,647,287,195,85,280,654,53,7
Kalahandi,2017-04,605,55,27,13,40,620,10,8
Bhubaneswar,2017-05,680,311,225,99,324,667,66,6
Ganjam,2017-05,630,204,99,62,161,673,30,8
Koraput,2017-05,674,75,61,33,94,655,13,5
Sambalpur,2017-05,637,160,96,47,143,654,28,9
Puri,2017-05,678,131,94,41,135,674,34,6
Balasore,2017-05,665,141,97,50,147,659,37,4
Rourkela,2017-05,676,221,149,72,221,676,41,7
Mayurbhanj,2017-05,622,63,45,20,65,620,10,12
Cuttack,2017-05,654,274,159,93,252,676,52,7
Kalahandi,2017-05,620,49,45,23,68,601,15,9
Bhubaneswar,2017-06,667,290,213,110,323,634,67,4
Ganjam,2017-06,673,221,128,57,185,709,45,7
Koraput,2017-06,655,79,57,26,83,651,13,5
Sambalpur,2017-06,654,160,104,39,143,671,41,5
Puri,2017-06,674,104,83,32,115,663,32,7
Balasore,2017-06,659,134,99,54,153,640,25,7
Rourkela,2017-06,676,207,136,92,228,655,51,8
Mayurbhanj,2017-06,620,87,51,20,71,636,17,6
Cuttack,2017-06,676,261,204,98,302,635,66,3
Kalahandi,2017-06,601,64,41,29,70,595,11,7
Bhubaneswar,2017-07,634,325,202,98,300,659,79,5
Ganjam,2017-07,709,167,137,65,202,674,32,9
Koraput,2017-07,651,85,51,27,78,658,14,6
Sambalpur,2017-07,671,160,105,46,151,680,25,9
Puri,2017-07,663,117,82,46,128,652,20,9
Balasore,2017-07,640,132,84,50,134,638,31,5
Rourkela,2017-07,655,227,168,69,237,645,64,2
Mayurbhanj,2017-07,636,71,51,18,69,638,13,3
Cuttack,2017-07,635,239,182,98,280,594,71,9
Kalahandi,2017-07,595,49,35,15,50,594,11,7
Bhubaneswar,2017-08,659,301,193,96,289,671,62,10
Ganjam,2017-08,674,192,115,54,169,697,25,7
Koraput,2017-08,658,86,50,31,81,663,16,13
Sambalpur,2017-08,680,144,103,43,146,678,24,8
Puri,2017-08,652,111,66,41,107,656,17,6
Balasore,2017-08,638,126,94,35,129,635,24,7
Rourkela,2017-08,645,197,157,79,236,606,34,11
Mayurbhanj,2017-08,638,65,40,17,57,646,11,4
Cuttack,2017-08,594,281,183,92,275,600,60,7
Kalahandi,2017-08,594,78,43,18,61,611,14,2
Bhubaneswar,2017-09,671,275,201,117,318,628,41,7
Ganjam,2017-09,697,176,128,71,199,674,37,9
Koraput,2017-09,663,84,64,30,94,653,24,9
Sambalpur,2017-09,678,147,103,51,154,671,27,13
Puri,2017-09,656,107,93,43,136,627,25,3
Balasore,2017-09,635,135,94,41,135,635,35,13
Rourkela,2017-09,606,232,129,62,191,647,46,2
Mayurbhanj,2017-09,646,70,40,22,62,654,12,8
Cuttack,2017-09,600,267,179,88,267,600,69,3
Kalahandi,2017-09,611,56,32,19,51,616,9,8
Bhubaneswar,2017-10,628,279,198,99,297,610,69,7
Ganjam,2017-10,674,181,142,58,200,655,36,6
Koraput,2017-10,653,76,54,19,73,656,15,9
Sambalpur,2017-10,671,148,101,41,142,677,27,8
Puri,2017-10,627,117,68,35,103,641,21,6
Balasore,2017-10,635,145,104,33,137,643,32,13
Rourkela,2017-10,647,224,127,70,197,674,29,10
Mayurbhanj,2017-10,654,75,47,25,72,657,14,5
Cuttack,2017-10,600,314,170,50,220,694,48,6
Kalahandi,2017-10,616,47,34,13,47,616,7,3
Bhubaneswar,2017-11,610,297,180,79,259,648,60,3
Ganjam,2017-11,655,186,125,45,170,671,45,9
Koraput,2017-11,656,88,60,41,101,643,18,5
Sambalpur,2017-11,677,135,97,32,129,683,24,5
Puri,2017-11,641,116,69,43,112,645,20,7
Balasore,2017-11,643,133,84,57,141,635,32,4
Rourkela,2017-11,674,217,141,87,228,663,44,9
Mayurbhanj,2017-11,657,83,38,17,55,685,12,3
Cuttack,2017-11,694,275,210,95,305,664,77,9
Kalahandi,2017-11,616,69,35,24,59,626,7,3
Bhubaneswar,2017-12,648,285,181,112,293,640,61,9
Ganjam,2017-12,671,158,116,48,164,665,27,7
Koraput,2017-12,643,78,56,30,86,635,14,2
Sambalpur,2017-12,683,151,94,47,141,693,20,5
Puri,2017-12,645,133,82,45,127,651,22,5
Balasore,2017-12,635,108,74,47,121,622,20,5
Rourkela,2017-12,663,234,143,43,186,711,55,6
Mayurbhanj,2017-12,685,65,37,22,59,691,12,6
Cuttack,2017-12,664,314,191,91,282,696,60,8
Kalahandi,2017-12,626,74,30,12,42,658,6,11
Bhubaneswar,2018-01,640,300,207,97,304,636,49,2
Ganjam,2018-01,665,172,127,67,194,643,42,3
Koraput,2018-01,635,76,50,17,67,644,10,7
Sambalpur,2018-01,693,157,112,50,162,688,44,5
Puri,2018-01,651,108,81,42,123,636,31,4
Balasore,2018-01,622,124,98,36,134,612,27,6
Rourkela,2018-01,711,223,160,87,247,687,48,8
Mayurbhanj,2018-01,691,64,61,28,89,666,14,5
Cuttack,2018-01,696,285,213,106,319,662,54,6
Kalahandi,2018-01,658,60,38,16,54,664,11,5
Bhubaneswar,2018-02,636,310,186,104,290,656,61,10
Ganjam,2018-02,643,183,117,47,164,662,43,6
Koraput,2018-02,644,93,49,18,67,670,18,9
Sambalpur,2018-02,688,142,110,48,158,672,37,2
Puri,2018-02,636,122,71,37,108,650,26,5
Balasore,2018-02,612,132,84,35,119,625,21,10
Rourkela,2018-02,687,242,165,73,238,691,48,7
Mayurbhanj,2018-02,666,67,58,36,94,639,20,5
Cuttack,2018-02,662,288,189,99,288,662,64,8
Kalahandi,2018-02,664,54,49,22,71,647,14,9
Bhubaneswar,2018-03,656,330,201,96,297,689,74,6
Ganjam,2018-03,662,177,123,56,179,660,34,5
Koraput,2018-03,670,67,56,27,83,654,20,9
Sambalpur,2018-03,672,153,90,50,140,685,29,9
Puri,2018-03,650,111,69,37,106,655,21,8
Balasore,2018-03,625,155,79,31,110,670,23,7
Rourkela,2018-03,691,229,127,71,198,722,41,9
Mayurbhanj,2018-03,639,74,42,25,67,646,14,8
Cuttack,2018-03,662,261,181,71,252,671,42,6
Kalahandi,2018-03,647,54,52,22,74,627,15,6
Bhubaneswar,2018-04,689,302,184,108,292,699,55,7
Ganjam,2018-04,660,191,117,56,173,678,40,7
Koraput,2018-04,654,80,50,28,78,656,10,4
Sambalpur,2018-04,685,143,82,69,151,677,31,4
Puri,2018-04,655,103,75,30,105,653,29,12
Balasore,2018-04,670,117,100,49,149,638,26,8
Rourkela,2018-04,722,196,150,78,228,690,31,7
Mayurbhanj,2018-04,646,87,37,23,60,673,14,5
Cuttack,2018-04,671,286,180,78,258,699,56,7
Kalahandi,2018-04,627,54,40,18,58,623,13,7
Bhubaneswar,2018-05,699,293,214,122,336,656,70,9
Ganjam,2018-05,678,197,109,50,159,716,25,1
Koraput,2018-05,656,98,50,25,75,679,11,12
Sambalpur,2018-05,677,146,105,44,149,674,35,5
Puri,2018-05,653,129,92,45,137,645,33,6
Balasore,2018-05,638,135,91,34,125,648,26,3
Rourkela,2018-05,690,231,149,72,221,700,56,9
Mayurbhanj,2018-05,673,74,48,22,70,677,10,3
Cuttack,2018-05,699,274,226,88,314,659,69,6
Kalahandi,2018-05,623,56,40,13,53,626,15,4
Bhubaneswar,2018-06,656,288,217,86,303,641,52,4
Ganjam,2018-06,716,191,131,60,191,716,31,7
Koraput,2018-06,679,81,50,23,73,687,16,7
Sambalpur,2018-06,674,161,109,53,162,673,35,5
Puri,2018-06,645,117,66,41,107,655,16,5
Balasore,2018-06,648,129,97,40,137,640,28,2
Rourkela,2018-06,700,233,149,96,245,688,45,5
Mayurbhanj,2018-06,677,82,60,19,79,680,17,7
Cuttack,2018-06,659,277,176,109,285,651,57,8
Kalahandi,2018-06,626,58,45,23,68,616,12,8
Bhubaneswar,2018-07,641,324,180,105,285,680,38,6
Ganjam,2018-07,716,197,118,69,187,726,29,5
Koraput,2018-07,687,81,59,25,84,684,15,5
Sambalpur,2018-07,673,174,93,38,131,716,28,11
Puri,2018-07,655,107,87,32,119,643,30,6
Balasore,2018-07,640,159,73,45,118,681,26,7
Rourkela,2018-07,688,219,158,81,239,668,63,10
Mayurbhanj,2018-07,680,74,39,25,64,690,14,5
Cuttack,2018-07,651,312,184,79,263,700,70,4
Kalahandi,2018-07,616,71,32,25,57,630,11,7
Bhubaneswar,2018-08,680,306,217,109,326,660,60,10
Ganjam,2018-08,726,188,108,64,172,742,22,3
Koraput,2018-08,684,91,52,24,76,699,15,2
Sambalpur,2018-08,716,150,97,48,145,721,30,9
Puri,2018-08,643,115,77,35,112,646,28,6
Balasore,2018-08,681,134,92,53,145,670,35,4
Rourkela,2018-08,668,216,145,86,231,653,53,3
Mayurbhanj,2018-08,690,69,43,24,67,692,9,7
Cuttack,2018-08,700,277,188,99,287,690,37,6
Kalahandi,2018-08,630,65,36,17,53,642,10,3
Bhubaneswar,2018-09,660,288,202,98,300,648,66,6
Ganjam,2018-09,742,144,141,71,212,674,54,8
Koraput,2018-09,699,70,69,33,102,667,16,5
Sambalpur,2018-09,721,165,91,53,144,742,23,4
Puri,2018-09,646,120,94,46,140,626,32,9
Balasore,2018-09,670,132,103,55,158,644,31,6
Rourkela,2018-09,653,229,155,59,214,668,32,6
Mayurbhanj,2018-09,692,73,49,32,81,684,18,8
Cuttack,2018-09,690,286,190,93,283,693,62,5
Kalahandi,2018-09,642,47,36,15,51,638,9,6
Bhubaneswar,2018-10,648,306,167,85,252,702,47,6
Ganjam,2018-10,674,197,133,71,204,667,36,11
Koraput,2018-10,667,90,48,25,73,684,18,8
Sambalpur,2018-10,742,166,125,43,168,740,46,10
Puri,2018-10,626,121,66,32,98,649,17,3
Balasore,2018-10,644,133,89,48,137,640,22,6
Rourkela,2018-10,668,219,147,79,226,661,44,10
Mayurbhanj,2018-10,684,73,44,22,66,691,12,3
Cuttack,2018-10,693,283,181,102,283,693,42,2
Kalahandi,2018-10,638,57,43,15,58,637,12,5
Bhubaneswar,2018-11,702,269,202,99,301,670,44,6
Ganjam,2018-11,667,196,126,75,201,662,43,12
Koraput,2018-11,684,76,66,28,94,666,15,4
Sambalpur,2018-11,740,128,119,45,164,704,27,5
Puri,2018-11,649,111,66,31,97,663,23,4
Balasore,2018-11,640,149,109,40,149,640,39,8
Rourkela,2018-11,661,257,155,80,235,683,46,14
Mayurbhanj,2018-11,691,56,51,30,81,666,11,6
Cuttack,2018-11,693,277,178,105,283,687,51,8
Kalahandi,2018-11,637,54,38,23,61,630,9,8
Bhubaneswar,2018-12,670,306,215,94,309,667,70,4
Ganjam,2018-12,662,185,118,48,166,681,42,6
Koraput,2018-12,666,84,56,31,87,663,17,13
Sambalpur,2018-12,704,148,103,60,163,689,21,11
Puri,2018-12,663,113,68,41,109,667,26,10
Balasore,2018-12,640,131,95,45,140,631,27,7
Rourkela,2018-12,683,231,157,65,222,692,59,5
Mayurbhanj,2018-12,666,70,37,24,61,675,12,8
Cuttack,2018-12,687,276,192,89,281,682,42,8
Kalahandi,2018-12,630,50,54,19,73,607,12,10
Bhubaneswar,2019-01,667,309,204,121,325,651,63,9
Ganjam,2019-01,681,187,106,54,160,708,36,5
Koraput,2019-01,663,70,53,23,76,657,13,6
Sambalpur,2019-01,689,142,88,53,141,690,34,1
Puri,2019-01,667,128,82,40,122,673,30,8
Balasore,2019-01,631,127,82,43,125,633,25,7
Rourkela,2019-01,692,246,163,70,233,705,34,12
Mayurbhanj,2019-01,675,77,46,36,82,670,16,6
Cuttack,2019-01,682,278,199,82,281,679,70,12
Kalahandi,2019-01,607,57,40,19,59,605,12,5
Bhubaneswar,2019-02,651,301,206,98,304,648,42,7
Ganjam,2019-02,708,179,112,58,170,717,26,3
Koraput,2019-02,657,78,53,26,79,656,19,3
Sambalpur,2019-02,690,152,96,59,155,687,37,6
Puri,2019-02,673,134,89,39,128,679,34,9
Balasore,2019-02,633,139,70,42,112,660,27,5
Rourkela,2019-02,705,239,162,76,238,706,59,10
Mayurbhanj,2019-02,670,78,39,29,68,680,11,4
Cuttack,2019-02,679,243,218,92,310,612,74,4
Kalahandi,2019-02,605,50,34,16,50,605,12,6
Bhubaneswar,2019-03,648,292,201,104,305,635,42,8
Ganjam,2019-03,717,186,124,44,168,735,48,13
Koraput,2019-03,656,86,58,24,82,660,19,10
Sambalpur,2019-03,687,133,106,50,156,664,25,4
Puri,2019-03,679,130,90,36,126,683,32,10
