district,month,cases_registered,persons_arrested,gun_rifle,pistol,revolver,mouzer,ak47,slr,others,ammunition,cartridge
Bhubaneswar,2015-12,10,11,2,3,2,0,0,0,4,53,21
Ganjam,2015-12,8,8,1,3,1,0,0,0,3,40,19
Koraput,2015-12,4,7,0,0,0,0,0,0,2,10,1
Sambalpur,2015-12,5,5,1,3,1,0,0,0,2,35,16
Puri,2015-12,6,6,0,3,0,0,0,0,5,36,15
Balasore,2015-12,7,9,0,2,0,0,0,0,3,22,17
Rourkela,2015-12,12,14,0,2,1,0,0,0,2,32,8
Mayurbhanj,2015-12,0,0,0,0,0,0,0,0,2,14,4
Cuttack,2015-12,12,13,2,7,3,0,0,0,3,76,30
Kalahandi,2015-12,2,2,0,0,0,0,0,0,1,6,0
Bhubaneswar,2016-01,17,23,2,7,2,0,0,0,5,66,25
Ganjam,2016-01,7,7,0,1,0,0,0,0,4,27,9
Koraput,2016-01,3,5,0,1,0,0,0,0,3,17,4
Sambalpur,2016-01,5,5,0,1,0,0,0,0,3,24,6
Puri,2016-01,4,4,1,1,1,0,0,0,3,33,12
Balasore,2016-01,9,10,0,2,1,0,0,0,1,19,9
Rourkela,2016-01,9,14,1,3,1,0,0,0,3,31,10
Mayurbhanj,2016-01,3,3,0,2,0,0,0,0,4,25,11
Cuttack,2016-01,21,25,3,7,3,0,0,0,9,117,36
Kalahandi,2016-01,2,2,0,0,0,0,0,0,2,9,1
Bhubaneswar,2016-02,15,15,4,11,3,0,0,0,6,118,54
Ganjam,2016-02,12,12,1,3,2,0,0,0,5,52,17
Koraput,2016-02,3,5,0,1,0,0,0,0,2,16,3
Sambalpur,2016-02,4,4,0,3,0,0,0,0,4,38,11
Puri,2016-02,7,7,0,2,1,0,0,0,3,30,14
Balasore,2016-02,11,15,1,3,1,0,0,0,2,39,16
Rourkela,2016-02,7,9,2,5,1,0,0,0,5,54,21
Mayurbhanj,2016-02,4,4,0,1,0,0,0,0,2,16,7
Cuttack,2016-02,15,15,2,8,2,0,0,0,5,77,38
Kalahandi,2016-02,4,5,0,2,1,0,0,0,2,32,12
Bhubaneswar,2016-03,11,19,1,3,2,0,0,0,3,45,19
Ganjam,2016-03,6,6,0,1,0,0,0,0,3,18,12
Koraput,2016-03,6,8,1,3,1,0,0,0,3,46,15
Sambalpur,2016-03,2,2,0,1,0,0,0,0,2,12,7
Puri,2016-03,10,11,1,7,4,0,0,0,3,65,31
Balasore,2016-03,3,3,0,4,1,0,0,0,3,41,14
Rourkela,2016-03,15,19,3,10,4,0,0,0,6,121,40
Mayurbhanj,2016-03,2,2,0,0,0,0,0,0,3,12,2
Cuttack,2016-03,11,11,1,6,2,0,0,0,2,58,24
Kalahandi,2016-03,3,4,0,0,0,0,0,0,1,8,4
Bhubaneswar,2016-04,16,18,1,3,2,0,0,0,6,63,19
Ganjam,2016-04,10,15,2,4,3,0,0,0,7,68,29
Koraput,2016-04,2,2,0,0,0,0,0,0,0,2,1
Sambalpur,2016-04,5,6,0,2,1,0,0,0,1,28,7
Puri,2016-04,5,5,0,1,1,0,0,0,2,30,12
Balasore,2016-04,5,5,0,0,0,0,0,0,2,11,2
Rourkela,2016-04,5,8,1,4,3,0,0,0,4,43,23
Mayurbhanj,2016-04,0,1,0,0,0,0,0,0,0,1,0
Cuttack,2016-04,16,16,3,8,3,0,0,0,8,109,44
Kalahandi,2016-04,3,3,0,1,0,0,0,0,3,25,7
Bhubaneswar,2016-05,13,19,3,9,4,0,0,0,2,79,36
Ganjam,2016-05,7,8,2,5,3,0,0,0,6,80,33
Koraput,2016-05,3,3,0,2,1,0,0,0,1,25,10
Sambalpur,2016-05,9,9,0,2,1,0,0,0,3,30,14
Puri,2016-05,4,5,0,0,0,0,0,0,0,0,1
Balasore,2016-05,8,11,2,5,1,0,0,0,6,60,25
Rourkela,2016-05,8,10,1,5,2,0,0,0,4,69,26
Mayurbhanj,2016-05,6,6,0,3,1,0,0,0,3,33,10
Cuttack,2016-05,21,21,4,11,3,0,0,0,9,127,54
Kalahandi,2016-05,2,5,0,0,0,0,0,0,0,1,1
Bhubaneswar,2016-06,14,17,1,4,1,0,0,0,9,75,31
Ganjam,2016-06,9,12,2,6,3,0,0,0,2,56,21
Koraput,2016-06,5,11,1,5,2,0,0,0,1,45,11
Sambalpur,2016-06,6,10,0,2,1,0,0,0,5,57,15
Puri,2016-06,9,11,0,1,0,0,0,0,4,30,10
Balasore,2016-06,7,12,1,2,0,0,0,0,4,45,8
Rourkela,2016-06,9,9,1,4,1,0,0,0,4,40,14
Mayurbhanj,2016-06,2,2,1,4,2,0,0,0,0,35,18
Cuttack,2016-06,19,24,2,8,2,0,0,0,5,96,32
Kalahandi,2016-06,1,1,0,1,0,0,0,0,2,22,2
Bhubaneswar,2016-07,9,13,1,2,2,0,0,0,4,37,18
Ganjam,2016-07,7,9,1,2,1,0,0,0,2,35,5
Koraput,2016-07,4,4,0,1,1,0,0,0,3,32,8
Sambalpur,2016-07,2,2,0,0,0,0,0,0,1,10,0
Puri,2016-07,5,5,0,1,0,0,0,0,3,14,6
Balasore,2016-07,3,5,1,3,1,0,0,0,1,24,12
Rourkela,2016-07,18,23,3,6,2,0,0,0,8,103,37
Mayurbhanj,2016-07,2,2,0,0,0,0,0,0,2,12,6
Cuttack,2016-07,15,15,3,7,2,0,0,0,7,109,37
Kalahandi,2016-07,3,7,0,2,0,0,0,0,2,20,6
Bhubaneswar,2016-08,15,15,2,8,3,0,0,0,2,77,32
Ganjam,2016-08,9,11,1,5,1,0,0,0,4,62,23
Koraput,2016-08,4,4,0,1,0,0,0,0,3,21,17
Sambalpur,2016-08,8,8,0,0,0,0,0,0,1,3,3
Puri,2016-08,5,5,1,3,2,0,0,0,3,43,12
Balasore,2016-08,13,17,3,6,1,0,0,0,7,79,36
Rourkela,2016-08,7,12,1,3,3,0,0,0,4,62,19
Mayurbhanj,2016-08,8,9,1,4,1,0,0,0,1,32,16
Cuttack,2016-08,13,15,1,3,2,0,0,0,3,56,27
Kalahandi,2016-08,7,13,1,5,2,0,0,0,3,60,30
Bhubaneswar,2016-09,15,20,2,7,4,0,0,0,5,93,40
Ganjam,2016-09,6,6,1,4,1,0,0,0,2,40,13
Koraput,2016-09,1,6,0,0,0,0,0,0,1,6,2
Sambalpur,2016-09,11,11,3,8,2,0,0,0,7,80,49
Puri,2016-09,4,4,0,0,0,0,0,0,3,14,8
Balasore,2016-09,11,11,1,4,2,0,0,0,3,59,21
Rourkela,2016-09,14,21,1,4,1,0,0,0,7,67,24
Mayurbhanj,2016-09,4,4,0,1,0,0,0,0,3,19,14
Cuttack,2016-09,14,19,1,7,3,0,0,0,2,59,17
Kalahandi,2016-09,3,8,1,3,1,0,0,0,3,36,15
Bhubaneswar,2016-10,10,11,1,5,1,0,0,0,2,40,19
Ganjam,2016-10,9,9,1,3,2,0,0,0,3,37,15
Koraput,2016-10,6,8,0,2,1,0,0,0,2,26,11
Sambalpur,2016-10,9,9,0,3,1,0,0,0,2,28,17
Puri,2016-10,5,8,1,3,2,0,0,0,1,35,16
Balasore,2016-10,7,7,0,3,1,0,0,0,2,27,8
Rourkela,2016-10,8,13,1,3,2,0,0,0,4,45,18
Mayurbhanj,2016-10,3,3,0,0,0,0,0,0,2,11,5
Cuttack,2016-10,16,22,2,6,2,0,0,0,2,53,23
Kalahandi,2016-10,5,7,0,2,0,0,0,0,4,30,13
Bhubaneswar,2016-11,20,23,4,13,3,0,0,0,6,136,47
Ganjam,2016-11,17,22,1,4,2,0,0,0,5,55,24
Koraput,2016-11,5,6,0,1,0,0,0,0,2,13,4
Sambalpur,2016-11,9,11,1,3,2,0,0,0,4,46,23
Puri,2016-11,7,7,1,4,1,0,0,0,2,36,11
Balasore,2016-11,6,7,0,4,1,0,0,0,4,41,25
Rourkela,2016-11,12,18,2,6,2,0,0,0,4,60,20
Mayurbhanj,2016-11,5,9,1,3,0,0,0,0,5,33,15
Cuttack,2016-11,8,8,1,3,1,0,0,0,3,39,20
Kalahandi,2016-11,2,2,0,1,0,0,0,0,2,18,6
Bhubaneswar,2016-12,20,33,2,10,4,0,0,0,2,81,37
Ganjam,2016-12,8,8,2,5,1,0,0,0,5,66,28
Koraput,2016-12,5,5,0,1,0,0,0,0,4,30,13
Sambalpur,2016-12,9,9,1,6,2,0,0,0,2,61,23
Puri,2016-12,5,5,1,3,1,0,0,0,4,45,22
Balasore,2016-12,3,3,0,0,0,0,0,0,1,5,1
Rourkela,2016-12,11,13,1,5,1,0,0,0,7,69,31
Mayurbhanj,2016-12,4,5,0,2,1,0,0,0,3,27,16
Cuttack,2016-12,15,20,2,7,5,0,0,0,6,103,44
Kalahandi,2016-12,6,6,0,4,1,0,0,0,2,36,14
Bhubaneswar,2017-01,13,17,2,7,3,0,0,0,2,69,32
Ganjam,2017-01,10,16,0,2,1,0,0,0,3,26,11
Koraput,2017-01,2,2,0,0,0,0,0,0,2,9,6
Sambalpur,2017-01,10,12,2,6,2,0,0,0,7,96,29
Puri,2017-01,7,12,1,3,2,0,0,0,5,44,18
Balasore,2017-01,4,5,0,1,0,0,0,0,2,13,8
Rourkela,2017-01,11,11,2,5,4,0,0,0,6,79,39
Mayurbhanj,2017-01,6,7,0,1,0,0,0,0,4,29,13
Cuttack,2017-01,14,14,2,8,4,0,0,0,1,69,24
Kalahandi,2017-01,0,1,0,1,0,0,0,0,1,10,7
Bhubaneswar,2017-02,16,18,2,7,4,0,0,0,3,86,34
Ganjam,2017-02,6,6,0,2,0,0,0,0,3,35,8
Koraput,2017-02,7,9,1,3,1,0,0,0,4,41,19
Sambalpur,2017-02,5,9,1,3,0,0,0,0,2,24,14
Puri,2017-02,2,2,0,0,0,0,0,0,1,6,5
Balasore,2017-02,9,9,2,8,3,0,0,0,4,87,28
Rourkela,2017-02,9,10,1,5,1,0,0,0,3,44,21
Mayurbhanj,2017-02,2,2,0,1,0,0,0,0,1,17,4
Cuttack,2017-02,12,12,1,4,2,0,0,0,3,51,27
Kalahandi,2017-02,4,5,0,1,0,0,0,0,3,25,12
Bhubaneswar,2017-03,15,17,2,11,2,0,0,0,5,100,40
Ganjam,2017-03,7,7,0,1,0,0,0,0,4,18,7
Koraput,2017-03,6,10,1,4,1,0,0,0,2,46,8
Sambalpur,2017-03,12,18,2,5,1,0,0,0,7,86,41
Puri,2017-03,4,4,0,2,0,0,0,0,4,33,10
Balasore,2017-03,8,17,1,3,1,0,0,0,2,31,18
Rourkela,2017-03,16,16,1,7,2,0,0,0,4,69,32
Mayurbhanj,2017-03,3,3,0,1,1,0,0,0,3,26,12
Cuttack,2017-03,15,17,2,6,1,0,0,0,6,74,22
Kalahandi,2017-03,2,3,0,1,0,0,0,0,1,5,4
Bhubaneswar,2017-04,9,13,0,2,1,0,0,0,3,36,16
Ganjam,2017-04,8,8,0,3,0,0,0,0,3,34,17
Koraput,2017-04,5,5,0,1,0,0,0,0,2,22,11
Sambalpur,2017-04,4,6,0,3,1,0,0,0,3,41,11
Puri,2017-04,6,6,0,1,0,0,0,0,2,11,1
Balasore,2017-04,5,5,0,0,0,0,0,0,2,8,1
Rourkela,2017-04,11,11,2,5,3,0,0,0,6,86,31
Mayurbhanj,2017-04,1,2,0,0,0,0,0,0,2,13,2
Cuttack,2017-04,18,26,3,8,6,0,0,0,5,112,45
Kalahandi,2017-04,0,1,0,0,0,0,0,0,1,6,5
Bhubaneswar,2017-05,17,27,2,9,3,0,0,0,2,82,35
Ganjam,2017-05,9,9,1,5,1,0,0,0,3,52,22
Koraput,2017-05,6,11,0,1,0,0,0,0,2,17,2
Sambalpur,2017-05,9,13,1,6,3,0,0,0,3,68,24
Puri,2017-05,5,5,0,2,0,0,0,0,3,23,8
Balasore,2017-05,10,10,0,2,1,0,0,0,4,25,18
Rourkela,2017-05,13,13,1,7,4,0,0,0,7,123,48
Mayurbhanj,2017-05,2,2,0,0,0,0,0,0,0,0,0
Cuttack,2017-05,9,12,0,1,1,0,0,0,4,36,13
Kalahandi,2017-05,3,5,0,0,0,0,0,0,1,3,5
Bhubaneswar,2017-06,11,12,1,5,1,0,0,0,5,74,27
Ganjam,2017-06,9,15,1,4,1,0,0,0,3,57,30
Koraput,2017-06,3,3,0,1,1,0,0,0,3,33,11
Sambalpur,2017-06,8,8,3,4,1,0,0,0,8,92,28
Puri,2017-06,5,6,0,2,1,0,0,0,2,24,11
Balasore,2017-06,3,5,0,0,0,0,0,0,2,8,5
Rourkela,2017-06,7,7,1,6,2,0,0,0,3,62,25
Mayurbhanj,2017-06,4,4,1,2,0,0,0,0,3,28,14
Cuttack,2017-06,16,20,2,3,2,0,0,0,6,52,28
Kalahandi,2017-06,4,4,0,2,0,0,0,0,3,26,11
Bhubaneswar,2017-07,13,17,0,3,1,0,0,0,4,42,14
Ganjam,2017-07,6,10,0,0,0,0,0,0,1,3,1
Koraput,2017-07,3,3,0,1,0,0,0,0,4,28,8
Sambalpur,2017-07,12,12,1,4,1,0,0,0,3,47,22
Puri,2017-07,7,8,1,5,1,0,0,0,3,44,16
Balasore,2017-07,8,10,1,3,1,0,0,0,3,50,16
Rourkela,2017-07,14,14,2,8,1,0,0,0,5,83,33
Mayurbhanj,2017-07,11,19,1,5,1,0,0,0,4,53,27
Cuttack,2017-07,18,20,2,7,3,0,0,0,7,88,42
Kalahandi,2017-07,6,7,1,4,2,0,0,0,4,60,15
Bhubaneswar,2017-08,17,21,1,5,3,0,0,0,6,66,37
Ganjam,2017-08,12,15,2,5,1,0,0,0,11,102,50
Koraput,2017-08,4,4,1,2,1,0,0,0,3,30,19
Sambalpur,2017-08,6,7,0,2,0,0,0,0,3,19,5
Puri,2017-08,5,5,0,2,1,0,0,0,3,30,10
Balasore,2017-08,6,17,1,3,1,0,0,0,3,48,14
Rourkela,2017-08,7,8,0,1,1,0,0,0,3,26,11
Mayurbhanj,2017-08,2,4,0,1,0,0,0,0,2,17,3
Cuttack,2017-08,11,14,2,5,1,0,0,0,4,65,9
Kalahandi,2017-08,4,7,1,2,2,0,0,0,4,40,17
Bhubaneswar,2017-09,14,25,3,6,2,0,0,0,12,131,43
Ganjam,2017-09,7,7,0,2,0,0,0,0,4,24,12
Koraput,2017-09,3,5,0,1,0,0,0,0,2,11,6
Sambalpur,2017-09,5,5,0,1,0,0,0,0,3,18,10
Puri,2017-09,5,5,1,3,1,0,0,0,4,49,14
Balasore,2017-09,6,6,0,1,0,0,0,0,3,23,5
Rourkela,2017-09,13,15,2,8,2,0,0,0,3,80,22
Mayurbhanj,2017-09,5,5,1,2,1,0,0,0,5,48,16
Cuttack,2017-09,12,16,2,5,4,0,0,0,6,80,37
Kalahandi,2017-09,2,2,0,0,0,0,0,0,0,1,1
Bhubaneswar,2017-10,16,19,4,10,3,0,0,0,8,125,59
Ganjam,2017-10,7,7,0,1,0,0,0,0,3,19,7
Koraput,2017-10,7,8,1,3,1,0,0,0,4,57,19
Sambalpur,2017-10,4,5,0,2,1,0,0,0,3,30,12
Puri,2017-10,3,5,0,2,1,0,0,0,2,18,16
Balasore,2017-10,4,4,0,3,0,0,0,0,4,33,15
Rourkela,2017-10,10,13,0,2,1,0,0,0,4,31,13
Mayurbhanj,2017-10,6,9,0,2,0,0,0,0,3,22,6
Cuttack,2017-10,27,44,5,14,7,0,0,0,7,180,63
Kalahandi,2017-10,4,5,0,1,0,0,0,0,2,18,8
Bhubaneswar,2017-11,16,21,3,10,3,0,0,0,4,100,47
Ganjam,2017-11,6,6,0,1,0,0,0,0,3,19,5
Koraput,2017-11,2,3,0,1,0,0,0,0,1,13,6
Sambalpur,2017-11,12,16,2,6,3,0,0,0,4,66,34
Puri,2017-11,1,1,0,0,0,0,0,0,2,9,5
Balasore,2017-11,10,10,0,2,0,0,0,0,4,35,13
Rourkela,2017-11,12,21,2,7,1,0,0,0,5,76,39
Mayurbhanj,2017-11,4,10,0,1,0,0,0,0,1,8,4
Cuttack,2017-11,15,18,2,7,3,0,0,0,6,85,38
Kalahandi,2017-11,5,5,0,1,1,0,0,0,3,25,4
Bhubaneswar,2017-12,15,16,1,4,1,0,0,0,3,47,19
Ganjam,2017-12,5,7,1,5,2,0,0,0,3,53,20
Koraput,2017-12,4,5,0,2,1,0,0,0,1,24,5
Sambalpur,2017-12,8,9,1,3,1,0,0,0,3,36,12
Puri,2017-12,2,5,0,2,1,0,0,0,2,25,9
Balasore,2017-12,4,4,0,2,1,0,0,0,2,32,9
Rourkela,2017-12,8,8,1,5,2,0,0,0,1,42,20
Mayurbhanj,2017-12,3,3,0,0,0,0,0,0,3,19,3
Cuttack,2017-12,12,14,2,7,3,0,0,0,4,81,40
Kalahandi,2017-12,3,3,0,1,0,0,0,0,2,18,5
Bhubaneswar,2018-01,15,16,2,7,3,0,0,0,6,84,26
Ganjam,2018-01,7,8,1,3,2,0,0,0,3,33,18
Koraput,2018-01,4,6,1,4,1,0,0,0,4,61,20
Sambalpur,2018-01,5,5,0,1,0,0,0,0,2,19,6
Puri,2018-01,8,10,1,3,1,0,0,0,4,35,20
Balasore,2018-01,7,9,0,1,0,0,0,0,4,32,11
Rourkela,2018-01,7,7,0,3,1,0,0,0,3,40,11
Mayurbhanj,2018-01,1,2,0,1,0,0,0,0,2,17,4
Cuttack,2018-01,19,19,2,7,3,0,0,0,10,107,50
Kalahandi,2018-01,1,2,0,0,0,0,0,0,0,0,1
Bhubaneswar,2018-02,11,17,1,5,1,0,0,0,2,46,24
Ganjam,2018-02,13,13,1,5,3,0,0,0,7,73,41
Koraput,2018-02,11,11,3,8,4,0,0,0,2,78,37
Sambalpur,2018-02,11,11,1,6,4,0,0,0,3,66,27
Puri,2018-02,9,13,1,4,2,0,0,0,3,44,22
Balasore,2018-02,5,5,0,3,0,0,0,0,4,44,15
Rourkela,2018-02,10,10,2,5,2,0,0,0,3,68,20
Mayurbhanj,2018-02,3,3,1,2,0,0,0,0,4,36,14
Cuttack,2018-02,12,12,2,6,2,0,0,0,4,63,23
Kalahandi,2018-02,2,2,0,1,0,0,0,0,2,9,1
Bhubaneswar,2018-03,12,20,2,6,2,0,0,0,9,81,45
Ganjam,2018-03,15,21,2,6,3,0,0,0,8,102,32
Koraput,2018-03,2,2,0,1,0,0,0,0,2,18,8
Sambalpur,2018-03,10,10,0,2,1,0,0,0,3,33,10
Puri,2018-03,3,3,0,2,0,0,0,0,3,24,11
Balasore,2018-03,8,11,2,4,1,0,0,0,4,48,23
Rourkela,2018-03,7,12,2,7,4,0,0,0,4,87,30
Mayurbhanj,2018-03,4,4,0,0,0,0,0,0,0,1,1
Cuttack,2018-03,13,28,1,5,2,0,0,0,1,42,15
Kalahandi,2018-03,1,1,0,0,0,0,0,0,2,10,4
Bhubaneswar,2018-04,18,24,4,12,6,0,0,0,1,109,48
Ganjam,2018-04,10,15,2,6,3,0,0,0,2,70,26
Koraput,2018-04,2,6,0,0,0,0,0,0,0,2,0
Sambalpur,2018-04,15,19,2,4,3,0,0,0,6,75,31
Puri,2018-04,4,4,0,4,1,0,0,0,2,34,10
Balasore,2018-04,5,9,1,4,1,0,0,0,2,38,22
Rourkela,2018-04,13,14,2,8,1,0,0,0,4,64,28
Mayurbhanj,2018-04,2,4,0,1,0,0,0,0,3,15,8
Cuttack,2018-04,13,13,1,3,2,0,0,0,4,72,17
Kalahandi,2018-04,1,1,0,0,0,0,0,0,0,3,1
Bhubaneswar,2018-05,14,14,2,6,3,0,0,0,2,67,21
Ganjam,2018-05,8,8,0,2,1,0,0,0,3,37,13
Koraput,2018-05,8,10,1,3,1,0,0,0,5,42,22
Sambalpur,2018-05,9,14,1,3,1,0,0,0,3,46,11
Puri,2018-05,5,5,1,3,2,0,0,0,3,42,27
Balasore,2018-05,4,5,0,3,0,0,0,0,4,36,12
Rourkela,2018-05,14,15,2,6,2,0,0,0,5,80,24
Mayurbhanj,2018-05,0,0,0,0,0,0,0,0,0,1,0
Cuttack,2018-05,13,13,1,2,0,0,0,0,4,36,19
Kalahandi,2018-05,3,3,0,0,0,0,0,0,2,13,2
Bhubaneswar,2018-06,15,29,1,4,2,0,0,0,3,50,20
Ganjam,2018-06,5,5,0,1,0,0,0,0,4,25,7
Koraput,2018-06,5,5,0,0,0,0,0,0,1,1,6
Sambalpur,2018-06,8,8,2,6,2,0,0,0,2,67,29
Puri,2018-06,4,4,0,1,1,0,0,0,4,27,11
