district,month,cases_registered,persons_arrested,details_of_seizure
Kalahandi,2015-08,20,20,105 pouches of country liquor
Bhubaneswar,2015-09,94,104,118 bottles of IMFL
Ganjam,2015-09,50,50,110 bottles of IMFL
Koraput,2015-09,31,36,109 liters of ID liquor
Sambalpur,2015-09,38,38,117 pouches of country liquor
Puri,2015-09,39,39,110 liters of ID liquor
Balasore,2015-09,31,31,87 pouches of country liquor
Rourkela,2015-09,70,77,93 bottles of IMFL
Mayurbhanj,2015-09,27,30,107 pouches of country liquor
Cuttack,2015-09,71,71,90 liters of ID liquor
Kalahandi,2015-09,18,18,100 bottles of IMFL
Bhubaneswar,2015-10,72,75,104 pouches of country liquor
Ganjam,2015-10,44,44,95 liters of ID liquor
Koraput,2015-10,25,31,103 pouches of country liquor
Sambalpur,2015-10,49,49,98 liters of ID liquor
Puri,2015-10,41,41,85 liters of ID liquor
Balasore,2015-10,41,56,116 bottles of IMFL
Rourkela,2015-10,58,58,95 pouches of country liquor
Mayurbhanj,2015-10,24,30,481 kg of fermented wash destroyed
Cuttack,2015-10,101,120,102 pouches of country liquor
Kalahandi,2015-10,18,20,102 pouches of country liquor
Bhubaneswar,2015-11,103,110,81 liters of ID liquor
Ganjam,2015-11,52,54,102 pouches of country liquor
Koraput,2015-11,12,12,538 kg of fermented wash destroyed
Sambalpur,2015-11,49,55,101 bottles of IMFL
Puri,2015-11,39,45,103 liters of ID liquor
Balasore,2015-11,47,51,97 bottles of IMFL
Rourkela,2015-11,75,76,501 kg of fermented wash destroyed
Mayurbhanj,2015-11,20,23,94 liters of ID liquor
Cuttack,2015-11,90,90,90 liters of ID liquor
Kalahandi,2015-11,12,14,92 liters of ID liquor
Bhubaneswar,2015-12,81,104,503 kg of fermented wash destroyed
Ganjam,2015-12,63,63,102 liters of ID liquor
Koraput,2015-12,19,25,476 kg of fermented wash destroyed
Sambalpur,2015-12,48,48,91 bottles of IMFL
Puri,2015-12,35,44,95 pouches of country liquor
Balasore,2015-12,35,47,109 liters of ID liquor
Rourkela,2015-12,72,79,463 kg of fermented wash destroyed
Mayurbhanj,2015-12,19,31,464 kg of fermented wash destroyed
Cuttack,2015-12,68,82,490 kg of fermented wash destroyed
Kalahandi,2015-12,13,17,477 kg of fermented wash destroyed
Bhubaneswar,2016-01,75,75,102 liters of ID liquor
Ganjam,2016-01,51,51,96 bottles of IMFL
Koraput,2016-01,25,32,506 kg of fermented wash destroyed
Sambalpur,2016-01,46,59,481 kg of fermented wash destroyed
Puri,2016-01,26,26,465 kg of fermented wash destroyed
Balasore,2016-01,45,45,92 bottles of IMFL
Rourkela,2016-01,73,94,90 bottles of IMFL
Mayurbhanj,2016-01,14,14,509 kg of fermented wash destroyed
Cuttack,2016-01,89,108,90 pouches of country liquor
Kalahandi,2016-01,10,10,104 liters of ID liquor
Bhubaneswar,2016-02,75,78,89 pouches of country liquor
Ganjam,2016-02,52,59,96 pouches of country liquor
Koraput,2016-02,30,37,100 bottles of IMFL
Sambalpur,2016-02,50,52,130 pouches of country liquor
Puri,2016-02,34,34,87 pouches of country liquor
Balasore,2016-02,37,37,106 pouches of country liquor
Rourkela,2016-02,51,51,516 kg of fermented wash destroyed
Mayurbhanj,2016-02,13,13,106 pouches of country liquor
Cuttack,2016-02,81,89,88 liters of ID liquor
Kalahandi,2016-02,13,13,101 bottles of IMFL
Bhubaneswar,2016-03,96,110,90 bottles of IMFL
Ganjam,2016-03,52,56,96 bottles of IMFL
Koraput,2016-03,28,28,105 liters of ID liquor
Sambalpur,2016-03,51,68,112 bottles of IMFL
Puri,2016-03,26,31,502 kg of fermented wash destroyed
Balasore,2016-03,29,32,94 bottles of IMFL
Rourkela,2016-03,72,77,103 pouches of country liquor
Mayurbhanj,2016-03,26,37,84 liters of ID liquor
Cuttack,2016-03,91,112,88 pouches of country liquor
Kalahandi,2016-03,14,18,475 kg of fermented wash destroyed
Bhubaneswar,2016-04,89,104,483 kg of fermented wash destroyed
Ganjam,2016-04,52,54,99 liters of ID liquor
Koraput,2016-04,26,29,116 bottles of IMFL
Sambalpur,2016-04,52,52,100 bottles of IMFL
Puri,2016-04,27,27,87 liters of ID liquor
Balasore,2016-04,46,47,88 pouches of country liquor
Rourkela,2016-04,66,66,109 liters of ID liquor
Mayurbhanj,2016-04,20,20,92 liters of ID liquor
Cuttack,2016-04,88,102,105 pouches of country liquor
Kalahandi,2016-04,6,6,93 pouches of country liquor
Bhubaneswar,2016-05,91,118,90 pouches of country liquor
Ganjam,2016-05,58,58,106 liters of ID liquor
Koraput,2016-05,21,23,104 liters of ID liquor
Sambalpur,2016-05,44,46,87 pouches of country liquor
Puri,2016-05,44,48,103 bottles of IMFL
Balasore,2016-05,33,33,100 bottles of IMFL
Rourkela,2016-05,62,65,89 pouches of country liquor
Mayurbhanj,2016-05,16,17,83 pouches of country liquor
Cuttack,2016-05,98,109,91 pouches of country liquor
Kalahandi,2016-05,19,19,89 pouches of country liquor
Bhubaneswar,2016-06,86,109,88 bottles of IMFL
Ganjam,2016-06,63,63,532 kg of fermented wash destroyed
Koraput,2016-06,26,33,98 bottles of IMFL
Sambalpur,2016-06,49,49,91 liters of ID liquor
Puri,2016-06,25,27,113 pouches of country liquor
Balasore,2016-06,37,37,98 liters of ID liquor
Rourkela,2016-06,67,80,102 liters of ID liquor
Mayurbhanj,2016-06,19,21,100 liters of ID liquor
Cuttack,2016-06,102,126,102 pouches of country liquor
Kalahandi,2016-06,15,15,105 pouches of country liquor
Bhubaneswar,2016-07,83,104,504 kg of fermented wash destroyed
Ganjam,2016-07,60,75,118 liters of ID liquor
Koraput,2016-07,21,21,79 bottles of IMFL
Sambalpur,2016-07,38,49,470 kg of fermented wash destroyed
Puri,2016-07,30,35,96 bottles of IMFL
Balasore,2016-07,44,44,112 bottles of IMFL
Rourkela,2016-07,67,80,100 bottles of IMFL
Mayurbhanj,2016-07,14,15,106 liters of ID liquor
Cuttack,2016-07,80,83,510 kg of fermented wash destroyed
Kalahandi,2016-07,22,22,518 kg of fermented wash destroyed
Bhubaneswar,2016-08,93,93,478 kg of fermented wash destroyed
Ganjam,2016-08,56,61,97 liters of ID liquor
Koraput,2016-08,16,16,130 pouches of country liquor
Sambalpur,2016-08,34,39,505 kg of fermented wash destroyed
Puri,2016-08,37,46,480 kg of fermented wash destroyed
Balasore,2016-08,49,55,115 bottles of IMFL
Rourkela,2016-08,68,69,118 pouches of country liquor
Mayurbhanj,2016-08,27,27,510 kg of fermented wash destroyed
Cuttack,2016-08,98,117,95 bottles of IMFL
Kalahandi,2016-08,24,25,104 liters of ID liquor
Bhubaneswar,2016-09,88,103,99 bottles of IMFL
Ganjam,2016-09,55,61,129 liters of ID liquor
Koraput,2016-09,28,28,111 liters of ID liquor
Sambalpur,2016-09,38,40,480 kg of fermented wash destroyed
Puri,2016-09,30,30,94 bottles of IMFL
Balasore,2016-09,34,44,101 bottles of IMFL
Rourkela,2016-09,60,69,88 bottles of IMFL
Mayurbhanj,2016-09,31,34,100 bottles of IMFL
Cuttack,2016-09,85,85,106 bottles of IMFL
Kalahandi,2016-09,18,22,484 kg of fermented wash destroyed
Bhubaneswar,2016-10,115,133,513 kg of fermented wash destroyed
Ganjam,2016-10,59,85,529 kg of fermented wash destroyed
Koraput,2016-10,26,36,498 kg of fermented wash destroyed
Sambalpur,2016-10,47,60,104 liters of ID liquor
Puri,2016-10,39,39,503 kg of fermented wash destroyed
Balasore,2016-10,31,40,82 liters of ID liquor
Rourkela,2016-10,56,56,83 liters of ID liquor
Mayurbhanj,2016-10,21,21,103 bottles of IMFL
Cuttack,2016-10,68,73,91 bottles of IMFL
Kalahandi,2016-10,19,20,103 liters of ID liquor
Bhubaneswar,2016-11,92,92,86 pouches of country liquor
Ganjam,2016-11,65,74,92 bottles of IMFL
Koraput,2016-11,28,30,495 kg of fermented wash destroyed
Sambalpur,2016-11,46,58,94 pouches of country liquor
Puri,2016-11,29,35,84 bottles of IMFL
Balasore,2016-11,44,49,92 liters of ID liquor
Rourkela,2016-11,60,69,109 liters of ID liquor
Mayurbhanj,2016-11,18,22,519 kg of fermented wash destroyed
Cuttack,2016-11,74,74,97 bottles of IMFL
Kalahandi,2016-11,28,29,88 liters of ID liquor
Bhubaneswar,2016-12,96,96,104 pouches of country liquor
Ganjam,2016-12,50,52,79 bottles of IMFL
Koraput,2016-12,27,30,104 liters of ID liquor
Sambalpur,2016-12,47,61,98 liters of ID liquor
Puri,2016-12,47,48,536 kg of fermented wash destroyed
Balasore,2016-12,43,50,98 liters of ID liquor
Rourkela,2016-12,60,63,103 pouches of country liquor
Mayurbhanj,2016-12,21,22,100 liters of ID liquor
Cuttack,2016-12,82,96,97 liters of ID liquor
Kalahandi,2016-12,20,20,106 bottles of IMFL
Bhubaneswar,2017-01,76,76,508 kg of fermented wash destroyed
Ganjam,2017-01,57,70,500 kg of fermented wash destroyed
Koraput,2017-01,27,27,119 bottles of IMFL
Sambalpur,2017-01,42,42,118 bottles of IMFL
Puri,2017-01,34,34,98 bottles of IMFL
Balasore,2017-01,38,45,101 bottles of IMFL
Rourkela,2017-01,70,73,93 liters of ID liquor
Mayurbhanj,2017-01,21,22,107 bottles of IMFL
Cuttack,2017-01,100,115,97 pouches of country liquor
Kalahandi,2017-01,22,22,463 kg of fermented wash destroyed
Bhubaneswar,2017-02,92,120,89 pouches of country liquor
Ganjam,2017-02,71,84,107 pouches of country liquor
Koraput,2017-02,24,31,102 bottles of IMFL
Sambalpur,2017-02,40,59,119 liters of ID liquor
Puri,2017-02,39,46,96 bottles of IMFL
Balasore,2017-02,38,57,101 bottles of IMFL
Rourkela,2017-02,65,65,107 pouches of country liquor
Mayurbhanj,2017-02,17,20,108 pouches of country liquor
Cuttack,2017-02,96,99,85 liters of ID liquor
Kalahandi,2017-02,20,23,103 pouches of country liquor
Bhubaneswar,2017-03,89,106,93 liters of ID liquor
Ganjam,2017-03,55,63,504 kg of fermented wash destroyed
Koraput,2017-03,22,29,486 kg of fermented wash destroyed
Sambalpur,2017-03,35,38,498 kg of fermented wash destroyed
Puri,2017-03,43,43,88 pouches of country liquor
Balasore,2017-03,38,43,485 kg of fermented wash destroyed
Rourkela,2017-03,48,48,519 kg of fermented wash destroyed
Mayurbhanj,2017-03,20,23,545 kg of fermented wash destroyed
Cuttack,2017-03,73,81,515 kg of fermented wash destroyed
Kalahandi,2017-03,13,22,524 kg of fermented wash destroyed
Bhubaneswar,2017-04,104,112,103 pouches of country liquor
Ganjam,2017-04,55,55,90 liters of ID liquor
Koraput,2017-04,32,40,79 liters of ID liquor
Sambalpur,2017-04,59,61,116 bottles of IMFL
Puri,2017-04,39,45,108 liters of ID liquor
Balasore,2017-04,53,54,487 kg of fermented wash destroyed
Rourkela,2017-04,59,61,528 kg of fermented wash destroyed
Mayurbhanj,2017-04,23,29,98 pouches of country liquor
Cuttack,2017-04,88,88,102 bottles of IMFL
Kalahandi,2017-04,19,19,111 pouches of country liquor
Bhubaneswar,2017-05,85,91,102 pouches of country liquor
Ganjam,2017-05,55,56,106 pouches of country liquor
Koraput,2017-05,19,19,479 kg of fermented wash destroyed
Sambalpur,2017-05,52,63,103 bottles of IMFL
Puri,2017-05,28,36,114 bottles of IMFL
Balasore,2017-05,45,48,75 liters of ID liquor
Rourkela,2017-05,66,81,108 bottles of IMFL
Mayurbhanj,2017-05,21,21,114 bottles of IMFL
Cuttack,2017-05,88,88,82 bottles of IMFL
Kalahandi,2017-05,19,28,103 liters of ID liquor
Bhubaneswar,2017-06,83,83,473 kg of fermented wash destroyed
Ganjam,2017-06,52,57,104 pouches of country liquor
Koraput,2017-06,35,38,91 pouches of country liquor
Sambalpur,2017-06,42,42,84 liters of ID liquor
Puri,2017-06,38,38,99 pouches of country liquor
Balasore,2017-06,45,53,97 bottles of IMFL
Rourkela,2017-06,63,67,515 kg of fermented wash destroyed
Mayurbhanj,2017-06,29,29,111 liters of ID liquor
Cuttack,2017-06,74,74,109 pouches of country liquor
Kalahandi,2017-06,24,24,90 liters of ID liquor
Bhubaneswar,2017-07,76,96,104 liters of ID liquor
Ganjam,2017-07,44,44,118 liters of ID liquor
Koraput,2017-07,29,31,103 liters of ID liquor
Sambalpur,2017-07,37,41,479 kg of fermented wash destroyed
Puri,2017-07,47,47,90 pouches of country liquor
Balasore,2017-07,49,49,87 liters of ID liquor
Rourkela,2017-07,65,88,489 kg of fermented wash destroyed
Mayurbhanj,2017-07,17,18,96 pouches of country liquor
Cuttack,2017-07,86,89,105 bottles of IMFL
Kalahandi,2017-07,21,21,106 pouches of country liquor
Bhubaneswar,2017-08,86,98,106 pouches of country liquor
Ganjam,2017-08,55,58,492 kg of fermented wash destroyed
Koraput,2017-08,24,24,86 bottles of IMFL
Sambalpur,2017-08,44,45,109 liters of ID liquor
Puri,2017-08,34,34,92 liters of ID liquor
Balasore,2017-08,51,54,122 bottles of IMFL
Rourkela,2017-08,55,59,520 kg of fermented wash destroyed
Mayurbhanj,2017-08,22,22,99 liters of ID liquor
Cuttack,2017-08,84,101,506 kg of fermented wash destroyed
Kalahandi,2017-08,18,19,98 bottles of IMFL
Bhubaneswar,2017-09,109,110,117 pouches of country liquor
Ganjam,2017-09,46,61,100 bottles of IMFL
Koraput,2017-09,20,20,113 pouches of country liquor
Sambalpur,2017-09,42,47,107 pouches of country liquor
Puri,2017-09,46,56,528 kg of fermented wash destroyed
Balasore,2017-09,27,36,124 bottles of IMFL
Rourkela,2017-09,54,58,484 kg of fermented wash destroyed
Mayurbhanj,2017-09,19,22,526 kg of fermented wash destroyed
Cuttack,2017-09,92,111,109 liters of ID liquor
Kalahandi,2017-09,19,23,101 liters of ID liquor
Bhubaneswar,2017-10,86,103,477 kg of fermented wash destroyed
Ganjam,2017-10,69,82,93 pouches of country liquor
Koraput,2017-10,23,23,106 bottles of IMFL
Sambalpur,2017-10,42,44,92 pouches of country liquor
Puri,2017-10,27,34,102 liters of ID liquor
Balasore,2017-10,28,28,92 pouches of country liquor
Rourkela,2017-10,68,73,489 kg of fermented wash destroyed
Mayurbhanj,2017-10,30,30,78 bottles of IMFL
Cuttack,2017-10,87,101,534 kg of fermented wash destroyed
Kalahandi,2017-10,17,19,500 kg of fermented wash destroyed
Bhubaneswar,2017-11,94,98,97 liters of ID liquor
Ganjam,2017-11,51,59,97 bottles of IMFL
Koraput,2017-11,19,20,103 bottles of IMFL
Sambalpur,2017-11,36,47,81 pouches of country liquor
Puri,2017-11,28,28,455 kg of fermented wash destroyed
Balasore,2017-11,43,43,106 pouches of country liquor
Rourkela,2017-11,65,65,91 pouches of country liquor
Mayurbhanj,2017-11,20,29,101 bottles of IMFL
Cuttack,2017-11,83,95,96 pouches of country liquor
Kalahandi,2017-11,13,14,466 kg of fermented wash destroyed
Bhubaneswar,2017-12,88,88,494 kg of fermented wash destroyed
Ganjam,2017-12,53,57,496 kg of fermented wash destroyed
Koraput,2017-12,27,27,99 pouches of country liquor
Sambalpur,2017-12,48,56,92 bottles of IMFL
Puri,2017-12,29,29,496 kg of fermented wash destroyed
Balasore,2017-12,44,44,113 bottles of IMFL
Rourkela,2017-12,74,93,96 pouches of country liquor
Mayurbhanj,2017-12,24,24,112 pouches of country liquor
Cuttack,2017-12,78,78,99 liters of ID liquor
Kalahandi,2017-12,19,19,109 liters of ID liquor
Bhubaneswar,2018-01,73,73,92 pouches of country liquor
Ganjam,2018-01,42,42,548 kg of fermented wash destroyed
Koraput,2018-01,30,30,114 liters of ID liquor
Sambalpur,2018-01,52,52,521 kg of fermented wash destroyed
Puri,2018-01,32,34,101 bottles of IMFL
Balasore,2018-01,43,51,104 pouches of country liquor
Rourkela,2018-01,68,72,106 pouches of country liquor
Mayurbhanj,2018-01,25,25,105 liters of ID liquor
Cuttack,2018-01,97,106,486 kg of fermented wash destroyed
Kalahandi,2018-01,15,17,97 liters of ID liquor
Bhubaneswar,2018-02,93,104,96 bottles of IMFL
Ganjam,2018-02,49,49,95 bottles of IMFL
Koraput,2018-02,23,27,91 pouches of country liquor
Sambalpur,2018-02,60,66,91 pouches of country liquor
Puri,2018-02,35,35,555 kg of fermented wash destroyed
Balasore,2018-02,46,46,107 bottles of IMFL
Rourkela,2018-02,64,81,96 bottles of IMFL
Mayurbhanj,2018-02,26,34,485 kg of fermented wash destroyed
Cuttack,2018-02,93,111,102 liters of ID liquor
Kalahandi,2018-02,17,20,486 kg of fermented wash destroyed
Bhubaneswar,2018-03,83,98,99 bottles of IMFL
Ganjam,2018-03,65,83,91 bottles of IMFL
Koraput,2018-03,25,25,105 bottles of IMFL
Sambalpur,2018-03,51,53,106 bottles of IMFL
Puri,2018-03,31,38,105 bottles of IMFL
Balasore,2018-03,44,50,116 liters of ID liquor
Rourkela,2018-03,67,69,76 bottles of IMFL
Mayurbhanj,2018-03,14,14,101 pouches of country liquor
Cuttack,2018-03,82,90,523 kg of fermented wash destroyed
Kalahandi,2018-03,18,25,86 liters of ID liquor
Bhubaneswar,2018-04,86,112,102 liters of ID liquor
Ganjam,2018-04,53,69,521 kg of fermented wash destroyed
Koraput,2018-04,25,31,97 pouches of country liquor
Sambalpur,2018-04,52,61,93 pouches of country liquor
Puri,2018-04,37,44,514 kg of fermented wash destroyed
Balasore,2018-04,43,43,87 liters of ID liquor
Rourkela,2018-04,57,71,508 kg of fermented wash destroyed
Mayurbhanj,2018-04,18,18,111 bottles of IMFL
Cuttack,2018-04,81,101,89 bottles of IMFL
Kalahandi,2018-04,28,46,505 kg of fermented wash destroyed
Bhubaneswar,2018-05,92,98,95 bottles of IMFL
Ganjam,2018-05,45,57,522 kg of fermented wash destroyed
Koraput,2018-05,19,19,116 liters of ID liquor
Sambalpur,2018-05,49,62,80 liters of ID liquor
Puri,2018-05,36,36,85 pouches of country liquor
Balasore,2018-05,58,58,522 kg of fermented wash destroyed
Rourkela,2018-05,69,69,100 bottles of IMFL
Mayurbhanj,2018-05,26,27,121 pouches of country liquor
Cuttack,2018-05,94,105,91 liters of ID liquor
Kalahandi,2018-05,15,16,119 bottles of IMFL
Bhubaneswar,2018-06,97,120,123 pouches of country liquor
Ganjam,2018-06,47,55,88 pouches of country liquor
Koraput,2018-06,20,25,98 liters of ID liquor
Sambalpur,2018-06,58,64,113 pouches of country liquor
Puri,2018-06,39,41,94 liters of ID liquor
Balasore,2018-06,46,55,95 bottles of IMFL
Rourkela,2018-06,54,57,93 pouches of country liquor
Mayurbhanj,2018-06,20,22,498 kg of fermented wash destroyed
Cuttack,2018-06,99,108,114 liters of ID liquor
Kalahandi,2018-06,25,25,72 bottles of IMFL
Bhubaneswar,2018-07,83,83,79 pouches of country liquor
Ganjam,2018-07,53,88,503 kg of fermented wash destroyed
Koraput,2018-07,28,31,485 kg of fermented wash destroyed
Sambalpur,2018-07,47,53,102 pouches of country liquor
Puri,2018-07,44,45,510 kg of fermented wash destroyed
Balasore,2018-07,36,37,102 bottles of IMFL
Rourkela,2018-07,63,75,95 pouches of country liquor
Mayurbhanj,2018-07,18,18,107 liters of ID liquor
Cuttack,2018-07,87,94,117 liters of ID liquor
Kalahandi,2018-07,28,28,102 pouches of country liquor
Bhubaneswar,2018-08,85,85,110 liters of ID liquor
Ganjam,2018-08,48,48,495 kg of fermented wash destroyed
Koraput,2018-08,19,22,107 pouches of country liquor
Sambalpur,2018-08,49,54,508 kg of fermented wash destroyed
Puri,2018-08,39,41,99 liters of ID liquor
Balasore,2018-08,41,58,91 bottles of IMFL
Rourkela,2018-08,51,59,97 liters of ID liquor
Mayurbhanj,2018-08,20,22,108 pouches of country liquor
Cuttack,2018-08,73,79,83 pouches of country liquor
Kalahandi,2018-08,21,26,87 bottles of IMFL
Bhubaneswar,2018-09,78,85,85 liters of ID liquor
Ganjam,2018-09,53,55,103 liters of ID liquor
Koraput,2018-09,21,21,93 liters of ID liquor
Sambalpur,2018-09,37,42,108 pouches of country liquor
Puri,2018-09,31,32,102 bottles of IMFL
Balasore,2018-09,31,42,86 liters of ID liquor
Rourkela,2018-09,56,62,92 liters of ID liquor
Mayurbhanj,2018-09,32,32,98 liters of ID liquor
Cuttack,2018-09,80,87,91 pouches of country liquor
Kalahandi,2018-09,17,17,509 kg of fermented wash destroyed
Bhubaneswar,2018-10,93,105,80 pouches of country liquor
Ganjam,2018-10,56,84,97 bottles of IMFL
Koraput,2018-10,16,20,97 pouches of country liquor
Sambalpur,2018-10,43,53,97 liters of ID liquor
Puri,2018-10,30,38,515 kg of fermented wash destroyed
Balasore,2018-10,48,51,121 bottles of IMFL
Rourkela,2018-10,64,64,101 liters of ID liquor
Mayurbhanj,2018-10,14,18,110 bottles of IMFL
Cuttack,2018-10,93,100,90 bottles of IMFL
Kalahandi,2018-10,15,16,478 kg of fermented wash destroyed
Bhubaneswar,2018-11,84,97,97 liters of ID liquor
Ganjam,2018-11,52,63,489 kg of fermented wash destroyed
Koraput,2018-11,22,22,115 liters of ID liquor
Sambalpur,2018-11,39,39,532 kg of fermented wash destroyed
Puri,2018-11,44,45,97 bottles of IMFL
Balasore,2018-11,32,40,478 kg of fermented wash destroyed
Rourkela,2018-11,59,66,89 pouches of country liquor
Mayurbhanj,2018-11,24,25,469 kg of fermented wash destroyed
Cuttack,2018-11,77,94,527 kg of fermented wash destroyed
Kalahandi,2018-11,20,20,110 liters of ID liquor
Bhubaneswar,2018-12,88,91,102 liters of ID liquor
Ganjam,2018-12,70,87,505 kg of fermented wash destroyed
Koraput,2018-12,18,29,474 kg of fermented wash destroyed
Sambalpur,2018-12,65,66,458 kg of fermented wash destroyed
Puri,2018-12,30,35,111 pouches of country liquor
Balasore,2018-12,45,45,108 pouches of country liquor
Rourkela,2018-12,54,56,107 bottles of IMFL
Mayurbhanj,2018-12,22,32,95 liters of ID liquor
Cuttack,2018-12,81,87,105 pouches of country liquor
Kalahandi,2018-12,17,18,522 kg of fermented wash destroyed
Bhubaneswar,2019-01,82,94,94 pouches of country liquor
Ganjam,2019-01,67,86,92 pouches of country liquor
Koraput,2019-01,23,32,105 pouches of country liquor
Sambalpur,2019-01,42,42,113 pouches of country liquor
Puri,2019-01,38,53,532 kg of fermented wash destroyed
Balasore,2019-01,41,52,511 kg of fermented wash destroyed
Rourkela,2019-01,64,73,108 bottles of IMFL
Mayurbhanj,2019-01,21,32,93 liters of ID liquor
Cuttack,2019-01,89,89,504 kg of fermented wash destroyed
Kalahandi,2019-01,17,24,102 liters of ID liquor
Bhubaneswar,2019-02,96,108,507 kg of fermented wash destroyed
Ganjam,2019-02,58,58,91 bottles of IMFL
Koraput,2019-02,19,24,108 bottles of IMFL
Sambalpur,2019-02,39,53,110 liters of ID liquor
Puri,2019-02,36,43,483 kg of fermented wash destroyed
Balasore,2019-02,39,46,82 bottles of IMFL
Rourkela,2019-02,51,51,108 pouches of country liquor
Mayurbhanj,2019-02,25,25,97 pouches of country liquor
Cuttack,2019-02,86,86,122 liters of ID liquor
Kalahandi,2019-02,19,22,116 liters of ID liquor
Bhubaneswar,2019-03,93,96,92 bottles of IMFL
Ganjam,2019-03,52,62,98 pouches of country liquor
Koraput,2019-03,20,20,92 bottles of IMFL
Sambalpur,2019-03,46,50,113 pouches of country liquor
Puri,2019-03,27,40,465 kg of fermented wash destroyed
Balasore,2019-03,50,56,83 bottles of IMFL
Rourkela,2019-03,59,73,98 pouches of country liquor
Mayurbhanj,2019-03,23,24,97 bottles of IMFL
