district,month,notice_129_bnss,bound_129_bnss,notice_126_bnss,bound_126_bnss,booked_under_nsa,nbw_executed,chanda_cases_registered,chanda_persons_arrested,blockings_border_sealed,organized_crime_action
Kalahandi,2015-07,38,27,24,18,2,39,1,3,7,1
Bhubaneswar,2015-08,149,131,108,90,2,274,13,3,33,3
Ganjam,2015-08,72,60,79,54,0,150,3,7,23,2
Koraput,2015-08,36,25,27,25,2,73,1,3,7,0
Sambalpur,2015-08,68,48,51,38,2,123,4,3,12,1
Puri,2015-08,61,47,62,54,1,98,4,5,8,1
Balasore,2015-08,74,62,54,42,1,122,3,10,10,1
Rourkela,2015-08,113,96,81,72,0,152,8,6,24,3
Mayurbhanj,2015-08,37,36,29,27,1,43,1,1,6,1
Cuttack,2015-08,150,118,112,84,2,225,9,7,21,1
Kalahandi,2015-08,37,37,25,14,2,48,2,0,13,2
Bhubaneswar,2015-09,147,116,118,91,0,227,10,11,31,4
Ganjam,2015-09,90,75,83,55,0,136,5,9,19,2
Koraput,2015-09,49,49,32,26,2,68,2,4,9,1
Sambalpur,2015-09,65,35,49,27,2,102,3,5,12,1
Puri,2015-09,66,49,46,42,2,75,4,1,17,0
Balasore,2015-09,70,47,41,26,3,98,6,2,14,0
Rourkela,2015-09,109,81,97,73,1,170,1,9,30,3
Mayurbhanj,2015-09,37,36,28,28,3,43,3,2,4,0
Cuttack,2015-09,134,119,90,75,2,221,9,10,21,1
Kalahandi,2015-09,28,21,24,24,0,46,3,0,8,1
Bhubaneswar,2015-10,164,132,117,88,1,235,7,5,22,2
Ganjam,2015-10,87,79,53,49,3,126,8,5,20,4
Koraput,2015-10,41,35,28,27,2,55,5,4,8,0
Sambalpur,2015-10,79,52,50,26,1,118,3,6,12,0
Puri,2015-10,65,57,51,44,1,109,5,3,9,0
Balasore,2015-10,69,55,66,49,1,112,3,6,13,1
Rourkela,2015-10,114,94,73,45,0,190,5,6,27,3
Mayurbhanj,2015-10,35,28,33,19,0,48,2,4,5,1
Cuttack,2015-10,115,98,110,89,2,224,11,11,29,2
Kalahandi,2015-10,32,29,22,15,1,53,2,3,4,2
Bhubaneswar,2015-11,164,129,101,74,3,231,8,7,28,4
Ganjam,2015-11,75,57,76,55,1,146,4,2,11,0
Koraput,2015-11,29,29,31,31,0,73,3,3,6,2
Sambalpur,2015-11,78,66,58,44,0,104,4,6,16,2
Puri,2015-11,54,52,60,50,0,81,7,5,13,0
Balasore,2015-11,59,46,51,45,0,108,5,3,20,1
Rourkela,2015-11,123,97,84,67,0,153,7,7,16,3
Mayurbhanj,2015-11,40,34,26,18,1,53,4,0,11,1
Cuttack,2015-11,154,103,85,57,0,204,11,9,25,5
Kalahandi,2015-11,37,35,23,23,0,52,0,4,6,1
Bhubaneswar,2015-12,128,101,125,99,1,236,6,16,30,5
Ganjam,2015-12,94,71,73,52,3,152,2,6,21,3
Koraput,2015-12,43,38,26,10,3,58,1,5,7,2
Sambalpur,2015-12,69,67,60,46,3,104,0,3,16,1
Puri,2015-12,69,59,41,34,1,106,4,3,7,0
Balasore,2015-12,66,45,60,43,3,116,7,8,14,1
Rourkela,2015-12,107,92,96,77,1,173,2,4,16,3
Mayurbhanj,2015-12,38,23,26,26,1,67,1,2,4,1
Cuttack,2015-12,145,103,111,67,3,240,11,11,29,3
Kalahandi,2015-12,31,31,31,18,2,41,1,1,9,0
Bhubaneswar,2016-01,142,105,116,89,1,266,8,7,25,2
Ganjam,2016-01,72,63,69,56,3,153,1,6,14,3
Koraput,2016-01,43,35,40,36,0,62,4,2,11,0
Sambalpur,2016-01,80,80,52,46,3,135,3,6,14,2
Puri,2016-01,56,50,46,35,2,88,4,4,16,1
Balasore,2016-01,67,56,56,46,0,95,4,6,17,4
Rourkela,2016-01,127,82,86,64,0,185,7,6,26,2
Mayurbhanj,2016-01,29,22,26,26,0,40,6,2,12,0
Cuttack,2016-01,131,100,125,100,1,218,9,13,26,4
Kalahandi,2016-01,29,25,32,25,2,49,1,0,6,1
Bhubaneswar,2016-02,148,109,105,91,1,257,9,16,14,2
Ganjam,2016-02,103,76,65,48,0,150,10,6,18,2
Koraput,2016-02,39,33,40,38,0,60,4,3,6,0
Sambalpur,2016-02,81,53,62,61,2,118,4,6,11,2
Puri,2016-02,67,52,45,41,0,116,4,4,9,0
Balasore,2016-02,82,75,57,36,2,99,3,2,12,2
Rourkela,2016-02,121,108,78,62,0,172,5,8,17,1
Mayurbhanj,2016-02,33,30,25,20,2,50,1,4,7,3
Cuttack,2016-02,150,136,103,77,0,234,10,14,27,1
Kalahandi,2016-02,38,31,22,20,0,46,0,3,6,4
Bhubaneswar,2016-03,164,132,119,83,4,244,9,14,27,3
Ganjam,2016-03,87,63,90,67,2,151,3,5,17,2
Koraput,2016-03,32,29,32,27,0,51,2,2,9,1
Sambalpur,2016-03,78,70,56,48,0,118,1,6,16,1
Puri,2016-03,63,46,52,37,1,100,5,6,11,1
Balasore,2016-03,70,53,51,35,2,121,4,4,16,0
Rourkela,2016-03,86,67,100,89,1,159,6,11,25,0
Mayurbhanj,2016-03,42,29,28,21,0,63,3,0,8,2
Cuttack,2016-03,132,107,137,103,1,204,12,8,24,2
Kalahandi,2016-03,24,19,21,15,0,40,3,1,5,1
Bhubaneswar,2016-04,153,121,114,95,3,240,9,10,30,1
Ganjam,2016-04,69,51,79,72,1,130,7,4,26,0
Koraput,2016-04,37,33,23,19,3,68,3,5,7,2
Sambalpur,2016-04,68,63,64,49,0,123,6,2,19,1
Puri,2016-04,58,36,34,26,4,101,1,4,17,1
Balasore,2016-04,65,58,64,59,1,116,2,3,12,6
Rourkela,2016-04,111,95,92,70,2,181,9,10,23,1
Mayurbhanj,2016-04,41,38,32,27,0,56,1,2,7,0
Cuttack,2016-04,135,103,129,83,2,270,6,6,37,3
Kalahandi,2016-04,41,33,21,14,1,56,2,2,6,2
Bhubaneswar,2016-05,161,143,131,115,1,228,7,12,37,3
Ganjam,2016-05,82,59,66,50,2,135,6,6,14,3
Koraput,2016-05,36,36,23,19,0,55,5,2,12,0
Sambalpur,2016-05,76,62,64,42,3,109,2,8,11,1
Puri,2016-05,67,59,37,25,2,88,2,5,13,0
Balasore,2016-05,70,55,57,40,0,100,5,3,19,3
Rourkela,2016-05,114,84,85,79,2,193,5,7,25,2
Mayurbhanj,2016-05,31,23,32,23,0,49,3,2,3,2
Cuttack,2016-05,130,102,104,95,1,207,8,11,27,4
Kalahandi,2016-05,29,22,25,25,0,55,1,5,2,0
Bhubaneswar,2016-06,162,123,110,84,3,244,9,10,32,1
Ganjam,2016-06,98,71,62,52,0,133,4,3,20,1
Koraput,2016-06,28,25,34,28,1,85,3,3,2,0
Sambalpur,2016-06,86,75,60,58,0,122,3,8,23,1
Puri,2016-06,45,39,36,21,1,87,4,5,15,2
Balasore,2016-06,57,54,46,37,2,134,5,4,13,1
Rourkela,2016-06,119,87,89,60,1,166,6,5,26,4
Mayurbhanj,2016-06,43,36,29,26,1,54,2,3,8,0
Cuttack,2016-06,129,100,115,103,2,234,11,11,26,5
Kalahandi,2016-06,28,22,30,25,0,43,0,2,7,0
Bhubaneswar,2016-07,145,119,136,107,4,235,12,11,27,3
Ganjam,2016-07,80,70,67,61,0,142,1,2,14,0
Koraput,2016-07,30,20,42,37,2,64,3,3,5,0
Sambalpur,2016-07,82,78,61,50,0,110,4,3,19,2
Puri,2016-07,54,38,43,35,2,90,1,6,14,2
Balasore,2016-07,69,49,57,47,2,118,2,6,16,4
Rourkela,2016-07,102,75,83,69,0,165,8,10,18,3
Mayurbhanj,2016-07,41,37,27,22,1,55,2,4,11,0
Cuttack,2016-07,161,125,95,74,2,222,8,9,34,2
Kalahandi,2016-07,40,28,23,16,1,41,4,3,1,1
Bhubaneswar,2016-08,124,94,136,117,1,256,8,9,27,4
Ganjam,2016-08,70,44,66,50,2,152,4,5,22,2
Koraput,2016-08,34,33,39,37,1,56,2,2,6,1
Sambalpur,2016-08,75,63,85,81,2,113,8,6,14,1
Puri,2016-08,63,47,44,41,1,80,2,5,13,4
Balasore,2016-08,67,56,65,37,1,110,1,6,18,0
Rourkela,2016-08,114,92,73,60,1,196,8,6,26,0
Mayurbhanj,2016-08,36,30,25,19,0,49,2,1,6,1
Cuttack,2016-08,132,114,123,77,1,249,11,7,30,6
Kalahandi,2016-08,30,25,26,15,0,50,0,3,7,1
Bhubaneswar,2016-09,146,92,121,104,0,229,12,8,23,3
Ganjam,2016-09,77,62,74,66,1,149,4,4,13,0
Koraput,2016-09,48,32,28,28,2,63,3,1,5,0
Sambalpur,2016-09,90,76,64,57,2,116,3,9,15,2
Puri,2016-09,63,53,48,47,0,77,3,9,15,1
Balasore,2016-09,77,58,54,50,1,101,3,6,19,2
Rourkela,2016-09,90,64,98,85,1,158,5,12,27,1
Mayurbhanj,2016-09,36,24,23,19,1,72,5,3,7,4
Cuttack,2016-09,117,100,105,68,0,227,5,7,26,1
Kalahandi,2016-09,23,12,23,15,0,42,0,1,5,1
Bhubaneswar,2016-10,155,139,100,81,2,268,8,12,31,1
Ganjam,2016-10,99,87,78,49,0,138,7,5,22,0
Koraput,2016-10,54,47,36,30,0,70,3,1,9,3
Sambalpur,2016-10,68,61,70,56,0,132,4,5,16,2
Puri,2016-10,61,53,42,32,1,79,3,4,15,1
Balasore,2016-10,79,62,64,62,0,137,4,3,15,0
Rourkela,2016-10,104,90,98,67,2,182,5,6,19,2
Mayurbhanj,2016-10,36,36,29,18,0,56,1,1,4,1
Cuttack,2016-10,132,116,104,83,0,217,11,5,32,1
Kalahandi,2016-10,36,36,24,21,0,38,0,3,4,0
Bhubaneswar,2016-11,147,115,96,71,2,236,11,12,29,1
Ganjam,2016-11,110,93,73,55,1,132,5,10,14,4
Koraput,2016-11,41,32,26,26,0,58,3,0,9,0
Sambalpur,2016-11,75,55,62,57,0,126,4,6,7,1
Puri,2016-11,57,57,53,33,0,91,5,5,11,1
Balasore,2016-11,75,61,56,44,0,96,1,3,14,1
Rourkela,2016-11,105,75,89,64,1,176,6,4,36,2
Mayurbhanj,2016-11,37,28,30,23,0,51,5,6,6,1
Cuttack,2016-11,128,110,116,88,1,202,5,13,21,5
Kalahandi,2016-11,35,27,14,12,1,54,2,2,3,2
Bhubaneswar,2016-12,152,116,126,99,1,242,9,14,32,2
Ganjam,2016-12,104,84,76,62,2,149,4,8,17,4
Koraput,2016-12,42,42,51,38,0,60,5,3,6,0
Sambalpur,2016-12,74,59,60,60,4,124,4,8,23,2
Puri,2016-12,49,32,43,34,2,90,4,3,15,1
Balasore,2016-12,63,55,51,37,0,113,2,2,11,1
Rourkela,2016-12,128,97,96,87,1,169,5,14,28,2
Mayurbhanj,2016-12,43,30,24,22,1,62,2,2,8,0
Cuttack,2016-12,148,131,108,93,0,247,10,11,28,3
Kalahandi,2016-12,25,25,30,30,1,51,2,3,5,2
Bhubaneswar,2017-01,171,155,105,87,1,244,8,10,36,7
Ganjam,2017-01,87,64,66,46,1,160,7,9,18,2
Koraput,2017-01,40,35,30,24,1,75,6,7,6,2
Sambalpur,2017-01,76,69,48,38,2,116,1,2,17,2
Puri,2017-01,59,43,69,56,1,101,6,9,17,1
Balasore,2017-01,66,52,61,53,0,126,3,5,16,1
Rourkela,2017-01,127,90,95,82,1,176,6,6,25,4
Mayurbhanj,2017-01,29,29,23,19,0,53,4,1,5,3
Cuttack,2017-01,153,143,111,89,0,209,6,9,21,1
Kalahandi,2017-01,38,31,20,17,1,53,2,0,2,0
Bhubaneswar,2017-02,139,122,149,132,1,239,11,8,34,1
Ganjam,2017-02,112,80,84,67,0,134,4,6,14,2
Koraput,2017-02,46,44,28,24,2,54,3,1,9,1
Sambalpur,2017-02,72,47,59,45,1,119,2,12,12,2
Puri,2017-02,48,37,49,46,0,101,3,6,12,1
Balasore,2017-02,76,76,58,45,0,112,4,6,13,0
Rourkela,2017-02,108,85,79,74,1,156,5,4,24,4
Mayurbhanj,2017-02,43,42,23,16,0,44,3,3,9,1
Cuttack,2017-02,137,108,108,80,3,214,3,11,21,3
Kalahandi,2017-02,27,27,27,13,1,44,1,2,7,3
Bhubaneswar,2017-03,157,123,107,94,3,250,6,8,25,3
Ganjam,2017-03,114,94,87,69,0,124,5,4,13,1
Koraput,2017-03,55,46,38,30,1,63,0,0,10,3
Sambalpur,2017-03,70,58,54,53,1,109,2,4,20,0
Puri,2017-03,64,57,41,27,0,102,1,2,9,1
Balasore,2017-03,76,59,65,48,2,125,2,6,9,0
Rourkela,2017-03,125,87,97,94,0,183,10,7,30,2
Mayurbhanj,2017-03,46,36,19,14,0,59,2,5,16,1
Cuttack,2017-03,136,103,106,83,3,235,4,6,22,0
Kalahandi,2017-03,20,9,20,19,1,49,2,1,8,2
Bhubaneswar,2017-04,155,123,113,91,3,240,4,5,25,2
Ganjam,2017-04,76,59,82,68,0,133,5,8,14,3
Koraput,2017-04,40,35,38,25,0,72,0,0,4,0
Sambalpur,2017-04,70,61,65,44,3,114,7,7,11,1
Puri,2017-04,54,42,40,39,1,111,2,5,14,1
Balasore,2017-04,65,62,57,45,0,115,1,8,11,2
Rourkela,2017-04,135,89,92,79,2,151,6,1,22,5
Mayurbhanj,2017-04,28,15,32,30,2,56,0,2,7,1
Cuttack,2017-04,122,90,121,90,0,231,8,6,27,5
Kalahandi,2017-04,29,16,31,23,1,46,0,1,9,0
Bhubaneswar,2017-05,165,132,139,108,0,243,9,17,27,4
Ganjam,2017-05,92,67,60,27,3,121,3,7,13,0
Koraput,2017-05,35,20,31,31,2,58,1,8,5,0
Sambalpur,2017-05,65,63,58,56,1,121,7,6,8,3
Puri,2017-05,53,42,40,33,1,93,3,5,14,1
Balasore,2017-05,72,66,52,40,1,110,4,3,13,2
Rourkela,2017-05,131,114,75,59,0,160,7,8,24,2
Mayurbhanj,2017-05,37,30,28,23,1,50,1,4,3,1
Cuttack,2017-05,139,121,125,87,2,193,8,5,30,5
Kalahandi,2017-05,34,22,22,18,1,33,2,2,2,2
Bhubaneswar,2017-06,152,108,129,103,3,211,10,7,26,3
Ganjam,2017-06,93,70,75,56,1,138,2,3,12,1
Koraput,2017-06,28,24,36,27,2,74,2,2,4,0
Sambalpur,2017-06,71,50,61,47,2,121,5,8,21,1
Puri,2017-06,62,39,55,40,0,97,4,7,9,1
Balasore,2017-06,61,53,63,44,0,124,5,5,18,1
Rourkela,2017-06,101,74,83,83,1,172,4,6,22,1
Mayurbhanj,2017-06,37,31,27,20,0,45,1,0,6,1
Cuttack,2017-06,129,91,115,93,1,197,5,10,32,1
Kalahandi,2017-06,31,31,28,14,1,50,1,1,5,0
Bhubaneswar,2017-07,144,117,118,93,0,228,8,13,26,3
Ganjam,2017-07,72,51,78,67,1,160,7,8,19,3
Koraput,2017-07,33,24,33,24,0,63,5,2,5,0
Sambalpur,2017-07,73,60,62,46,3,114,5,6,9,1
Puri,2017-07,69,58,53,38,1,94,4,6,17,0
Balasore,2017-07,69,49,71,59,1,101,3,5,14,2
Rourkela,2017-07,115,110,79,79,1,173,8,6,20,3
Mayurbhanj,2017-07,36,33,29,22,0,48,1,2,9,1
Cuttack,2017-07,143,119,126,99,2,209,8,15,25,3
Kalahandi,2017-07,30,17,23,15,2,50,4,2,7,1
Bhubaneswar,2017-08,163,116,128,108,1,246,11,8,26,1
Ganjam,2017-08,91,65,72,61,2,166,3,7,11,2
Koraput,2017-08,35,24,30,30,2,60,3,5,11,2
Sambalpur,2017-08,82,62,51,41,0,122,2,8,14,2
Puri,2017-08,67,51,51,45,1,93,4,6,17,1
Balasore,2017-08,62,55,51,42,0,113,5,7,18,1
Rourkela,2017-08,105,75,84,60,4,196,4,6,23,2
Mayurbhanj,2017-08,33,21,32,24,1,77,5,2,5,1
Cuttack,2017-08,124,95,118,84,1,215,4,10,19,4
Kalahandi,2017-08,26,26,21,21,1,43,2,4,6,0
Bhubaneswar,2017-09,159,143,118,83,3,276,7,7,29,4
Ganjam,2017-09,83,69,69,58,0,168,6,5,15,0
Koraput,2017-09,41,33,29,29,1,59,7,3,8,0
Sambalpur,2017-09,66,66,56,43,2,114,6,5,16,2
Puri,2017-09,74,52,41,37,1,103,3,4,13,0
Balasore,2017-09,68,51,54,42,0,129,1,7,14,2
Rourkela,2017-09,103,77,76,58,1,180,8,11,17,2
Mayurbhanj,2017-09,28,23,34,20,0,56,3,1,5,1
Cuttack,2017-09,148,121,99,87,4,209,6,5,21,1
Kalahandi,2017-09,22,22,27,26,0,54,0,1,4,0
Bhubaneswar,2017-10,148,121,109,94,0,229,6,8,33,2
Ganjam,2017-10,86,76,77,57,1,142,6,8,20,3
Koraput,2017-10,45,31,36,35,0,65,2,1,4,0
Sambalpur,2017-10,79,55,51,34,1,121,3,3,11,1
Puri,2017-10,65,47,52,42,0,103,5,6,8,0
Balasore,2017-10,82,76,50,37,1,104,4,4,16,1
Rourkela,2017-10,114,98,110,104,2,156,8,5,29,4
Mayurbhanj,2017-10,54,41,22,18,1,57,3,5,3,1
Cuttack,2017-10,125,82,109,83,3,213,8,9,31,2
Kalahandi,2017-10,28,20,18,12,1,45,0,1,10,3
Bhubaneswar,2017-11,119,91,129,118,3,219,12,10,30,2
Ganjam,2017-11,77,65,77,68,1,126,0,7,11,1
Koraput,2017-11,36,31,29,21,2,53,1,5,7,2
Sambalpur,2017-11,68,44,58,52,3,124,4,4,15,1
Puri,2017-11,64,39,50,48,2,86,3,2,18,0
Balasore,2017-11,57,47,63,55,1,116,5,6,23,3
Rourkela,2017-11,110,89,76,58,2,169,9,10,26,3
Mayurbhanj,2017-11,37,33,25,16,0,68,1,4,12,0
Cuttack,2017-11,140,110,120,76,1,191,8,12,33,1
Kalahandi,2017-11,33,12,34,34,1,44,3,4,4,3
Bhubaneswar,2017-12,147,129,127,99,2,256,11,13,27,1
Ganjam,2017-12,92,79,78,65,0,134,5,2,18,2
Koraput,2017-12,35,29,41,25,1,57,5,2,10,2
Sambalpur,2017-12,70,66,59,46,0,122,5,4,12,0
Puri,2017-12,65,50,43,36,3,105,3,3,10,1
Balasore,2017-12,74,63,62,34,0,120,2,6,20,0
Rourkela,2017-12,113,103,102,80,0,158,2,10,26,3
Mayurbhanj,2017-12,27,24,27,17,0,58,3,2,9,1
Cuttack,2017-12,134,116,130,114,2,229,10,10,31,2
Kalahandi,2017-12,33,31,34,24,2,52,1,6,5,1
Bhubaneswar,2018-01,157,140,136,126,2,239,5,9,37,3
Ganjam,2018-01,90,62,84,57,1,128,4,4,19,0
Koraput,2018-01,36,24,30,20,2,66,2,7,7,0
Sambalpur,2018-01,73,62,55,26,1,128,5,3,15,2
Puri,2018-01,57,50,47,38,1,102,0,8,5,2
Balasore,2018-01,52,33,64,50,2,104,3,4,12,0
Rourkela,2018-01,102,88,91,66,3,169,8,8,25,2
Mayurbhanj,2018-01,38,31,22,17,2,48,3,0,8,0
Cuttack,2018-01,151,119,100,73,2,217,9,15,29,1
Kalahandi,2018-01,26,25,21,16,0,49,5,0,8,2
Bhubaneswar,2018-02,155,106,108,74,0,246,10,8,26,5
Ganjam,2018-02,99,65,84,59,0,166,4,6,13,1
Koraput,2018-02,42,36,29,14,0,61,1,4,12,3
Sambalpur,2018-02,69,55,52,39,0,126,7,10,10,2
Puri,2018-02,57,50,54,39,0,77,5,4,8,0
Balasore,2018-02,73,54,50,38,2,112,5,8,12,1
Rourkela,2018-02,151,105,82,68,2,164,9,17,26,2
Mayurbhanj,2018-02,36,23,17,15,1,54,3,4,7,0
Cuttack,2018-02,138,102,127,116,0,217,8,12,27,2
Kalahandi,2018-02,34,26,23,20,0,50,1,0,4,2
Bhubaneswar,2018-03,150,82,118,90,0,242,12,13,35,3
Ganjam,2018-03,109,80,74,51,0,150,2,5,17,6
Koraput,2018-03,40,36,32,19,1,71,4,3,9,1
Sambalpur,2018-03,80,69,53,40,1,120,2,7,10,1
Puri,2018-03,51,41,32,25,1,102,3,3,15,3
Balasore,2018-03,70,43,55,43,0,118,4,1,13,1
Rourkela,2018-03,108,99,74,61,0,193,6,7,16,2
Mayurbhanj,2018-03,30,17,26,26,1,56,0,3,8,0
Cuttack,2018-03,151,117,111,95,2,244,7,9,39,4
Kalahandi,2018-03,38,28,23,20,1,50,2,1,6,0
Bhubaneswar,2018-04,150,120,107,81,0,232,10,15,39,0
Ganjam,2018-04,104,77,73,68,0,138,4,2,17,0
Koraput,2018-04,33,20,35,35,0,53,1,2,10,2
Sambalpur,2018-04,72,56,56,43,1,134,4,6,17,0
Puri,2018-04,62,46,35,29,0,118,4,7,12,1
Balasore,2018-04,67,62,59,55,0,121,2,9,15,3
Rourkela,2018-04,102,83,83,67,0,192,6,5,26,3
Mayurbhanj,2018-04,48,38,32,17,1,60,1,2,6,0
Cuttack,2018-04,143,114,123,97,2,205,14,9,21,1
Kalahandi,2018-04,31,12,22,4,1,57,2,2,5,3
Bhubaneswar,2018-05,169,101,138,129,0,240,11,11,22,3
Ganjam,2018-05,82,67,67,49,0,167,3,11,19,3
Koraput,2018-05,42,42,32,13,1,70,1,3,13,1
Sambalpur,2018-05,79,55,52,31,2,120,2,4,14,0
Puri,2018-05,58,43,51,36,1,103,0,5,14,3
Balasore,2018-05,67,56,57,44,0,97,3,7,21,1
Rourkela,2018-05,111,99,99,75,0,181,8,7,11,3
Mayurbhanj,2018-05,35,18,30,27,1,53,2,3,10,2
Cuttack,2018-05,136,110,116,100,0,205,5,12,40,1
Kalahandi,2018-05,27,27,22,14,0,49,3,1,3,1
Bhubaneswar,2018-06,153,128,121,83,2,249,5,8,24,0
Ganjam,2018-06,98,73,73,64,0,149,5,6,21,4
Koraput,2018-06,40,29,30,26,0,83,0,7,8,0
Sambalpur,2018-06,83,62,57,55,1,105,3,8,20,1
Puri,2018-06,63,43,42,42,1,101,2,9,9,0
Balasore,2018-06,69,42,52,51,1,122,5,5,9,1
Rourkela,2018-06,97,73,84,61,2,188,7,4,17,6
Mayurbhanj,2018-06,28,28,34,31,3,40,0,2,7,0
Cuttack,2018-06,155,105,119,86,1,242,3,11,23,5
Kalahandi,2018-06,30,30,18,11,2,55,1,8,8,1
Bhubaneswar,2018-07,165,125,127,81,1,264,6,14,33,5
Ganjam,2018-07,99,80,69,59,2,160,9,5,28,3
Koraput,2018-07,48,38,22,12,0,66,1,3,7,1
Sambalpur,2018-07,78,66,59,43,1,120,5,6,18,2
Puri,2018-07,71,62,62,53,2,82,1,1,13,1
Balasore,2018-07,76,65,56,43,1,110,3,3,10,2
Rourkela,2018-07,135,115,111,92,1,170,5,7,30,1
Mayurbhanj,2018-07,37,28,26,13,1,55,2,0,7,0
Cuttack,2018-07,147,122,123,94,1,214,10,8,29,7
Kalahandi,2018-07,23,21,36,25,0,44,2,1,11,1
Bhubaneswar,2018-08,146,121,106,104,3,221,6,12,30,3
Ganjam,2018-08,88,63,83,61,0,162,5,8,18,4
Koraput,2018-08,53,40,41,32,3,77,1,3,10,0
Sambalpur,2018-08,58,47,59,42,0,115,6,3,12,0
Puri,2018-08,56,47,48,48,0,88,7,11,7,0
Balasore,2018-08,78,62,67,51,0,111,0,6,15,2
Rourkela,2018-08,107,80,78,62,2,186,8,7,33,2
Mayurbhanj,2018-08,27,27,31,23,0,46,5,0,4,3
Cuttack,2018-08,132,100,116,80,1,233,7,11,23,0
