district,month,cases_registered,persons_arrested,details_of_seizure,arrest_per_case,target_efficiency
Balasore,2015-05-01,34,38,81 bottles of IMFL,1.1176470588235294,1.0
Rourkela,2015-05-01,71,71,480 kg of fermented wash destroyed,1.0,1.0147058823529411
Mayurbhanj,2015-05-01,13,22,458 kg of fermented wash destroyed,1.6923076923076923,1.2608695652173914
Cuttack,2015-05-01,87,96,524 kg of fermented wash destroyed,1.103448275862069,1.051948051948052
Kalahandi,2015-05-01,18,23,92 liters of ID liquor,1.2777777777777777,1.05
Bhubaneswar,2015-06-01,102,107,96 liters of ID liquor,1.0490196078431373,1.1372549019607843
Ganjam,2015-06-01,60,76,105 liters of ID liquor,1.2666666666666666,1.0
Koraput,2015-06-01,20,26,101 bottles of IMFL,1.3,1.5
Sambalpur,2015-06-01,52,53,108 pouches of country liquor,1.0192307692307692,1.0
Puri,2015-06-01,39,51,113 bottles of IMFL,1.3076923076923077,1.048780487804878
Balasore,2015-06-01,45,45,473 kg of fermented wash destroyed,1.0,1.0
Rourkela,2015-06-01,68,69,511 kg of fermented wash destroyed,1.0147058823529411,1.0
Mayurbhanj,2015-06-01,23,29,86 pouches of country liquor,1.2608695652173914,1.0
Cuttack,2015-06-01,77,81,82 pouches of country liquor,1.051948051948052,1.1066666666666667
Kalahandi,2015-06-01,20,21,89 bottles of IMFL,1.05,1.1666666666666667
Bhubaneswar,2015-07-01,102,116,511 kg of fermented wash destroyed,1.1372549019607843,1.2027027027027026
Ganjam,2015-07-01,51,51,96 pouches of country liquor,1.0,1.0
Koraput,2015-07-01,22,33,458 kg of fermented wash destroyed,1.5,1.5
Sambalpur,2015-07-01,33,33,506 kg of fermented wash destroyed,1.0,1.2325581395348837
Puri,2015-07-01,41,43,100 liters of ID liquor,1.048780487804878,1.2903225806451613
Balasore,2015-07-01,49,49,95 pouches of country liquor,1.0,1.1111111111111112
Rourkela,2015-07-01,55,55,86 pouches of country liquor,1.0,1.1384615384615384
Mayurbhanj,2015-07-01,20,20,108 liters of ID liquor,1.0,1.0
Cuttack,2015-07-01,75,83,97 bottles of IMFL,1.1066666666666667,1.0493827160493827
Kalahandi,2015-07-01,18,21,99 liters of ID liquor,1.1666666666666667,1.0
Bhubaneswar,2015-08-01,74,89,491 kg of fermented wash destroyed,1.2027027027027026,1.1063829787234043
Ganjam,2015-08-01,52,52,94 liters of ID liquor,1.0,1.0
Koraput,2015-08-01,22,33,109 liters of ID liquor,1.5,1.1612903225806452
Sambalpur,2015-08-01,43,53,94 bottles of IMFL,1.2325581395348837,1.0
Puri,2015-08-01,31,40,514 kg of fermented wash destroyed,1.2903225806451613,1.0
Balasore,2015-08-01,36,40,463 kg of fermented wash destroyed,1.1111111111111112,1.0
Rourkela,2015-08-01,65,74,92 pouches of country liquor,1.1384615384615384,1.1
Mayurbhanj,2015-08-01,22,22,96 liters of ID liquor,1.0,1.1111111111111112
Cuttack,2015-08-01,81,85,97 bottles of IMFL,1.0493827160493827,1.0
Kalahandi,2015-08-01,20,20,105 pouches of country liquor,1.0,1.0
Bhubaneswar,2015-09-01,94,104,118 bottles of IMFL,1.1063829787234043,1.0416666666666667
Ganjam,2015-09-01,50,50,110 bottles of IMFL,1.0,1.0
Koraput,2015-09-01,31,36,109 liters of ID liquor,1.1612903225806452,1.24
Sambalpur,2015-09-01,38,38,117 pouches of country liquor,1.0,1.0
Puri,2015-09-01,39,39,110 liters of ID liquor,1.0,1.0
Balasore,2015-09-01,31,31,87 pouches of country liquor,1.0,1.3658536585365855
Rourkela,2015-09-01,70,77,93 bottles of IMFL,1.1,1.0
Mayurbhanj,2015-09-01,27,30,107 pouches of country liquor,1.1111111111111112,1.25
Cuttack,2015-09-01,71,71,90 liters of ID liquor,1.0,1.188118811881188
Kalahandi,2015-09-01,18,18,100 bottles of IMFL,1.0,1.1111111111111112
Bhubaneswar,2015-10-01,72,75,104 pouches of country liquor,1.0416666666666667,1.0679611650485437
Ganjam,2015-10-01,44,44,95 liters of ID liquor,1.0,1.0384615384615385
Koraput,2015-10-01,25,31,103 pouches of country liquor,1.24,1.0
Sambalpur,2015-10-01,49,49,98 liters of ID liquor,1.0,1.1224489795918366
Puri,2015-10-01,41,41,85 liters of ID liquor,1.0,1.1538461538461537
Balasore,2015-10-01,41,56,116 bottles of IMFL,1.3658536585365855,1.0851063829787233
Rourkela,2015-10-01,58,58,95 pouches of country liquor,1.0,1.0133333333333334
Mayurbhanj,2015-10-01,24,30,481 kg of fermented wash destroyed,1.25,1.15
Cuttack,2015-10-01,101,120,102 pouches of country liquor,1.188118811881188,1.0
Kalahandi,2015-10-01,18,20,102 pouches of country liquor,1.1111111111111112,1.1666666666666667
Bhubaneswar,2015-11-01,103,110,81 liters of ID liquor,1.0679611650485437,1.2839506172839505
Ganjam,2015-11-01,52,54,102 pouches of country liquor,1.0384615384615385,1.0
Koraput,2015-11-01,12,12,538 kg of fermented wash destroyed,1.0,1.3157894736842106
Sambalpur,2015-11-01,49,55,101 bottles of IMFL,1.1224489795918366,1.0
Puri,2015-11-01,39,45,103 liters of ID liquor,1.1538461538461537,1.2571428571428571
Balasore,2015-11-01,47,51,97 bottles of IMFL,1.0851063829787233,1.3428571428571427
Rourkela,2015-11-01,75,76,501 kg of fermented wash destroyed,1.0133333333333334,1.0972222222222223
Mayurbhanj,2015-11-01,20,23,94 liters of ID liquor,1.15,1.631578947368421
Cuttack,2015-11-01,90,90,90 liters of ID liquor,1.0,1.2058823529411764
Kalahandi,2015-11-01,12,14,92 liters of ID liquor,1.1666666666666667,1.3076923076923077
Bhubaneswar,2015-12-01,81,104,503 kg of fermented wash destroyed,1.2839506172839505,1.0
Ganjam,2015-12-01,63,63,102 liters of ID liquor,1.0,1.0
Koraput,2015-12-01,19,25,476 kg of fermented wash destroyed,1.3157894736842106,1.28
Sambalpur,2015-12-01,48,48,91 bottles of IMFL,1.0,1.2826086956521738
Puri,2015-12-01,35,44,95 pouches of country liquor,1.2571428571428571,1.0
Balasore,2015-12-01,35,47,109 liters of ID liquor,1.3428571428571427,1.0
Rourkela,2015-12-01,72,79,463 kg of fermented wash destroyed,1.0972222222222223,1.2876712328767124
Mayurbhanj,2015-12-01,19,31,464 kg of fermented wash destroyed,1.631578947368421,1.0
Cuttack,2015-12-01,68,82,490 kg of fermented wash destroyed,1.2058823529411764,1.2134831460674158
Kalahandi,2015-12-01,13,17,477 kg of fermented wash destroyed,1.3076923076923077,1.0
Bhubaneswar,2016-01-01,75,75,102 liters of ID liquor,1.0,1.04
Ganjam,2016-01-01,51,51,96 bottles of IMFL,1.0,1.1346153846153846
Koraput,2016-01-01,25,32,506 kg of fermented wash destroyed,1.28,1.2333333333333334
Sambalpur,2016-01-01,46,59,481 kg of fermented wash destroyed,1.2826086956521738,1.04
Puri,2016-01-01,26,26,465 kg of fermented wash destroyed,1.0,1.0
Balasore,2016-01-01,45,45,92 bottles of IMFL,1.0,1.0
Rourkela,2016-01-01,73,94,90 bottles of IMFL,1.2876712328767124,1.0
Mayurbhanj,2016-01-01,14,14,509 kg of fermented wash destroyed,1.0,1.0
Cuttack,2016-01-01,89,108,90 pouches of country liquor,1.2134831460674158,1.0987654320987654
Kalahandi,2016-01-01,10,10,104 liters of ID liquor,1.0,1.0
Bhubaneswar,2016-02-01,75,78,89 pouches of country liquor,1.04,1.1458333333333333
Ganjam,2016-02-01,52,59,96 pouches of country liquor,1.1346153846153846,1.0769230769230769
Koraput,2016-02-01,30,37,100 bottles of IMFL,1.2333333333333334,1.0
Sambalpur,2016-02-01,50,52,130 pouches of country liquor,1.04,1.3333333333333333
Puri,2016-02-01,34,34,87 pouches of country liquor,1.0,1.1923076923076923
Balasore,2016-02-01,37,37,106 pouches of country liquor,1.0,1.103448275862069
Rourkela,2016-02-01,51,51,516 kg of fermented wash destroyed,1.0,1.0694444444444444
Mayurbhanj,2016-02-01,13,13,106 pouches of country liquor,1.0,1.4230769230769231
Cuttack,2016-02-01,81,89,88 liters of ID liquor,1.0987654320987654,1.2307692307692308
Kalahandi,2016-02-01,13,13,101 bottles of IMFL,1.0,1.2857142857142858
Bhubaneswar,2016-03-01,96,110,90 bottles of IMFL,1.1458333333333333,1.1685393258426966
Ganjam,2016-03-01,52,56,96 bottles of IMFL,1.0769230769230769,1.0384615384615385
Koraput,2016-03-01,28,28,105 liters of ID liquor,1.0,1.1153846153846154
Sambalpur,2016-03-01,51,68,112 bottles of IMFL,1.3333333333333333,1.0
Puri,2016-03-01,26,31,502 kg of fermented wash destroyed,1.1923076923076923,1.0
Balasore,2016-03-01,29,32,94 bottles of IMFL,1.103448275862069,1.0217391304347827
Rourkela,2016-03-01,72,77,103 pouches of country liquor,1.0694444444444444,1.0
Mayurbhanj,2016-03-01,26,37,84 liters of ID liquor,1.4230769230769231,1.0
Cuttack,2016-03-01,91,112,88 pouches of country liquor,1.2307692307692308,1.1590909090909092
Kalahandi,2016-03-01,14,18,475 kg of fermented wash destroyed,1.2857142857142858,1.0
Bhubaneswar,2016-04-01,89,104,483 kg of fermented wash destroyed,1.1685393258426966,1.2967032967032968
Ganjam,2016-04-01,52,54,99 liters of ID liquor,1.0384615384615385,1.0
Koraput,2016-04-01,26,29,116 bottles of IMFL,1.1153846153846154,1.0952380952380953
Sambalpur,2016-04-01,52,52,100 bottles of IMFL,1.0,1.0454545454545454
Puri,2016-04-01,27,27,87 liters of ID liquor,1.0,1.0909090909090908
Balasore,2016-04-01,46,47,88 pouches of country liquor,1.0217391304347827,1.0
Rourkela,2016-04-01,66,66,109 liters of ID liquor,1.0,1.0483870967741935
Mayurbhanj,2016-04-01,20,20,92 liters of ID liquor,1.0,1.0625
Cuttack,2016-04-01,88,102,105 pouches of country liquor,1.1590909090909092,1.1122448979591837
Kalahandi,2016-04-01,6,6,93 pouches of country liquor,1.0,1.0
Bhubaneswar,2016-05-01,91,118,90 pouches of country liquor,1.2967032967032968,1.2674418604651163
Ganjam,2016-05-01,58,58,106 liters of ID liquor,1.0,1.0
Koraput,2016-05-01,21,23,104 liters of ID liquor,1.0952380952380953,1.2692307692307692
Sambalpur,2016-05-01,44,46,87 pouches of country liquor,1.0454545454545454,1.0
Puri,2016-05-01,44,48,103 bottles of IMFL,1.0909090909090908,1.08
Balasore,2016-05-01,33,33,100 bottles of IMFL,1.0,1.0
Rourkela,2016-05-01,62,65,89 pouches of country liquor,1.0483870967741935,1.1940298507462686
Mayurbhanj,2016-05-01,16,17,83 pouches of country liquor,1.0625,1.105263157894737
Cuttack,2016-05-01,98,109,91 pouches of country liquor,1.1122448979591837,1.2352941176470589
Kalahandi,2016-05-01,19,19,89 pouches of country liquor,1.0,1.0
Bhubaneswar,2016-06-01,86,109,88 bottles of IMFL,1.2674418604651163,1.2530120481927711
Ganjam,2016-06-01,63,63,532 kg of fermented wash destroyed,1.0,1.25
Koraput,2016-06-01,26,33,98 bottles of IMFL,1.2692307692307692,1.0
Sambalpur,2016-06-01,49,49,91 liters of ID liquor,1.0,1.2894736842105263
Puri,2016-06-01,25,27,113 pouches of country liquor,1.08,1.1666666666666667
Balasore,2016-06-01,37,37,98 liters of ID liquor,1.0,1.0
Rourkela,2016-06-01,67,80,102 liters of ID liquor,1.1940298507462686,1.1940298507462686
Mayurbhanj,2016-06-01,19,21,100 liters of ID liquor,1.105263157894737,1.0714285714285714
Cuttack,2016-06-01,102,126,102 pouches of country liquor,1.2352941176470589,1.0375
Kalahandi,2016-06-01,15,15,105 pouches of country liquor,1.0,1.0
Bhubaneswar,2016-07-01,83,104,504 kg of fermented wash destroyed,1.2530120481927711,1.0
Ganjam,2016-07-01,60,75,118 liters of ID liquor,1.25,1.0892857142857142
Koraput,2016-07-01,21,21,79 bottles of IMFL,1.0,1.0
Sambalpur,2016-07-01,38,49,470 kg of fermented wash destroyed,1.2894736842105263,1.1470588235294117
Puri,2016-07-01,30,35,96 bottles of IMFL,1.1666666666666667,1.2432432432432432
Balasore,2016-07-01,44,44,112 bottles of IMFL,1.0,1.1224489795918366
Rourkela,2016-07-01,67,80,100 bottles of IMFL,1.1940298507462686,1.0147058823529411
Mayurbhanj,2016-07-01,14,15,106 liters of ID liquor,1.0714285714285714,1.0
Cuttack,2016-07-01,80,83,510 kg of fermented wash destroyed,1.0375,1.1938775510204083
Kalahandi,2016-07-01,22,22,518 kg of fermented wash destroyed,1.0,1.0416666666666667
Bhubaneswar,2016-08-01,93,93,478 kg of fermented wash destroyed,1.0,1.1704545454545454
Ganjam,2016-08-01,56,61,97 liters of ID liquor,1.0892857142857142,1.1090909090909091
Koraput,2016-08-01,16,16,130 pouches of country liquor,1.0,1.0
Sambalpur,2016-08-01,34,39,505 kg of fermented wash destroyed,1.1470588235294117,1.0526315789473684
Puri,2016-08-01,37,46,480 kg of fermented wash destroyed,1.2432432432432432,1.0
Balasore,2016-08-01,49,55,115 bottles of IMFL,1.1224489795918366,1.2941176470588236
Rourkela,2016-08-01,68,69,118 pouches of country liquor,1.0147058823529411,1.15
Mayurbhanj,2016-08-01,27,27,510 kg of fermented wash destroyed,1.0,1.096774193548387
Cuttack,2016-08-01,98,117,95 bottles of IMFL,1.1938775510204083,1.0
Kalahandi,2016-08-01,24,25,104 liters of ID liquor,1.0416666666666667,1.2222222222222223
Bhubaneswar,2016-09-01,88,103,99 bottles of IMFL,1.1704545454545454,1.1565217391304348
Ganjam,2016-09-01,55,61,129 liters of ID liquor,1.1090909090909091,1.4406779661016949
Koraput,2016-09-01,28,28,111 liters of ID liquor,1.0,1.3846153846153846
Sambalpur,2016-09-01,38,40,480 kg of fermented wash destroyed,1.0526315789473684,1.2765957446808511
Puri,2016-09-01,30,30,94 bottles of IMFL,1.0,1.0
Balasore,2016-09-01,34,44,101 bottles of IMFL,1.2941176470588236,1.2903225806451613
Rourkela,2016-09-01,60,69,88 bottles of IMFL,1.15,1.0
Mayurbhanj,2016-09-01,31,34,100 bottles of IMFL,1.096774193548387,1.0
Cuttack,2016-09-01,85,85,106 bottles of IMFL,1.0,1.0735294117647058
Kalahandi,2016-09-01,18,22,484 kg of fermented wash destroyed,1.2222222222222223,1.0526315789473684
Bhubaneswar,2016-10-01,115,133,513 kg of fermented wash destroyed,1.1565217391304348,1.0
Ganjam,2016-10-01,59,85,529 kg of fermented wash destroyed,1.4406779661016949,1.1384615384615384
Koraput,2016-10-01,26,36,498 kg of fermented wash destroyed,1.3846153846153846,1.0714285714285714
Sambalpur,2016-10-01,47,60,104 liters of ID liquor,1.2765957446808511,1.2608695652173914
Puri,2016-10-01,39,39,503 kg of fermented wash destroyed,1.0,1.206896551724138
Balasore,2016-10-01,31,40,82 liters of ID liquor,1.2903225806451613,1.1136363636363635
Rourkela,2016-10-01,56,56,83 liters of ID liquor,1.0,1.15
Mayurbhanj,2016-10-01,21,21,103 bottles of IMFL,1.0,1.2222222222222223
Cuttack,2016-10-01,68,73,91 bottles of IMFL,1.0735294117647058,1.0
Kalahandi,2016-10-01,19,20,103 liters of ID liquor,1.0526315789473684,1.0357142857142858
Bhubaneswar,2016-11-01,92,92,86 pouches of country liquor,1.0,1.0
Ganjam,2016-11-01,65,74,92 bottles of IMFL,1.1384615384615384,1.04
Koraput,2016-11-01,28,30,495 kg of fermented wash destroyed,1.0714285714285714,1.1111111111111112
Sambalpur,2016-11-01,46,58,94 pouches of country liquor,1.2608695652173914,1.297872340425532
Puri,2016-11-01,29,35,84 bottles of IMFL,1.206896551724138,1.0212765957446808
Balasore,2016-11-01,44,49,92 liters of ID liquor,1.1136363636363635,1.1627906976744187
Rourkela,2016-11-01,60,69,109 liters of ID liquor,1.15,1.05
Mayurbhanj,2016-11-01,18,22,519 kg of fermented wash destroyed,1.2222222222222223,1.0476190476190477
Cuttack,2016-11-01,74,74,97 bottles of IMFL,1.0,1.170731707317073
Kalahandi,2016-11-01,28,29,88 liters of ID liquor,1.0357142857142858,1.0
Bhubaneswar,2016-12-01,96,96,104 pouches of country liquor,1.0,1.0
Ganjam,2016-12-01,50,52,79 bottles of IMFL,1.04,1.2280701754385965
Koraput,2016-12-01,27,30,104 liters of ID liquor,1.1111111111111112,1.0
Sambalpur,2016-12-01,47,61,98 liters of ID liquor,1.297872340425532,1.0
Puri,2016-12-01,47,48,536 kg of fermented wash destroyed,1.0212765957446808,1.0
Balasore,2016-12-01,43,50,98 liters of ID liquor,1.1627906976744187,1.1842105263157894
Rourkela,2016-12-01,60,63,103 pouches of country liquor,1.05,1.042857142857143
Mayurbhanj,2016-12-01,21,22,100 liters of ID liquor,1.0476190476190477,1.0476190476190477
Cuttack,2016-12-01,82,96,97 liters of ID liquor,1.170731707317073,1.15
Kalahandi,2016-12-01,20,20,106 bottles of IMFL,1.0,1.0
Bhubaneswar,2017-01-01,76,76,508 kg of fermented wash destroyed,1.0,1.3043478260869565
Ganjam,2017-01-01,57,70,500 kg of fermented wash destroyed,1.2280701754385965,1.1830985915492958
Koraput,2017-01-01,27,27,119 bottles of IMFL,1.0,1.2916666666666667
Sambalpur,2017-01-01,42,42,118 bottles of IMFL,1.0,1.475
Puri,2017-01-01,34,34,98 bottles of IMFL,1.0,1.1794871794871795
Balasore,2017-01-01,38,45,101 bottles of IMFL,1.1842105263157894,1.5
Rourkela,2017-01-01,70,73,93 liters of ID liquor,1.042857142857143,1.0
Mayurbhanj,2017-01-01,21,22,107 bottles of IMFL,1.0476190476190477,1.1764705882352942
Cuttack,2017-01-01,100,115,97 pouches of country liquor,1.15,1.03125
Kalahandi,2017-01-01,22,22,463 kg of fermented wash destroyed,1.0,1.15
Bhubaneswar,2017-02-01,92,120,89 pouches of country liquor,1.3043478260869565,1.1910112359550562
Ganjam,2017-02-01,71,84,107 pouches of country liquor,1.1830985915492958,1.1454545454545455
Koraput,2017-02-01,24,31,102 bottles of IMFL,1.2916666666666667,1.3181818181818181
Sambalpur,2017-02-01,40,59,119 liters of ID liquor,1.475,1.0857142857142856
Puri,2017-02-01,39,46,96 bottles of IMFL,1.1794871794871795,1.0
Balasore,2017-02-01,38,57,101 bottles of IMFL,1.5,1.131578947368421
Rourkela,2017-02-01,65,65,107 pouches of country liquor,1.0,1.0
Mayurbhanj,2017-02-01,17,20,108 pouches of country liquor,1.1764705882352942,1.15
Cuttack,2017-02-01,96,99,85 liters of ID liquor,1.03125,1.1095890410958904
Kalahandi,2017-02-01,20,23,103 pouches of country liquor,1.15,1.6923076923076923
Bhubaneswar,2017-03-01,89,106,93 liters of ID liquor,1.1910112359550562,1.0769230769230769
Ganjam,2017-03-01,55,63,504 kg of fermented wash destroyed,1.1454545454545455,1.0
Koraput,2017-03-01,22,29,486 kg of fermented wash destroyed,1.3181818181818181,1.25
Sambalpur,2017-03-01,35,38,498 kg of fermented wash destroyed,1.0857142857142856,1.0338983050847457
Puri,2017-03-01,43,43,88 pouches of country liquor,1.0,1.1538461538461537
Balasore,2017-03-01,38,43,485 kg of fermented wash destroyed,1.131578947368421,1.0188679245283019
Rourkela,2017-03-01,48,48,519 kg of fermented wash destroyed,1.0,1.0338983050847457
Mayurbhanj,2017-03-01,20,23,545 kg of fermented wash destroyed,1.15,1.2608695652173914
Cuttack,2017-03-01,73,81,515 kg of fermented wash destroyed,1.1095890410958904,1.0
Kalahandi,2017-03-01,13,22,524 kg of fermented wash destroyed,1.6923076923076923,1.0
Bhubaneswar,2017-04-01,104,112,103 pouches of country liquor,1.0769230769230769,1.0705882352941176
Ganjam,2017-04-01,55,55,90 liters of ID liquor,1.0,1.018181818181818
Koraput,2017-04-01,32,40,79 liters of ID liquor,1.25,1.0
Sambalpur,2017-04-01,59,61,116 bottles of IMFL,1.0338983050847457,1.2115384615384615
Puri,2017-04-01,39,45,108 liters of ID liquor,1.1538461538461537,1.2857142857142858
Balasore,2017-04-01,53,54,487 kg of fermented wash destroyed,1.0188679245283019,1.0666666666666667
Rourkela,2017-04-01,59,61,528 kg of fermented wash destroyed,1.0338983050847457,1.2272727272727273
Mayurbhanj,2017-04-01,23,29,98 pouches of country liquor,1.2608695652173914,1.0
Cuttack,2017-04-01,88,88,102 bottles of IMFL,1.0,1.0
Kalahandi,2017-04-01,19,19,111 pouches of country liquor,1.0,1.4736842105263157
Bhubaneswar,2017-05-01,85,91,102 pouches of country liquor,1.0705882352941176,1.0
Ganjam,2017-05-01,55,56,106 pouches of country liquor,1.018181818181818,1.0961538461538463
Koraput,2017-05-01,19,19,479 kg of fermented wash destroyed,1.0,1.0857142857142856
Sambalpur,2017-05-01,52,63,103 bottles of IMFL,1.2115384615384615,1.0
Puri,2017-05-01,28,36,114 bottles of IMFL,1.2857142857142858,1.0
Balasore,2017-05-01,45,48,75 liters of ID liquor,1.0666666666666667,1.1777777777777778
Rourkela,2017-05-01,66,81,108 bottles of IMFL,1.2272727272727273,1.0634920634920635
Mayurbhanj,2017-05-01,21,21,114 bottles of IMFL,1.0,1.0
Cuttack,2017-05-01,88,88,82 bottles of IMFL,1.0,1.0
Kalahandi,2017-05-01,19,28,103 liters of ID liquor,1.4736842105263157,1.0
Bhubaneswar,2017-06-01,83,83,473 kg of fermented wash destroyed,1.0,1.263157894736842
Ganjam,2017-06-01,52,57,104 pouches of country liquor,1.0961538461538463,1.0
Koraput,2017-06-01,35,38,91 pouches of country liquor,1.0857142857142856,1.0689655172413792
Sambalpur,2017-06-01,42,42,84 liters of ID liquor,1.0,1.1081081081081081
Puri,2017-06-01,38,38,99 pouches of country liquor,1.0,1.0
Balasore,2017-06-01,45,53,97 bottles of IMFL,1.1777777777777778,1.0
Rourkela,2017-06-01,63,67,515 kg of fermented wash destroyed,1.0634920634920635,1.353846153846154
Mayurbhanj,2017-06-01,29,29,111 liters of ID liquor,1.0,1.0588235294117647
Cuttack,2017-06-01,74,74,109 pouches of country liquor,1.0,1.0348837209302326
Kalahandi,2017-06-01,24,24,90 liters of ID liquor,1.0,1.0
Bhubaneswar,2017-07-01,76,96,104 liters of ID liquor,1.263157894736842,1.1395348837209303
Ganjam,2017-07-01,44,44,118 liters of ID liquor,1.0,1.0545454545454545
Koraput,2017-07-01,29,31,103 liters of ID liquor,1.0689655172413792,1.0
Sambalpur,2017-07-01,37,41,479 kg of fermented wash destroyed,1.1081081081081081,1.0227272727272727
Puri,2017-07-01,47,47,90 pouches of country liquor,1.0,1.0
Balasore,2017-07-01,49,49,87 liters of ID liquor,1.0,1.0588235294117647
Rourkela,2017-07-01,65,88,489 kg of fermented wash destroyed,1.353846153846154,1.0727272727272728
Mayurbhanj,2017-07-01,17,18,96 pouches of country liquor,1.0588235294117647,1.0
Cuttack,2017-07-01,86,89,105 bottles of IMFL,1.0348837209302326,1.2023809523809523
Kalahandi,2017-07-01,21,21,106 pouches of country liquor,1.0,1.0555555555555556
Bhubaneswar,2017-08-01,86,98,106 pouches of country liquor,1.1395348837209303,1.0091743119266054
Ganjam,2017-08-01,55,58,492 kg of fermented wash destroyed,1.0545454545454545,1.326086956521739
Koraput,2017-08-01,24,24,86 bottles of IMFL,1.0,1.0
Sambalpur,2017-08-01,44,45,109 liters of ID liquor,1.0227272727272727,1.119047619047619
Puri,2017-08-01,34,34,92 liters of ID liquor,1.0,1.2173913043478262
Balasore,2017-08-01,51,54,122 bottles of IMFL,1.0588235294117647,1.3333333333333333
Rourkela,2017-08-01,55,59,520 kg of fermented wash destroyed,1.0727272727272728,1.0740740740740742
Mayurbhanj,2017-08-01,22,22,99 liters of ID liquor,1.0,1.1578947368421053
Cuttack,2017-08-01,84,101,506 kg of fermented wash destroyed,1.2023809523809523,1.2065217391304348
Kalahandi,2017-08-01,18,19,98 bottles of IMFL,1.0555555555555556,1.2105263157894737
Bhubaneswar,2017-09-01,109,110,117 pouches of country liquor,1.0091743119266054,1.197674418604651
Ganjam,2017-09-01,46,61,100 bottles of IMFL,1.326086956521739,1.1884057971014492
